UNITS:	cms	
KIND:	flow	
INTERVAL:	dly	
LOCATION:	oll
# long-lac and ogoki diversion (into superior)		
2013-01-01 , 	88.00
2013-01-02 , 	88.00
2013-01-03 , 	88.00
2013-01-04 , 	88.00
2013-01-05 , 	88.00
2013-01-06 , 	88.00
2013-01-07 , 	88.00
2013-01-08 , 	88.00
2013-01-09 , 	88.00
2013-01-10 , 	88.00
2013-01-11 , 	88.00
2013-01-12 , 	88.00
2013-01-13 , 	88.00
2013-01-14 , 	88.00
2013-01-15 , 	88.00
2013-01-16 , 	88.00
2013-01-17 , 	88.00
2013-01-18 , 	88.00
2013-01-19 , 	88.00
2013-01-20 , 	88.00
2013-01-21 , 	88.00
2013-01-22 , 	88.00
2013-01-23 , 	88.00
2013-01-24 , 	88.00
2013-01-25 , 	88.00
2013-01-26 , 	88.00
2013-01-27 , 	88.00
2013-01-28 , 	88.00
2013-01-29 , 	88.00
2013-01-30 , 	88.00
2013-01-31 , 	88.00
2013-02-01 , 	90.00
2013-02-02 , 	90.00
2013-02-03 , 	90.00
2013-02-04 , 	90.00
2013-02-05 , 	90.00
2013-02-06 , 	90.00
2013-02-07 , 	90.00
2013-02-08 , 	90.00
2013-02-09 , 	90.00
2013-02-10 , 	90.00
2013-02-11 , 	90.00
2013-02-12 , 	90.00
2013-02-13 , 	90.00
2013-02-14 , 	90.00
2013-02-15 , 	90.00
2013-02-16 , 	90.00
2013-02-17 , 	90.00
2013-02-18 , 	90.00
2013-02-19 , 	90.00
2013-02-20 , 	90.00
2013-02-21 , 	90.00
2013-02-22 , 	90.00
2013-02-23 , 	90.00
2013-02-24 , 	90.00
2013-02-25 , 	90.00
2013-02-26 , 	90.00
2013-02-27 , 	90.00
2013-02-28 , 	90.00
2013-03-01 , 	79.00
2013-03-02 , 	79.00
2013-03-03 , 	79.00
2013-03-04 , 	79.00
2013-03-05 , 	79.00
2013-03-06 , 	79.00
2013-03-07 , 	79.00
2013-03-08 , 	79.00
2013-03-09 , 	79.00
2013-03-10 , 	79.00
2013-03-11 , 	79.00
2013-03-12 , 	79.00
2013-03-13 , 	79.00
2013-03-14 , 	79.00
2013-03-15 , 	79.00
2013-03-16 , 	79.00
2013-03-17 , 	79.00
2013-03-18 , 	79.00
2013-03-19 , 	79.00
2013-03-20 , 	79.00
2013-03-21 , 	79.00
2013-03-22 , 	79.00
2013-03-23 , 	79.00
2013-03-24 , 	79.00
2013-03-25 , 	79.00
2013-03-26 , 	79.00
2013-03-27 , 	79.00
2013-03-28 , 	79.00
2013-03-29 , 	79.00
2013-03-30 , 	79.00
2013-03-31 , 	79.00
2013-04-01 , 	63.00
2013-04-02 , 	63.00
2013-04-03 , 	63.00
2013-04-04 , 	63.00
2013-04-05 , 	63.00
2013-04-06 , 	63.00
2013-04-07 , 	63.00
2013-04-08 , 	63.00
2013-04-09 , 	63.00
2013-04-10 , 	63.00
2013-04-11 , 	63.00
2013-04-12 , 	63.00
2013-04-13 , 	63.00
2013-04-14 , 	63.00
2013-04-15 , 	63.00
2013-04-16 , 	63.00
2013-04-17 , 	63.00
2013-04-18 , 	63.00
2013-04-19 , 	63.00
2013-04-20 , 	63.00
2013-04-21 , 	63.00
2013-04-22 , 	63.00
2013-04-23 , 	63.00
2013-04-24 , 	63.00
2013-04-25 , 	63.00
2013-04-26 , 	63.00
2013-04-27 , 	63.00
2013-04-28 , 	63.00
2013-04-29 , 	63.00
2013-04-30 , 	63.00
2013-05-01 , 	193.00
2013-05-02 , 	193.00
2013-05-03 , 	193.00
2013-05-04 , 	193.00
2013-05-05 , 	193.00
2013-05-06 , 	193.00
2013-05-07 , 	193.00
2013-05-08 , 	193.00
2013-05-09 , 	193.00
2013-05-10 , 	193.00
2013-05-11 , 	193.00
2013-05-12 , 	193.00
2013-05-13 , 	193.00
2013-05-14 , 	193.00
2013-05-15 , 	193.00
2013-05-16 , 	193.00
2013-05-17 , 	193.00
2013-05-18 , 	193.00
2013-05-19 , 	193.00
2013-05-20 , 	193.00
2013-05-21 , 	193.00
2013-05-22 , 	193.00
2013-05-23 , 	193.00
2013-05-24 , 	193.00
2013-05-25 , 	193.00
2013-05-26 , 	193.00
2013-05-27 , 	193.00
2013-05-28 , 	193.00
2013-05-29 , 	193.00
2013-05-30 , 	193.00
2013-05-31 , 	193.00
2013-06-01 , 	354.00
2013-06-02 , 	354.00
2013-06-03 , 	354.00
2013-06-04 , 	354.00
2013-06-05 , 	354.00
2013-06-06 , 	354.00
2013-06-07 , 	354.00
2013-06-08 , 	354.00
2013-06-09 , 	354.00
2013-06-10 , 	354.00
2013-06-11 , 	354.00
2013-06-12 , 	354.00
2013-06-13 , 	354.00
2013-06-14 , 	354.00
2013-06-15 , 	354.00
2013-06-16 , 	354.00
2013-06-17 , 	354.00
2013-06-18 , 	354.00
2013-06-19 , 	354.00
2013-06-20 , 	354.00
2013-06-21 , 	354.00
2013-06-22 , 	354.00
2013-06-23 , 	354.00
2013-06-24 , 	354.00
2013-06-25 , 	354.00
2013-06-26 , 	354.00
2013-06-27 , 	354.00
2013-06-28 , 	354.00
2013-06-29 , 	354.00
2013-06-30 , 	354.00
2013-07-01 , 	198.00
2013-07-02 , 	198.00
2013-07-03 , 	198.00
2013-07-04 , 	198.00
2013-07-05 , 	198.00
2013-07-06 , 	198.00
2013-07-07 , 	198.00
2013-07-08 , 	198.00
2013-07-09 , 	198.00
2013-07-10 , 	198.00
2013-07-11 , 	198.00
2013-07-12 , 	198.00
2013-07-13 , 	198.00
2013-07-14 , 	198.00
2013-07-15 , 	198.00
2013-07-16 , 	198.00
2013-07-17 , 	198.00
2013-07-18 , 	198.00
2013-07-19 , 	198.00
2013-07-20 , 	198.00
2013-07-21 , 	198.00
2013-07-22 , 	198.00
2013-07-23 , 	198.00
2013-07-24 , 	198.00
2013-07-25 , 	198.00
2013-07-26 , 	198.00
2013-07-27 , 	198.00
2013-07-28 , 	198.00
2013-07-29 , 	198.00
2013-07-30 , 	198.00
2013-07-31 , 	198.00
2013-08-01 , 	100.00
2013-08-02 , 	100.00
2013-08-03 , 	100.00
2013-08-04 , 	100.00
2013-08-05 , 	100.00
2013-08-06 , 	100.00
2013-08-07 , 	100.00
2013-08-08 , 	100.00
2013-08-09 , 	100.00
2013-08-10 , 	100.00
2013-08-11 , 	100.00
2013-08-12 , 	100.00
2013-08-13 , 	100.00
2013-08-14 , 	100.00
2013-08-15 , 	100.00
2013-08-16 , 	100.00
2013-08-17 , 	100.00
2013-08-18 , 	100.00
2013-08-19 , 	100.00
2013-08-20 , 	100.00
2013-08-21 , 	100.00
2013-08-22 , 	100.00
2013-08-23 , 	100.00
2013-08-24 , 	100.00
2013-08-25 , 	100.00
2013-08-26 , 	100.00
2013-08-27 , 	100.00
2013-08-28 , 	100.00
2013-08-29 , 	100.00
2013-08-30 , 	100.00
2013-08-31 , 	100.00
2013-09-01 , 	109.00
2013-09-02 , 	109.00
2013-09-03 , 	109.00
2013-09-04 , 	109.00
2013-09-05 , 	109.00
2013-09-06 , 	109.00
2013-09-07 , 	109.00
2013-09-08 , 	109.00
2013-09-09 , 	109.00
2013-09-10 , 	109.00
2013-09-11 , 	109.00
2013-09-12 , 	109.00
2013-09-13 , 	109.00
2013-09-14 , 	109.00
2013-09-15 , 	109.00
2013-09-16 , 	109.00
2013-09-17 , 	109.00
2013-09-18 , 	109.00
2013-09-19 , 	109.00
2013-09-20 , 	109.00
2013-09-21 , 	109.00
2013-09-22 , 	109.00
2013-09-23 , 	109.00
2013-09-24 , 	109.00
2013-09-25 , 	109.00
2013-09-26 , 	109.00
2013-09-27 , 	109.00
2013-09-28 , 	109.00
2013-09-29 , 	109.00
2013-09-30 , 	109.00
2013-10-01 , 	175.00
2013-10-02 , 	175.00
2013-10-03 , 	175.00
2013-10-04 , 	175.00
2013-10-05 , 	175.00
2013-10-06 , 	175.00
2013-10-07 , 	175.00
2013-10-08 , 	175.00
2013-10-09 , 	175.00
2013-10-10 , 	175.00
2013-10-11 , 	175.00
2013-10-12 , 	175.00
2013-10-13 , 	175.00
2013-10-14 , 	175.00
2013-10-15 , 	175.00
2013-10-16 , 	175.00
2013-10-17 , 	175.00
2013-10-18 , 	175.00
2013-10-19 , 	175.00
2013-10-20 , 	175.00
2013-10-21 , 	175.00
2013-10-22 , 	175.00
2013-10-23 , 	175.00
2013-10-24 , 	175.00
2013-10-25 , 	175.00
2013-10-26 , 	175.00
2013-10-27 , 	175.00
2013-10-28 , 	175.00
2013-10-29 , 	175.00
2013-10-30 , 	175.00
2013-10-31 , 	175.00
2013-11-01 , 	182.00
2013-11-02 , 	182.00
2013-11-03 , 	182.00
2013-11-04 , 	182.00
2013-11-05 , 	182.00
2013-11-06 , 	182.00
2013-11-07 , 	182.00
2013-11-08 , 	182.00
2013-11-09 , 	182.00
2013-11-10 , 	182.00
2013-11-11 , 	182.00
2013-11-12 , 	182.00
2013-11-13 , 	182.00
2013-11-14 , 	182.00
2013-11-15 , 	182.00
2013-11-16 , 	182.00
2013-11-17 , 	182.00
2013-11-18 , 	182.00
2013-11-19 , 	182.00
2013-11-20 , 	182.00
2013-11-21 , 	182.00
2013-11-22 , 	182.00
2013-11-23 , 	182.00
2013-11-24 , 	182.00
2013-11-25 , 	182.00
2013-11-26 , 	182.00
2013-11-27 , 	182.00
2013-11-28 , 	182.00
2013-11-29 , 	182.00
2013-11-30 , 	182.00
2013-12-01 , 	147.00
2013-12-02 , 	147.00
2013-12-03 , 	147.00
2013-12-04 , 	147.00
2013-12-05 , 	147.00
2013-12-06 , 	147.00
2013-12-07 , 	147.00
2013-12-08 , 	147.00
2013-12-09 , 	147.00
2013-12-10 , 	147.00
2013-12-11 , 	147.00
2013-12-12 , 	147.00
2013-12-13 , 	147.00
2013-12-14 , 	147.00
2013-12-15 , 	147.00
2013-12-16 , 	147.00
2013-12-17 , 	147.00
2013-12-18 , 	147.00
2013-12-19 , 	147.00
2013-12-20 , 	147.00
2013-12-21 , 	147.00
2013-12-22 , 	147.00
2013-12-23 , 	147.00
2013-12-24 , 	147.00
2013-12-25 , 	147.00
2013-12-26 , 	147.00
2013-12-27 , 	147.00
2013-12-28 , 	147.00
2013-12-29 , 	147.00
2013-12-30 , 	147.00
2013-12-31 , 	147.00
2014-01-01 , 	122.00
2014-01-02 , 	122.00
2014-01-03 , 	122.00
2014-01-04 , 	122.00
2014-01-05 , 	122.00
2014-01-06 , 	122.00
2014-01-07 , 	122.00
2014-01-08 , 	122.00
2014-01-09 , 	122.00
2014-01-10 , 	122.00
2014-01-11 , 	122.00
2014-01-12 , 	122.00
2014-01-13 , 	122.00
