UNITS:	cms	
KIND:	nbs	
INTERVAL:	dly	
LOCATION:	eri	
# m applied d		
2013-01-01 , 	750.00
2013-01-02 , 	750.00
2013-01-03 , 	750.00
2013-01-04 , 	750.00
2013-01-05 , 	750.00
2013-01-06 , 	750.00
2013-01-07 , 	750.00
2013-01-08 , 	750.00
2013-01-09 , 	750.00
2013-01-10 , 	750.00
2013-01-11 , 	750.00
2013-01-12 , 	750.00
2013-01-13 , 	750.00
2013-01-14 , 	750.00
2013-01-15 , 	750.00
2013-01-16 , 	750.00
2013-01-17 , 	750.00
2013-01-18 , 	750.00
2013-01-19 , 	750.00
2013-01-20 , 	750.00
2013-01-21 , 	750.00
2013-01-22 , 	750.00
2013-01-23 , 	750.00
2013-01-24 , 	750.00
2013-01-25 , 	750.00
2013-01-26 , 	750.00
2013-01-27 , 	750.00
2013-01-28 , 	750.00
2013-01-29 , 	750.00
2013-01-30 , 	750.00
2013-01-31 , 	750.00
2013-02-01 , 	1890.00
2013-02-02 , 	1890.00
2013-02-03 , 	1890.00
2013-02-04 , 	1890.00
2013-02-05 , 	1890.00
2013-02-06 , 	1890.00
2013-02-07 , 	1890.00
2013-02-08 , 	1890.00
2013-02-09 , 	1890.00
2013-02-10 , 	1890.00
2013-02-11 , 	1890.00
2013-02-12 , 	1890.00
2013-02-13 , 	1890.00
2013-02-14 , 	1890.00
2013-02-15 , 	1890.00
2013-02-16 , 	1890.00
2013-02-17 , 	1890.00
2013-02-18 , 	1890.00
2013-02-19 , 	1890.00
2013-02-20 , 	1890.00
2013-02-21 , 	1890.00
2013-02-22 , 	1890.00
2013-02-23 , 	1890.00
2013-02-24 , 	1890.00
2013-02-25 , 	1890.00
2013-02-26 , 	1890.00
2013-02-27 , 	1890.00
2013-02-28 , 	1890.00
2013-03-01 , 	810.00
2013-03-02 , 	810.00
2013-03-03 , 	810.00
2013-03-04 , 	810.00
2013-03-05 , 	810.00
2013-03-06 , 	810.00
2013-03-07 , 	810.00
2013-03-08 , 	810.00
2013-03-09 , 	810.00
2013-03-10 , 	810.00
2013-03-11 , 	810.00
2013-03-12 , 	810.00
2013-03-13 , 	810.00
2013-03-14 , 	810.00
2013-03-15 , 	810.00
2013-03-16 , 	810.00
2013-03-17 , 	810.00
2013-03-18 , 	810.00
2013-03-19 , 	810.00
2013-03-20 , 	810.00
2013-03-21 , 	810.00
2013-03-22 , 	810.00
2013-03-23 , 	810.00
2013-03-24 , 	810.00
2013-03-25 , 	810.00
2013-03-26 , 	810.00
2013-03-27 , 	810.00
2013-03-28 , 	810.00
2013-03-29 , 	810.00
2013-03-30 , 	810.00
2013-03-31 , 	810.00
2013-04-01 , 	2720.00
2013-04-02 , 	2720.00
2013-04-03 , 	2720.00
2013-04-04 , 	2720.00
2013-04-05 , 	2720.00
2013-04-06 , 	2720.00
2013-04-07 , 	2720.00
2013-04-08 , 	2720.00
2013-04-09 , 	2720.00
2013-04-10 , 	2720.00
2013-04-11 , 	2720.00
2013-04-12 , 	2720.00
2013-04-13 , 	2720.00
2013-04-14 , 	2720.00
2013-04-15 , 	2720.00
2013-04-16 , 	2720.00
2013-04-17 , 	2720.00
2013-04-18 , 	2720.00
2013-04-19 , 	2720.00
2013-04-20 , 	2720.00
2013-04-21 , 	2720.00
2013-04-22 , 	2720.00
2013-04-23 , 	2720.00
2013-04-24 , 	2720.00
2013-04-25 , 	2720.00
2013-04-26 , 	2720.00
2013-04-27 , 	2720.00
2013-04-28 , 	2720.00
2013-04-29 , 	2720.00
2013-04-30 , 	2720.00
2013-05-01 , 	800.00
2013-05-02 , 	800.00
2013-05-03 , 	800.00
2013-05-04 , 	800.00
2013-05-05 , 	800.00
2013-05-06 , 	800.00
2013-05-07 , 	800.00
2013-05-08 , 	800.00
2013-05-09 , 	800.00
2013-05-10 , 	800.00
2013-05-11 , 	800.00
2013-05-12 , 	800.00
2013-05-13 , 	800.00
2013-05-14 , 	800.00
2013-05-15 , 	800.00
2013-05-16 , 	800.00
2013-05-17 , 	800.00
2013-05-18 , 	800.00
2013-05-19 , 	800.00
2013-05-20 , 	800.00
2013-05-21 , 	800.00
2013-05-22 , 	800.00
2013-05-23 , 	800.00
2013-05-24 , 	800.00
2013-05-25 , 	800.00
2013-05-26 , 	800.00
2013-05-27 , 	800.00
2013-05-28 , 	800.00
2013-05-29 , 	800.00
2013-05-30 , 	800.00
2013-05-31 , 	800.00
2013-06-01 , 	2500.00
2013-06-02 , 	2500.00
2013-06-03 , 	2500.00
2013-06-04 , 	2500.00
2013-06-05 , 	2500.00
2013-06-06 , 	2500.00
2013-06-07 , 	2500.00
2013-06-08 , 	2500.00
2013-06-09 , 	2500.00
2013-06-10 , 	2500.00
2013-06-11 , 	2500.00
2013-06-12 , 	2500.00
2013-06-13 , 	2500.00
2013-06-14 , 	2500.00
2013-06-15 , 	2500.00
2013-06-16 , 	2500.00
2013-06-17 , 	2500.00
2013-06-18 , 	2500.00
2013-06-19 , 	2500.00
2013-06-20 , 	2500.00
2013-06-21 , 	2500.00
2013-06-22 , 	2500.00
2013-06-23 , 	2500.00
2013-06-24 , 	2500.00
2013-06-25 , 	2500.00
2013-06-26 , 	2500.00
2013-06-27 , 	2500.00
2013-06-28 , 	2500.00
2013-06-29 , 	2500.00
2013-06-30 , 	2500.00
2013-07-01 , 	1190.00
2013-07-02 , 	1190.00
2013-07-03 , 	1190.00
2013-07-04 , 	1190.00
2013-07-05 , 	1190.00
2013-07-06 , 	1190.00
2013-07-07 , 	1190.00
2013-07-08 , 	1190.00
2013-07-09 , 	1190.00
2013-07-10 , 	1190.00
2013-07-11 , 	1190.00
2013-07-12 , 	1190.00
2013-07-13 , 	1190.00
2013-07-14 , 	1190.00
2013-07-15 , 	1190.00
2013-07-16 , 	1190.00
2013-07-17 , 	1190.00
2013-07-18 , 	1190.00
2013-07-19 , 	1190.00
2013-07-20 , 	1190.00
2013-07-21 , 	1190.00
2013-07-22 , 	1190.00
2013-07-23 , 	1190.00
2013-07-24 , 	1190.00
2013-07-25 , 	1190.00
2013-07-26 , 	1190.00
2013-07-27 , 	1190.00
2013-07-28 , 	1190.00
2013-07-29 , 	1190.00
2013-07-30 , 	1190.00
2013-07-31 , 	1190.00
2013-08-01 , 	-130.00
2013-08-02 , 	-130.00
2013-08-03 , 	-130.00
2013-08-04 , 	-130.00
2013-08-05 , 	-130.00
2013-08-06 , 	-130.00
2013-08-07 , 	-130.00
2013-08-08 , 	-130.00
2013-08-09 , 	-130.00
2013-08-10 , 	-130.00
2013-08-11 , 	-130.00
2013-08-12 , 	-130.00
2013-08-13 , 	-130.00
2013-08-14 , 	-130.00
2013-08-15 , 	-130.00
2013-08-16 , 	-130.00
2013-08-17 , 	-130.00
2013-08-18 , 	-130.00
2013-08-19 , 	-130.00
2013-08-20 , 	-130.00
2013-08-21 , 	-130.00
2013-08-22 , 	-130.00
2013-08-23 , 	-130.00
2013-08-24 , 	-130.00
2013-08-25 , 	-130.00
2013-08-26 , 	-130.00
2013-08-27 , 	-130.00
2013-08-28 , 	-130.00
2013-08-29 , 	-130.00
2013-08-30 , 	-130.00
2013-08-31 , 	-130.00
2013-09-01 , 	-850.00
2013-09-02 , 	-850.00
2013-09-03 , 	-850.00
2013-09-04 , 	-850.00
2013-09-05 , 	-850.00
2013-09-06 , 	-850.00
2013-09-07 , 	-850.00
2013-09-08 , 	-850.00
2013-09-09 , 	-850.00
2013-09-10 , 	-850.00
2013-09-11 , 	-850.00
2013-09-12 , 	-850.00
2013-09-13 , 	-850.00
2013-09-14 , 	-850.00
2013-09-15 , 	-850.00
2013-09-16 , 	-850.00
2013-09-17 , 	-850.00
2013-09-18 , 	-850.00
2013-09-19 , 	-850.00
