UNITS:	cms	
KIND:	nbs	
INTERVAL:	dly	
LOCATION:	mhu	
# m applied d		
2013-01-01 , 	2310.00
2013-01-02 , 	2310.00
2013-01-03 , 	2310.00
2013-01-04 , 	2310.00
2013-01-05 , 	2310.00
2013-01-06 , 	2310.00
2013-01-07 , 	2310.00
2013-01-08 , 	2310.00
2013-01-09 , 	2310.00
2013-01-10 , 	2310.00
2013-01-11 , 	2310.00
2013-01-12 , 	2310.00
2013-01-13 , 	2310.00
2013-01-14 , 	2310.00
2013-01-15 , 	2310.00
2013-01-16 , 	2310.00
2013-01-17 , 	2310.00
2013-01-18 , 	2310.00
2013-01-19 , 	2310.00
2013-01-20 , 	2310.00
2013-01-21 , 	2310.00
2013-01-22 , 	2310.00
2013-01-23 , 	2310.00
2013-01-24 , 	2310.00
2013-01-25 , 	2310.00
2013-01-26 , 	2310.00
2013-01-27 , 	2310.00
2013-01-28 , 	2310.00
2013-01-29 , 	2310.00
2013-01-30 , 	2310.00
2013-01-31 , 	2310.00
2013-02-01 , 	3890.00
2013-02-02 , 	3890.00
2013-02-03 , 	3890.00
2013-02-04 , 	3890.00
2013-02-05 , 	3890.00
2013-02-06 , 	3890.00
2013-02-07 , 	3890.00
2013-02-08 , 	3890.00
2013-02-09 , 	3890.00
2013-02-10 , 	3890.00
2013-02-11 , 	3890.00
2013-02-12 , 	3890.00
2013-02-13 , 	3890.00
2013-02-14 , 	3890.00
2013-02-15 , 	3890.00
2013-02-16 , 	3890.00
2013-02-17 , 	3890.00
2013-02-18 , 	3890.00
2013-02-19 , 	3890.00
2013-02-20 , 	3890.00
2013-02-21 , 	3890.00
2013-02-22 , 	3890.00
2013-02-23 , 	3890.00
2013-02-24 , 	3890.00
2013-02-25 , 	3890.00
2013-02-26 , 	3890.00
2013-02-27 , 	3890.00
2013-02-28 , 	3890.00
2013-03-01 , 	3840.00
2013-03-02 , 	3840.00
2013-03-03 , 	3840.00
2013-03-04 , 	3840.00
2013-03-05 , 	3840.00
2013-03-06 , 	3840.00
2013-03-07 , 	3840.00
2013-03-08 , 	3840.00
2013-03-09 , 	3840.00
2013-03-10 , 	3840.00
2013-03-11 , 	3840.00
2013-03-12 , 	3840.00
2013-03-13 , 	3840.00
2013-03-14 , 	3840.00
2013-03-15 , 	3840.00
2013-03-16 , 	3840.00
2013-03-17 , 	3840.00
2013-03-18 , 	3840.00
2013-03-19 , 	3840.00
2013-03-20 , 	3840.00
2013-03-21 , 	3840.00
2013-03-22 , 	3840.00
2013-03-23 , 	3840.00
2013-03-24 , 	3840.00
2013-03-25 , 	3840.00
2013-03-26 , 	3840.00
2013-03-27 , 	3840.00
2013-03-28 , 	3840.00
2013-03-29 , 	3840.00
2013-03-30 , 	3840.00
2013-03-31 , 	3840.00
2013-04-01 , 	13760.00
2013-04-02 , 	13760.00
2013-04-03 , 	13760.00
2013-04-04 , 	13760.00
2013-04-05 , 	13760.00
2013-04-06 , 	13760.00
2013-04-07 , 	13760.00
2013-04-08 , 	13760.00
2013-04-09 , 	13760.00
2013-04-10 , 	13760.00
2013-04-11 , 	13760.00
2013-04-12 , 	13760.00
2013-04-13 , 	13760.00
2013-04-14 , 	13760.00
2013-04-15 , 	13760.00
2013-04-16 , 	13760.00
2013-04-17 , 	13760.00
2013-04-18 , 	13760.00
2013-04-19 , 	13760.00
2013-04-20 , 	13760.00
2013-04-21 , 	13760.00
2013-04-22 , 	13760.00
2013-04-23 , 	13760.00
2013-04-24 , 	13760.00
2013-04-25 , 	13760.00
2013-04-26 , 	13760.00
2013-04-27 , 	13760.00
2013-04-28 , 	13760.00
2013-04-29 , 	13760.00
2013-04-30 , 	13760.00
2013-05-01 , 	9150.00
2013-05-02 , 	9150.00
2013-05-03 , 	9150.00
2013-05-04 , 	9150.00
2013-05-05 , 	9150.00
2013-05-06 , 	9150.00
2013-05-07 , 	9150.00
2013-05-08 , 	9150.00
2013-05-09 , 	9150.00
2013-05-10 , 	9150.00
2013-05-11 , 	9150.00
2013-05-12 , 	9150.00
2013-05-13 , 	9150.00
2013-05-14 , 	9150.00
2013-05-15 , 	9150.00
2013-05-16 , 	9150.00
2013-05-17 , 	9150.00
2013-05-18 , 	9150.00
2013-05-19 , 	9150.00
2013-05-20 , 	9150.00
2013-05-21 , 	9150.00
2013-05-22 , 	9150.00
2013-05-23 , 	9150.00
2013-05-24 , 	9150.00
2013-05-25 , 	9150.00
2013-05-26 , 	9150.00
2013-05-27 , 	9150.00
2013-05-28 , 	9150.00
2013-05-29 , 	9150.00
2013-05-30 , 	9150.00
2013-05-31 , 	9150.00
2013-06-01 , 	6060.00
2013-06-02 , 	6060.00
2013-06-03 , 	6060.00
2013-06-04 , 	6060.00
2013-06-05 , 	6060.00
2013-06-06 , 	6060.00
2013-06-07 , 	6060.00
2013-06-08 , 	6060.00
2013-06-09 , 	6060.00
2013-06-10 , 	6060.00
2013-06-11 , 	6060.00
2013-06-12 , 	6060.00
2013-06-13 , 	6060.00
2013-06-14 , 	6060.00
2013-06-15 , 	6060.00
2013-06-16 , 	6060.00
2013-06-17 , 	6060.00
2013-06-18 , 	6060.00
2013-06-19 , 	6060.00
2013-06-20 , 	6060.00
2013-06-21 , 	6060.00
2013-06-22 , 	6060.00
2013-06-23 , 	6060.00
2013-06-24 , 	6060.00
2013-06-25 , 	6060.00
2013-06-26 , 	6060.00
2013-06-27 , 	6060.00
2013-06-28 , 	6060.00
2013-06-29 , 	6060.00
2013-06-30 , 	6060.00
2013-07-01 , 	3090.00
2013-07-02 , 	3090.00
2013-07-03 , 	3090.00
2013-07-04 , 	3090.00
2013-07-05 , 	3090.00
2013-07-06 , 	3090.00
2013-07-07 , 	3090.00
2013-07-08 , 	3090.00
2013-07-09 , 	3090.00
2013-07-10 , 	3090.00
2013-07-11 , 	3090.00
2013-07-12 , 	3090.00
2013-07-13 , 	3090.00
2013-07-14 , 	3090.00
2013-07-15 , 	3090.00
2013-07-16 , 	3090.00
2013-07-17 , 	3090.00
2013-07-18 , 	3090.00
2013-07-19 , 	3090.00
2013-07-20 , 	3090.00
2013-07-21 , 	3090.00
2013-07-22 , 	3090.00
2013-07-23 , 	3090.00
2013-07-24 , 	3090.00
2013-07-25 , 	3090.00
2013-07-26 , 	3090.00
2013-07-27 , 	3090.00
2013-07-28 , 	3090.00
2013-07-29 , 	3090.00
2013-07-30 , 	3090.00
2013-07-31 , 	3090.00
2013-08-01 , 	1820.00
2013-08-02 , 	1820.00
2013-08-03 , 	1820.00
2013-08-04 , 	1820.00
2013-08-05 , 	1820.00
2013-08-06 , 	1820.00
2013-08-07 , 	1820.00
2013-08-08 , 	1820.00
2013-08-09 , 	1820.00
2013-08-10 , 	1820.00
2013-08-11 , 	1820.00
2013-08-12 , 	1820.00
2013-08-13 , 	1820.00
2013-08-14 , 	1820.00
2013-08-15 , 	1820.00
2013-08-16 , 	1820.00
2013-08-17 , 	1820.00
2013-08-18 , 	1820.00
2013-08-19 , 	1820.00
2013-08-20 , 	1820.00
2013-08-21 , 	1820.00
2013-08-22 , 	1820.00
2013-08-23 , 	1820.00
2013-08-24 , 	1820.00
2013-08-25 , 	1820.00
2013-08-26 , 	1820.00
2013-08-27 , 	1820.00
2013-08-28 , 	1820.00
2013-08-29 , 	1820.00
2013-08-30 , 	1820.00
2013-08-31 , 	1820.00
2013-09-01 , 	-490.00
2013-09-02 , 	-490.00
2013-09-03 , 	-490.00
2013-09-04 , 	-490.00
2013-09-05 , 	-490.00
2013-09-06 , 	-490.00
2013-09-07 , 	-490.00
2013-09-08 , 	-490.00
2013-09-09 , 	-490.00
2013-09-10 , 	-490.00
2013-09-11 , 	-490.00
2013-09-12 , 	-490.00
2013-09-13 , 	-490.00
2013-09-14 , 	-490.00
2013-09-15 , 	-490.00
2013-09-16 , 	-490.00
2013-09-17 , 	-490.00
2013-09-18 , 	-490.00
2013-09-19 , 	-490.00
2013-09-20 , 	-490.00
2013-09-21 , 	-490.00
2013-09-22 , 	-490.00
2013-09-23 , 	-490.00
2013-09-24 , 	-490.00
2013-09-25 , 	-490.00
2013-09-26 , 	-490.00
2013-09-27 , 	-490.00
2013-09-28 , 	-490.00
2013-09-29 , 	-490.00
2013-09-30 , 	-490.00
2013-10-01 , 	830.00
2013-10-02 , 	830.00
2013-10-03 , 	830.00
2013-10-04 , 	830.00
2013-10-05 , 	830.00
2013-10-06 , 	830.00
2013-10-07 , 	830.00
2013-10-08 , 	830.00
2013-10-09 , 	830.00
2013-10-10 , 	830.00
2013-10-11 , 	830.00
2013-10-12 , 	830.00
2013-10-13 , 	830.00
2013-10-14 , 	830.00
2013-10-15 , 	830.00
2013-10-16 , 	830.00
2013-10-17 , 	830.00
2013-10-18 , 	830.00
2013-10-19 , 	830.00
2013-10-20 , 	830.00
2013-10-21 , 	830.00
2013-10-22 , 	830.00
2013-10-23 , 	830.00
2013-10-24 , 	830.00
2013-10-25 , 	830.00
2013-10-26 , 	830.00
2013-10-27 , 	830.00
2013-10-28 , 	830.00
2013-10-29 , 	830.00
2013-10-30 , 	830.00
2013-10-31 , 	830.00
2013-11-01 , 	3230.00
2013-11-02 , 	3230.00
2013-11-03 , 	3230.00
2013-11-04 , 	3230.00
2013-11-05 , 	3230.00
2013-11-06 , 	3230.00
2013-11-07 , 	3230.00
2013-11-08 , 	3230.00
2013-11-09 , 	3230.00
2013-11-10 , 	3230.00
2013-11-11 , 	3230.00
2013-11-12 , 	3230.00
2013-11-13 , 	3230.00
2013-11-14 , 	3230.00
2013-11-15 , 	3230.00
2013-11-16 , 	3230.00
2013-11-17 , 	3230.00
2013-11-18 , 	3230.00
2013-11-19 , 	3230.00
2013-11-20 , 	3230.00
2013-11-21 , 	3230.00
2013-11-22 , 	3230.00
2013-11-23 , 	3230.00
2013-11-24 , 	3230.00
2013-11-25 , 	3230.00
2013-11-26 , 	3230.00
2013-11-27 , 	3230.00
2013-11-28 , 	3230.00
2013-11-29 , 	3230.00
2013-11-30 , 	3230.00
