UNITS:	cms	
KIND:	nbs	
INTERVAL:	dly	
LOCATION:	ont	
# m applied d		
2013-01-01 , 	1360.00
2013-01-02 , 	1360.00
2013-01-03 , 	1360.00
2013-01-04 , 	1360.00
2013-01-05 , 	1360.00
2013-01-06 , 	1360.00
2013-01-07 , 	1360.00
2013-01-08 , 	1360.00
2013-01-09 , 	1360.00
2013-01-10 , 	1360.00
2013-01-11 , 	1360.00
2013-01-12 , 	1360.00
2013-01-13 , 	1360.00
2013-01-14 , 	1360.00
2013-01-15 , 	1360.00
2013-01-16 , 	1360.00
2013-01-17 , 	1360.00
2013-01-18 , 	1360.00
2013-01-19 , 	1360.00
2013-01-20 , 	1360.00
2013-01-21 , 	1360.00
2013-01-22 , 	1360.00
2013-01-23 , 	1360.00
2013-01-24 , 	1360.00
2013-01-25 , 	1360.00
2013-01-26 , 	1360.00
2013-01-27 , 	1360.00
2013-01-28 , 	1360.00
2013-01-29 , 	1360.00
2013-01-30 , 	1360.00
2013-01-31 , 	1360.00
2013-02-01 , 	1480.00
2013-02-02 , 	1480.00
2013-02-03 , 	1480.00
2013-02-04 , 	1480.00
2013-02-05 , 	1480.00
2013-02-06 , 	1480.00
2013-02-07 , 	1480.00
2013-02-08 , 	1480.00
2013-02-09 , 	1480.00
2013-02-10 , 	1480.00
2013-02-11 , 	1480.00
2013-02-12 , 	1480.00
2013-02-13 , 	1480.00
2013-02-14 , 	1480.00
2013-02-15 , 	1480.00
2013-02-16 , 	1480.00
2013-02-17 , 	1480.00
2013-02-18 , 	1480.00
2013-02-19 , 	1480.00
2013-02-20 , 	1480.00
2013-02-21 , 	1480.00
2013-02-22 , 	1480.00
2013-02-23 , 	1480.00
2013-02-24 , 	1480.00
2013-02-25 , 	1480.00
2013-02-26 , 	1480.00
2013-02-27 , 	1480.00
2013-02-28 , 	1480.00
2013-03-01 , 	1300.00
2013-03-02 , 	1300.00
2013-03-03 , 	1300.00
2013-03-04 , 	1300.00
2013-03-05 , 	1300.00
2013-03-06 , 	1300.00
2013-03-07 , 	1300.00
2013-03-08 , 	1300.00
2013-03-09 , 	1300.00
2013-03-10 , 	1300.00
2013-03-11 , 	1300.00
2013-03-12 , 	1300.00
2013-03-13 , 	1300.00
2013-03-14 , 	1300.00
2013-03-15 , 	1300.00
2013-03-16 , 	1300.00
2013-03-17 , 	1300.00
2013-03-18 , 	1300.00
2013-03-19 , 	1300.00
2013-03-20 , 	1300.00
2013-03-21 , 	1300.00
2013-03-22 , 	1300.00
2013-03-23 , 	1300.00
2013-03-24 , 	1300.00
2013-03-25 , 	1300.00
2013-03-26 , 	1300.00
2013-03-27 , 	1300.00
2013-03-28 , 	1300.00
2013-03-29 , 	1300.00
2013-03-30 , 	1300.00
2013-03-31 , 	1300.00
2013-04-01 , 	2590.00
2013-04-02 , 	2590.00
2013-04-03 , 	2590.00
2013-04-04 , 	2590.00
2013-04-05 , 	2590.00
2013-04-06 , 	2590.00
2013-04-07 , 	2590.00
2013-04-08 , 	2590.00
2013-04-09 , 	2590.00
2013-04-10 , 	2590.00
2013-04-11 , 	2590.00
2013-04-12 , 	2590.00
2013-04-13 , 	2590.00
2013-04-14 , 	2590.00
2013-04-15 , 	2590.00
2013-04-16 , 	2590.00
2013-04-17 , 	2590.00
2013-04-18 , 	2590.00
2013-04-19 , 	2590.00
2013-04-20 , 	2590.00
2013-04-21 , 	2590.00
2013-04-22 , 	2590.00
2013-04-23 , 	2590.00
2013-04-24 , 	2590.00
2013-04-25 , 	2590.00
2013-04-26 , 	2590.00
2013-04-27 , 	2590.00
2013-04-28 , 	2590.00
2013-04-29 , 	2590.00
2013-04-30 , 	2590.00
2013-05-01 , 	1280.00
2013-05-02 , 	1280.00
2013-05-03 , 	1280.00
2013-05-04 , 	1280.00
2013-05-05 , 	1280.00
2013-05-06 , 	1280.00
2013-05-07 , 	1280.00
2013-05-08 , 	1280.00
2013-05-09 , 	1280.00
2013-05-10 , 	1280.00
2013-05-11 , 	1280.00
2013-05-12 , 	1280.00
2013-05-13 , 	1280.00
2013-05-14 , 	1280.00
2013-05-15 , 	1280.00
2013-05-16 , 	1280.00
2013-05-17 , 	1280.00
2013-05-18 , 	1280.00
2013-05-19 , 	1280.00
2013-05-20 , 	1280.00
2013-05-21 , 	1280.00
2013-05-22 , 	1280.00
2013-05-23 , 	1280.00
2013-05-24 , 	1280.00
2013-05-25 , 	1280.00
2013-05-26 , 	1280.00
2013-05-27 , 	1280.00
2013-05-28 , 	1280.00
2013-05-29 , 	1280.00
2013-05-30 , 	1280.00
2013-05-31 , 	1280.00
2013-06-01 , 	2400.00
2013-06-02 , 	2400.00
2013-06-03 , 	2400.00
2013-06-04 , 	2400.00
2013-06-05 , 	2400.00
2013-06-06 , 	2400.00
2013-06-07 , 	2400.00
2013-06-08 , 	2400.00
2013-06-09 , 	2400.00
2013-06-10 , 	2400.00
2013-06-11 , 	2400.00
2013-06-12 , 	2400.00
2013-06-13 , 	2400.00
2013-06-14 , 	2400.00
2013-06-15 , 	2400.00
2013-06-16 , 	2400.00
2013-06-17 , 	2400.00
2013-06-18 , 	2400.00
2013-06-19 , 	2400.00
2013-06-20 , 	2400.00
2013-06-21 , 	2400.00
2013-06-22 , 	2400.00
2013-06-23 , 	2400.00
2013-06-24 , 	2400.00
2013-06-25 , 	2400.00
2013-06-26 , 	2400.00
2013-06-27 , 	2400.00
2013-06-28 , 	2400.00
2013-06-29 , 	2400.00
2013-06-30 , 	2400.00
2013-07-01 , 	810.00
