UNITS:	cms	
KIND:	nbs	
INTERVAL:	dly	
LOCATION:	stc	
# m applied d		
2013-01-01 , 	470.00
2013-01-02 , 	470.00
2013-01-03 , 	470.00
2013-01-04 , 	470.00
2013-01-05 , 	470.00
2013-01-06 , 	470.00
2013-01-07 , 	470.00
2013-01-08 , 	470.00
2013-01-09 , 	470.00
2013-01-10 , 	470.00
2013-01-11 , 	470.00
2013-01-12 , 	470.00
2013-01-13 , 	470.00
2013-01-14 , 	470.00
2013-01-15 , 	470.00
2013-01-16 , 	470.00
2013-01-17 , 	470.00
2013-01-18 , 	470.00
2013-01-19 , 	470.00
2013-01-20 , 	470.00
2013-01-21 , 	470.00
2013-01-22 , 	470.00
2013-01-23 , 	470.00
2013-01-24 , 	470.00
2013-01-25 , 	470.00
2013-01-26 , 	470.00
2013-01-27 , 	470.00
2013-01-28 , 	470.00
2013-01-29 , 	470.00
2013-01-30 , 	470.00
2013-01-31 , 	470.00
2013-02-01 , 	540.00
2013-02-02 , 	540.00
2013-02-03 , 	540.00
2013-02-04 , 	540.00
2013-02-05 , 	540.00
2013-02-06 , 	540.00
2013-02-07 , 	540.00
2013-02-08 , 	540.00
2013-02-09 , 	540.00
2013-02-10 , 	540.00
2013-02-11 , 	540.00
2013-02-12 , 	540.00
2013-02-13 , 	540.00
2013-02-14 , 	540.00
2013-02-15 , 	540.00
2013-02-16 , 	540.00
2013-02-17 , 	540.00
2013-02-18 , 	540.00
2013-02-19 , 	540.00
2013-02-20 , 	540.00
2013-02-21 , 	540.00
2013-02-22 , 	540.00
2013-02-23 , 	540.00
2013-02-24 , 	540.00
2013-02-25 , 	540.00
2013-02-26 , 	540.00
2013-02-27 , 	540.00
2013-02-28 , 	540.00
2013-03-01 , 	410.00
2013-03-02 , 	410.00
2013-03-03 , 	410.00
2013-03-04 , 	410.00
2013-03-05 , 	410.00
2013-03-06 , 	410.00
2013-03-07 , 	410.00
2013-03-08 , 	410.00
2013-03-09 , 	410.00
2013-03-10 , 	410.00
2013-03-11 , 	410.00
2013-03-12 , 	410.00
2013-03-13 , 	410.00
2013-03-14 , 	410.00
2013-03-15 , 	410.00
2013-03-16 , 	410.00
2013-03-17 , 	410.00
2013-03-18 , 	410.00
2013-03-19 , 	410.00
2013-03-20 , 	410.00
2013-03-21 , 	410.00
2013-03-22 , 	410.00
2013-03-23 , 	410.00
2013-03-24 , 	410.00
2013-03-25 , 	410.00
2013-03-26 , 	410.00
2013-03-27 , 	410.00
2013-03-28 , 	410.00
2013-03-29 , 	410.00
2013-03-30 , 	410.00
2013-03-31 , 	410.00
2013-04-01 , 	550.00
2013-04-02 , 	550.00
2013-04-03 , 	550.00
2013-04-04 , 	550.00
2013-04-05 , 	550.00
2013-04-06 , 	550.00
2013-04-07 , 	550.00
2013-04-08 , 	550.00
2013-04-09 , 	550.00
2013-04-10 , 	550.00
2013-04-11 , 	550.00
2013-04-12 , 	550.00
2013-04-13 , 	550.00
2013-04-14 , 	550.00
2013-04-15 , 	550.00
2013-04-16 , 	550.00
2013-04-17 , 	550.00
2013-04-18 , 	550.00
2013-04-19 , 	550.00
2013-04-20 , 	550.00
2013-04-21 , 	550.00
2013-04-22 , 	550.00
2013-04-23 , 	550.00
2013-04-24 , 	550.00
2013-04-25 , 	550.00
2013-04-26 , 	550.00
2013-04-27 , 	550.00
2013-04-28 , 	550.00
2013-04-29 , 	550.00
2013-04-30 , 	550.00
2013-05-01 , 	210.00
2013-05-02 , 	210.00
2013-05-03 , 	210.00
2013-05-04 , 	210.00
2013-05-05 , 	210.00
2013-05-06 , 	210.00
2013-05-07 , 	210.00
2013-05-08 , 	210.00
2013-05-09 , 	210.00
2013-05-10 , 	210.00
2013-05-11 , 	210.00
2013-05-12 , 	210.00
2013-05-13 , 	210.00
2013-05-14 , 	210.00
2013-05-15 , 	210.00
2013-05-16 , 	210.00
2013-05-17 , 	210.00
2013-05-18 , 	210.00
2013-05-19 , 	210.00
2013-05-20 , 	210.00
2013-05-21 , 	210.00
2013-05-22 , 	210.00
2013-05-23 , 	210.00
2013-05-24 , 	210.00
2013-05-25 , 	210.00
2013-05-26 , 	210.00
2013-05-27 , 	210.00
2013-05-28 , 	210.00
2013-05-29 , 	210.00
2013-05-30 , 	210.00
2013-05-31 , 	210.00
2013-06-01 , 	400.00
2013-06-02 , 	400.00
2013-06-03 , 	400.00
2013-06-04 , 	400.00
2013-06-05 , 	400.00
2013-06-06 , 	400.00
2013-06-07 , 	400.00
2013-06-08 , 	400.00
2013-06-09 , 	400.00
2013-06-10 , 	400.00
2013-06-11 , 	400.00
2013-06-12 , 	400.00
2013-06-13 , 	400.00
2013-06-14 , 	400.00
2013-06-15 , 	400.00
2013-06-16 , 	400.00
2013-06-17 , 	400.00
2013-06-18 , 	400.00
2013-06-19 , 	400.00
2013-06-20 , 	400.00
2013-06-21 , 	400.00
2013-06-22 , 	400.00
2013-06-23 , 	400.00
2013-06-24 , 	400.00
2013-06-25 , 	400.00
2013-06-26 , 	400.00
2013-06-27 , 	400.00
