UNITS:	cms	
KIND:	nbs	
INTERVAL:	dly	
LOCATION:	sup	
# m applied d		
2013-01-01 , 	-400.00
2013-01-02 , 	-400.00
2013-01-03 , 	-400.00
2013-01-04 , 	-400.00
2013-01-05 , 	-400.00
2013-01-06 , 	-400.00
2013-01-07 , 	-400.00
2013-01-08 , 	-400.00
2013-01-09 , 	-400.00
2013-01-10 , 	-400.00
2013-01-11 , 	-400.00
2013-01-12 , 	-400.00
2013-01-13 , 	-400.00
2013-01-14 , 	-400.00
2013-01-15 , 	-400.00
2013-01-16 , 	-400.00
2013-01-17 , 	-400.00
2013-01-18 , 	-400.00
2013-01-19 , 	-400.00
2013-01-20 , 	-400.00
2013-01-21 , 	-400.00
2013-01-22 , 	-400.00
2013-01-23 , 	-400.00
2013-01-24 , 	-400.00
2013-01-25 , 	-400.00
2013-01-26 , 	-400.00
2013-01-27 , 	-400.00
2013-01-28 , 	-400.00
2013-01-29 , 	-400.00
2013-01-30 , 	-400.00
2013-01-31 , 	-400.00
2013-02-01 , 	210.00
2013-02-02 , 	210.00
2013-02-03 , 	210.00
2013-02-04 , 	210.00
2013-02-05 , 	210.00
2013-02-06 , 	210.00
2013-02-07 , 	210.00
2013-02-08 , 	210.00
2013-02-09 , 	210.00
2013-02-10 , 	210.00
2013-02-11 , 	210.00
2013-02-12 , 	210.00
2013-02-13 , 	210.00
2013-02-14 , 	210.00
2013-02-15 , 	210.00
2013-02-16 , 	210.00
2013-02-17 , 	210.00
2013-02-18 , 	210.00
2013-02-19 , 	210.00
2013-02-20 , 	210.00
2013-02-21 , 	210.00
2013-02-22 , 	210.00
2013-02-23 , 	210.00
2013-02-24 , 	210.00
2013-02-25 , 	210.00
2013-02-26 , 	210.00
2013-02-27 , 	210.00
2013-02-28 , 	210.00
2013-03-01 , 	830.00
2013-03-02 , 	830.00
2013-03-03 , 	830.00
2013-03-04 , 	830.00
2013-03-05 , 	830.00
2013-03-06 , 	830.00
2013-03-07 , 	830.00
2013-03-08 , 	830.00
2013-03-09 , 	830.00
2013-03-10 , 	830.00
2013-03-11 , 	830.00
2013-03-12 , 	830.00
2013-03-13 , 	830.00
2013-03-14 , 	830.00
2013-03-15 , 	830.00
2013-03-16 , 	830.00
2013-03-17 , 	830.00
2013-03-18 , 	830.00
2013-03-19 , 	830.00
2013-03-20 , 	830.00
2013-03-21 , 	830.00
2013-03-22 , 	830.00
2013-03-23 , 	830.00
2013-03-24 , 	830.00
2013-03-25 , 	830.00
2013-03-26 , 	830.00
2013-03-27 , 	830.00
2013-03-28 , 	830.00
2013-03-29 , 	830.00
2013-03-30 , 	830.00
2013-03-31 , 	830.00
2013-04-01 , 	3990.00
2013-04-02 , 	3990.00
2013-04-03 , 	3990.00
2013-04-04 , 	3990.00
2013-04-05 , 	3990.00
2013-04-06 , 	3990.00
2013-04-07 , 	3990.00
2013-04-08 , 	3990.00
2013-04-09 , 	3990.00
2013-04-10 , 	3990.00
2013-04-11 , 	3990.00
2013-04-12 , 	3990.00
2013-04-13 , 	3990.00
2013-04-14 , 	3990.00
2013-04-15 , 	3990.00
2013-04-16 , 	3990.00
2013-04-17 , 	3990.00
2013-04-18 , 	3990.00
2013-04-19 , 	3990.00
2013-04-20 , 	3990.00
2013-04-21 , 	3990.00
2013-04-22 , 	3990.00
2013-04-23 , 	3990.00
2013-04-24 , 	3990.00
2013-04-25 , 	3990.00
2013-04-26 , 	3990.00
2013-04-27 , 	3990.00
2013-04-28 , 	3990.00
2013-04-29 , 	3990.00
2013-04-30 , 	3990.00
2013-05-01 , 	8910.00
2013-05-02 , 	8910.00
2013-05-03 , 	8910.00
2013-05-04 , 	8910.00
2013-05-05 , 	8910.00
2013-05-06 , 	8910.00
2013-05-07 , 	8910.00
