UNITS:	cms	
KIND:	flow	
INTERVAL:	dly	
LOCATION:	nia	
# m applied d		
2013-01-01 , 	5390.00
2013-01-02 , 	5390.00
2013-01-03 , 	5390.00
2013-01-04 , 	5390.00
2013-01-05 , 	5390.00
2013-01-06 , 	5390.00
2013-01-07 , 	5390.00
2013-01-08 , 	5390.00
2013-01-09 , 	5390.00
2013-01-10 , 	5390.00
2013-01-11 , 	5390.00
2013-01-12 , 	5390.00
2013-01-13 , 	5390.00
2013-01-14 , 	5390.00
2013-01-15 , 	5390.00
2013-01-16 , 	5390.00
2013-01-17 , 	5390.00
2013-01-18 , 	5390.00
2013-01-19 , 	5390.00
2013-01-20 , 	5390.00
2013-01-21 , 	5390.00
2013-01-22 , 	5390.00
2013-01-23 , 	5390.00
2013-01-24 , 	5390.00
2013-01-25 , 	5390.00
2013-01-26 , 	5390.00
2013-01-27 , 	5390.00
2013-01-28 , 	5390.00
2013-01-29 , 	5390.00
2013-01-30 , 	5390.00
2013-01-31 , 	5390.00
2013-02-01 , 	5270.00
2013-02-02 , 	5270.00
2013-02-03 , 	5270.00
2013-02-04 , 	5270.00
2013-02-05 , 	5270.00
2013-02-06 , 	5270.00
2013-02-07 , 	5270.00
2013-02-08 , 	5270.00
2013-02-09 , 	5270.00
2013-02-10 , 	5270.00
2013-02-11 , 	5270.00
2013-02-12 , 	5270.00
2013-02-13 , 	5270.00
2013-02-14 , 	5270.00
2013-02-15 , 	5270.00
2013-02-16 , 	5270.00
2013-02-17 , 	5270.00
2013-02-18 , 	5270.00
2013-02-19 , 	5270.00
2013-02-20 , 	5270.00
2013-02-21 , 	5270.00
2013-02-22 , 	5270.00
2013-02-23 , 	5270.00
2013-02-24 , 	5270.00
2013-02-25 , 	5270.00
2013-02-26 , 	5270.00
2013-02-27 , 	5270.00
2013-02-28 , 	5270.00
2013-03-01 , 	5260.00
2013-03-02 , 	5260.00
2013-03-03 , 	5260.00
2013-03-04 , 	5260.00
2013-03-05 , 	5260.00
2013-03-06 , 	5260.00
2013-03-07 , 	5260.00
2013-03-08 , 	5260.00
2013-03-09 , 	5260.00
2013-03-10 , 	5260.00
2013-03-11 , 	5260.00
2013-03-12 , 	5260.00
