UNITS:	cms	
KIND:	flow	
INTERVAL:	dly	
LOCATION:	scr	
# m applied d		
2013-01-01 , 	4280.00
2013-01-02 , 	4280.00
2013-01-03 , 	4280.00
2013-01-04 , 	4280.00
2013-01-05 , 	4280.00
2013-01-06 , 	4280.00
2013-01-07 , 	4280.00
2013-01-08 , 	4280.00
2013-01-09 , 	4280.00
2013-01-10 , 	4280.00
2013-01-11 , 	4280.00
2013-01-12 , 	4280.00
2013-01-13 , 	4280.00
2013-01-14 , 	4280.00
2013-01-15 , 	4280.00
2013-01-16 , 	4280.00
2013-01-17 , 	4280.00
2013-01-18 , 	4280.00
2013-01-19 , 	4280.00
2013-01-20 , 	4280.00
2013-01-21 , 	4280.00
2013-01-22 , 	4280.00
2013-01-23 , 	4280.00
2013-01-24 , 	4280.00
2013-01-25 , 	4280.00
2013-01-26 , 	4280.00
2013-01-27 , 	4280.00
2013-01-28 , 	4280.00
2013-01-29 , 	4280.00
2013-01-30 , 	4280.00
2013-01-31 , 	4280.00
2013-02-01 , 	4050.00
2013-02-02 , 	4050.00
2013-02-03 , 	4050.00
2013-02-04 , 	4050.00
2013-02-05 , 	4050.00
2013-02-06 , 	4050.00
2013-02-07 , 	4050.00
2013-02-08 , 	4050.00
2013-02-09 , 	4050.00
2013-02-10 , 	4050.00
2013-02-11 , 	4050.00
2013-02-12 , 	4050.00
2013-02-13 , 	4050.00
2013-02-14 , 	4050.00
2013-02-15 , 	4050.00
2013-02-16 , 	4050.00
2013-02-17 , 	4050.00
2013-02-18 , 	4050.00
2013-02-19 , 	4050.00
2013-02-20 , 	4050.00
2013-02-21 , 	4050.00
2013-02-22 , 	4050.00
2013-02-23 , 	4050.00
2013-02-24 , 	4050.00
2013-02-25 , 	4050.00
2013-02-26 , 	4050.00
2013-02-27 , 	4050.00
2013-02-28 , 	4050.00
2013-03-01 , 	4420.00
2013-03-02 , 	4420.00
2013-03-03 , 	4420.00
2013-03-04 , 	4420.00
2013-03-05 , 	4420.00
