UNITS:	cms	
KIND:	flow	
INTERVAL:	dly	
LOCATION:	stl	
# historical		
2013-01-01 , 	5970.00
2013-01-02 , 	5970.00
2013-01-03 , 	5970.00
2013-01-04 , 	5970.00
2013-01-05 , 	5970.00
2013-01-06 , 	5970.00
2013-01-07 , 	5970.00
2013-01-08 , 	5970.00
2013-01-09 , 	5970.00
2013-01-10 , 	5970.00
2013-01-11 , 	5970.00
2013-01-12 , 	5970.00
2013-01-13 , 	5970.00
2013-01-14 , 	5970.00
2013-01-15 , 	5970.00
2013-01-16 , 	5970.00
2013-01-17 , 	5970.00
2013-01-18 , 	5970.00
2013-01-19 , 	5970.00
2013-01-20 , 	5970.00
2013-01-21 , 	5970.00
2013-01-22 , 	5970.00
2013-01-23 , 	5970.00
2013-01-24 , 	5970.00
2013-01-25 , 	5970.00
2013-01-26 , 	5970.00
2013-01-27 , 	5970.00
2013-01-28 , 	5970.00
2013-01-29 , 	5970.00
2013-01-30 , 	5970.00
2013-01-31 , 	5970.00
2013-02-01 , 	6190.00
2013-02-02 , 	6190.00
2013-02-03 , 	6190.00
2013-02-04 , 	6190.00
2013-02-05 , 	6190.00
2013-02-06 , 	6190.00
2013-02-07 , 	6190.00
2013-02-08 , 	6190.00
2013-02-09 , 	6190.00
2013-02-10 , 	6190.00
2013-02-11 , 	6190.00
2013-02-12 , 	6190.00
2013-02-13 , 	6190.00
2013-02-14 , 	6190.00
2013-02-15 , 	6190.00
2013-02-16 , 	6190.00
2013-02-17 , 	6190.00
2013-02-18 , 	6190.00
2013-02-19 , 	6190.00
2013-02-20 , 	6190.00
2013-02-21 , 	6190.00
2013-02-22 , 	6190.00
2013-02-23 , 	6190.00
2013-02-24 , 	6190.00
2013-02-25 , 	6190.00
2013-02-26 , 	6190.00
2013-02-27 , 	6190.00
2013-02-28 , 	6190.00
2013-03-01 , 	6460.00
2013-03-02 , 	6460.00
2013-03-03 , 	6460.00
2013-03-04 , 	6460.00
2013-03-05 , 	6460.00
2013-03-06 , 	6460.00
2013-03-07 , 	6460.00
2013-03-08 , 	6460.00
2013-03-09 , 	6460.00
2013-03-10 , 	6460.00
2013-03-11 , 	6460.00
2013-03-12 , 	6460.00
2013-03-13 , 	6460.00
2013-03-14 , 	6460.00
2013-03-15 , 	6460.00
2013-03-16 , 	6460.00
2013-03-17 , 	6460.00
2013-03-18 , 	6460.00
2013-03-19 , 	6460.00
2013-03-20 , 	6460.00
2013-03-21 , 	6460.00
2013-03-22 , 	6460.00
2013-03-23 , 	6460.00
2013-03-24 , 	6460.00
2013-03-25 , 	6460.00
2013-03-26 , 	6460.00
2013-03-27 , 	6460.00
2013-03-28 , 	6460.00
2013-03-29 , 	6460.00
2013-03-30 , 	6460.00
2013-03-31 , 	6460.00
2013-04-01 , 	6420.00
2013-04-02 , 	6420.00
2013-04-03 , 	6420.00
2013-04-04 , 	6420.00
2013-04-05 , 	6420.00
2013-04-06 , 	6420.00
2013-04-07 , 	6420.00
2013-04-08 , 	6420.00
2013-04-09 , 	6420.00
2013-04-10 , 	6420.00
2013-04-11 , 	6420.00
2013-04-12 , 	6420.00
2013-04-13 , 	6420.00
2013-04-14 , 	6420.00
2013-04-15 , 	6420.00
2013-04-16 , 	6420.00
2013-04-17 , 	6420.00
2013-04-18 , 	6420.00
2013-04-19 , 	6420.00
2013-04-20 , 	6420.00
2013-04-21 , 	6420.00
2013-04-22 , 	6420.00
2013-04-23 , 	6420.00
2013-04-24 , 	6420.00
2013-04-25 , 	6420.00
2013-04-26 , 	6420.00
2013-04-27 , 	6420.00
2013-04-28 , 	6420.00
2013-04-29 , 	6420.00
2013-04-30 , 	6420.00
2013-05-01 , 	6420.00
2013-05-02 , 	6420.00
2013-05-03 , 	6420.00
2013-05-04 , 	6420.00
2013-05-05 , 	6420.00
2013-05-06 , 	6420.00
2013-05-07 , 	6420.00
2013-05-08 , 	6420.00
2013-05-09 , 	6420.00
2013-05-10 , 	6420.00
2013-05-11 , 	6420.00
2013-05-12 , 	6420.00
2013-05-13 , 	6420.00
2013-05-14 , 	6420.00
2013-05-15 , 	6420.00
2013-05-16 , 	6420.00
2013-05-17 , 	6420.00
2013-05-18 , 	6420.00
2013-05-19 , 	6420.00
2013-05-20 , 	6420.00
2013-05-21 , 	6420.00
2013-05-22 , 	6420.00
2013-05-23 , 	6420.00
2013-05-24 , 	6420.00
2013-05-25 , 	6420.00
2013-05-26 , 	6420.00
2013-05-27 , 	6420.00
2013-05-28 , 	6420.00
2013-05-29 , 	6420.00
2013-05-30 , 	6420.00
2013-05-31 , 	6420.00
2013-06-01 , 	6600.00
2013-06-02 , 	6600.00
2013-06-03 , 	6600.00
2013-06-04 , 	6600.00
2013-06-05 , 	6600.00
2013-06-06 , 	6600.00
2013-06-07 , 	6600.00
2013-06-08 , 	6600.00
2013-06-09 , 	6600.00
2013-06-10 , 	6600.00
2013-06-11 , 	6600.00
2013-06-12 , 	6600.00
2013-06-13 , 	6600.00
2013-06-14 , 	6600.00
2013-06-15 , 	6600.00
2013-06-16 , 	6600.00
2013-06-17 , 	6600.00
2013-06-18 , 	6600.00
2013-06-19 , 	6600.00
2013-06-20 , 	6600.00
2013-06-21 , 	6600.00
2013-06-22 , 	6600.00
2013-06-23 , 	6600.00
2013-06-24 , 	6600.00
2013-06-25 , 	6600.00
2013-06-26 , 	6600.00
2013-06-27 , 	6600.00
2013-06-28 , 	6600.00
2013-06-29 , 	6600.00
2013-06-30 , 	6600.00
2013-07-01 , 	7480.00
2013-07-02 , 	7480.00
2013-07-03 , 	7480.00
2013-07-04 , 	7480.00
2013-07-05 , 	7480.00
2013-07-06 , 	7480.00
2013-07-07 , 	7480.00
2013-07-08 , 	7480.00
2013-07-09 , 	7480.00
2013-07-10 , 	7480.00
2013-07-11 , 	7480.00
2013-07-12 , 	7480.00
2013-07-13 , 	7480.00
2013-07-14 , 	7480.00
2013-07-15 , 	7480.00
2013-07-16 , 	7480.00
2013-07-17 , 	7480.00
2013-07-18 , 	7480.00
2013-07-19 , 	7480.00
2013-07-20 , 	7480.00
2013-07-21 , 	7480.00
2013-07-22 , 	7480.00
2013-07-23 , 	7480.00
2013-07-24 , 	7480.00
2013-07-25 , 	7480.00
2013-07-26 , 	7480.00
2013-07-27 , 	7480.00
2013-07-28 , 	7480.00
2013-07-29 , 	7480.00
2013-07-30 , 	7480.00
2013-07-31 , 	7480.00
2013-08-01 , 	7480.00
2013-08-02 , 	7480.00
2013-08-03 , 	7480.00
2013-08-04 , 	7480.00
2013-08-05 , 	7480.00
2013-08-06 , 	7480.00
2013-08-07 , 	7480.00
2013-08-08 , 	7480.00
2013-08-09 , 	7480.00
2013-08-10 , 	7480.00
2013-08-11 , 	7480.00
2013-08-12 , 	7480.00
2013-08-13 , 	7480.00
2013-08-14 , 	7480.00
2013-08-15 , 	7480.00
2013-08-16 , 	7480.00
2013-08-17 , 	7480.00
2013-08-18 , 	7480.00
2013-08-19 , 	7480.00
2013-08-20 , 	7480.00
2013-08-21 , 	7480.00
2013-08-22 , 	7480.00
2013-08-23 , 	7480.00
2013-08-24 , 	7480.00
2013-08-25 , 	7480.00
2013-08-26 , 	7480.00
2013-08-27 , 	7480.00
2013-08-28 , 	7480.00
2013-08-29 , 	7480.00
2013-08-30 , 	7480.00
2013-08-31 , 	7480.00
2013-09-01 , 	7260.00
2013-09-02 , 	7260.00
2013-09-03 , 	7260.00
2013-09-04 , 	7260.00
2013-09-05 , 	7260.00
2013-09-06 , 	7260.00
2013-09-07 , 	7260.00
2013-09-08 , 	7260.00
2013-09-09 , 	7260.00
2013-09-10 , 	7260.00
2013-09-11 , 	7260.00
2013-09-12 , 	7260.00
2013-09-13 , 	7260.00
2013-09-14 , 	7260.00
2013-09-15 , 	7260.00
2013-09-16 , 	7260.00
2013-09-17 , 	7260.00
2013-09-18 , 	7260.00
2013-09-19 , 	7260.00
2013-09-20 , 	7260.00
2013-09-21 , 	7260.00
2013-09-22 , 	7260.00
2013-09-23 , 	7260.00
2013-09-24 , 	7260.00
2013-09-25 , 	7260.00
2013-09-26 , 	7260.00
2013-09-27 , 	7260.00
2013-09-28 , 	7260.00
2013-09-29 , 	7260.00
