UNITS:	cms	
KIND:	flow	
INTERVAL:	dly	
LOCATION:	det	
# m applied d		
2013-01-01 , 	4730.00
2013-01-02 , 	4730.00
2013-01-03 , 	4730.00
2013-01-04 , 	4730.00
2013-01-05 , 	4730.00
2013-01-06 , 	4730.00
2013-01-07 , 	4730.00
2013-01-08 , 	4730.00
2013-01-09 , 	4730.00
2013-01-10 , 	4730.00
2013-01-11 , 	4730.00
2013-01-12 , 	4730.00
2013-01-13 , 	4730.00
2013-01-14 , 	4730.00
2013-01-15 , 	4730.00
2013-01-16 , 	4730.00
2013-01-17 , 	4730.00
2013-01-18 , 	4730.00
2013-01-19 , 	4730.00
2013-01-20 , 	4730.00
2013-01-21 , 	4730.00
2013-01-22 , 	4730.00
2013-01-23 , 	4730.00
2013-01-24 , 	4730.00
2013-01-25 , 	4730.00
2013-01-26 , 	4730.00
2013-01-27 , 	4730.00
2013-01-28 , 	4730.00
2013-01-29 , 	4730.00
2013-01-30 , 	4730.00
2013-01-31 , 	4730.00
2013-02-01 , 	4540.00
2013-02-02 , 	4540.00
2013-02-03 , 	4540.00
2013-02-04 , 	4540.00
2013-02-05 , 	4540.00
2013-02-06 , 	4540.00
2013-02-07 , 	4540.00
2013-02-08 , 	4540.00
2013-02-09 , 	4540.00
2013-02-10 , 	4540.00
2013-02-11 , 	4540.00
2013-02-12 , 	4540.00
2013-02-13 , 	4540.00
2013-02-14 , 	4540.00
2013-02-15 , 	4540.00
2013-02-16 , 	4540.00
2013-02-17 , 	4540.00
2013-02-18 , 	4540.00
2013-02-19 , 	4540.00
2013-02-20 , 	4540.00
2013-02-21 , 	4540.00
2013-02-22 , 	4540.00
2013-02-23 , 	4540.00
2013-02-24 , 	4540.00
2013-02-25 , 	4540.00
2013-02-26 , 	4540.00
2013-02-27 , 	4540.00
2013-02-28 , 	4540.00
2013-03-01 , 	4850.00
2013-03-02 , 	4850.00
2013-03-03 , 	4850.00
2013-03-04 , 	4850.00
2013-03-05 , 	4850.00
2013-03-06 , 	4850.00
2013-03-07 , 	4850.00
2013-03-08 , 	4850.00
2013-03-09 , 	4850.00
2013-03-10 , 	4850.00
2013-03-11 , 	4850.00
2013-03-12 , 	4850.00
2013-03-13 , 	4850.00
2013-03-14 , 	4850.00
2013-03-15 , 	4850.00
2013-03-16 , 	4850.00
2013-03-17 , 	4850.00
2013-03-18 , 	4850.00
2013-03-19 , 	4850.00
2013-03-20 , 	4850.00
2013-03-21 , 	4850.00
2013-03-22 , 	4850.00
2013-03-23 , 	4850.00
2013-03-24 , 	4850.00
2013-03-25 , 	4850.00
2013-03-26 , 	4850.00
2013-03-27 , 	4850.00
2013-03-28 , 	4850.00
2013-03-29 , 	4850.00
2013-03-30 , 	4850.00
2013-03-31 , 	4850.00
2013-04-01 , 	4920.00
2013-04-02 , 	4920.00
2013-04-03 , 	4920.00
2013-04-04 , 	4920.00
2013-04-05 , 	4920.00
2013-04-06 , 	4920.00
2013-04-07 , 	4920.00
2013-04-08 , 	4920.00
2013-04-09 , 	4920.00
2013-04-10 , 	4920.00
2013-04-11 , 	4920.00
2013-04-12 , 	4920.00
2013-04-13 , 	4920.00
2013-04-14 , 	4920.00
2013-04-15 , 	4920.00
2013-04-16 , 	4920.00
2013-04-17 , 	4920.00
2013-04-18 , 	4920.00
2013-04-19 , 	4920.00
2013-04-20 , 	4920.00
2013-04-21 , 	4920.00
2013-04-22 , 	4920.00
2013-04-23 , 	4920.00
2013-04-24 , 	4920.00
2013-04-25 , 	4920.00
2013-04-26 , 	4920.00
2013-04-27 , 	4920.00
2013-04-28 , 	4920.00
2013-04-29 , 	4920.00
2013-04-30 , 	4920.00
2013-05-01 , 	5010.00
2013-05-02 , 	5010.00
2013-05-03 , 	5010.00
2013-05-04 , 	5010.00
2013-05-05 , 	5010.00
2013-05-06 , 	5010.00
2013-05-07 , 	5010.00
2013-05-08 , 	5010.00
2013-05-09 , 	5010.00
2013-05-10 , 	5010.00
2013-05-11 , 	5010.00
2013-05-12 , 	5010.00
2013-05-13 , 	5010.00
2013-05-14 , 	5010.00
2013-05-15 , 	5010.00
2013-05-16 , 	5010.00
2013-05-17 , 	5010.00
2013-05-18 , 	5010.00
2013-05-19 , 	5010.00
2013-05-20 , 	5010.00
2013-05-21 , 	5010.00
2013-05-22 , 	5010.00
2013-05-23 , 	5010.00
2013-05-24 , 	5010.00
2013-05-25 , 	5010.00
2013-05-26 , 	5010.00
2013-05-27 , 	5010.00
2013-05-28 , 	5010.00
2013-05-29 , 	5010.00
2013-05-30 , 	5010.00
2013-05-31 , 	5010.00
2013-06-01 , 	5190.00
2013-06-02 , 	5190.00
2013-06-03 , 	5190.00
2013-06-04 , 	5190.00
2013-06-05 , 	5190.00
2013-06-06 , 	5190.00
2013-06-07 , 	5190.00
2013-06-08 , 	5190.00
2013-06-09 , 	5190.00
2013-06-10 , 	5190.00
2013-06-11 , 	5190.00
2013-06-12 , 	5190.00
2013-06-13 , 	5190.00
2013-06-14 , 	5190.00
2013-06-15 , 	5190.00
2013-06-16 , 	5190.00
2013-06-17 , 	5190.00
2013-06-18 , 	5190.00
2013-06-19 , 	5190.00
2013-06-20 , 	5190.00
2013-06-21 , 	5190.00
2013-06-22 , 	5190.00
2013-06-23 , 	5190.00
2013-06-24 , 	5190.00
2013-06-25 , 	5190.00
2013-06-26 , 	5190.00
2013-06-27 , 	5190.00
2013-06-28 , 	5190.00
2013-06-29 , 	5190.00
2013-06-30 , 	5190.00
2013-07-01 , 	5180.00
2013-07-02 , 	5180.00
2013-07-03 , 	5180.00
2013-07-04 , 	5180.00
2013-07-05 , 	5180.00
2013-07-06 , 	5180.00
2013-07-07 , 	5180.00
2013-07-08 , 	5180.00
2013-07-09 , 	5180.00
2013-07-10 , 	5180.00
2013-07-11 , 	5180.00
2013-07-12 , 	5180.00
