UNITS:	meters	
KIND:	mlv	
INTERVAL:	dly	
LOCATION:	mhu	
# daily lwa		
2013-01-01 , 	175.59
2013-01-02 , 	175.58
2013-01-03 , 	175.59
2013-01-04 , 	175.59
2013-01-05 , 	175.57
2013-01-06 , 	175.58
2013-01-07 , 	175.58
2013-01-08 , 	175.56
2013-01-09 , 	175.57
2013-01-10 , 	175.57
2013-01-11 , 	175.58
2013-01-12 , 	175.58
2013-01-13 , 	175.58
2013-01-14 , 	175.58
2013-01-15 , 	175.58
2013-01-16 , 	175.57
2013-01-17 , 	175.57
2013-01-18 , 	175.57
2013-01-19 , 	175.55
2013-01-20 , 	175.57
2013-01-21 , 	175.57
2013-01-22 , 	175.56
2013-01-23 , 	175.54
2013-01-24 , 	175.55
2013-01-25 , 	175.55
2013-01-26 , 	175.55
2013-01-27 , 	175.55
2013-01-28 , 	175.56
2013-01-29 , 	175.58
2013-01-30 , 	175.58
2013-01-31 , 	175.60
2013-02-01 , 	175.60
2013-02-02 , 	175.59
2013-02-03 , 	175.60
2013-02-04 , 	175.60
2013-02-05 , 	175.59
2013-02-06 , 	175.60
2013-02-07 , 	175.59
2013-02-08 , 	175.60
2013-02-09 , 	175.61
2013-02-10 , 	175.60
2013-02-11 , 	175.62
2013-02-12 , 	175.62
2013-02-13 , 	175.61
2013-02-14 , 	175.61
2013-02-15 , 	175.61
2013-02-16 , 	175.61
2013-02-17 , 	175.62
2013-02-18 , 	175.61
2013-02-19 , 	175.61
2013-02-20 , 	175.61
2013-02-21 , 	175.61
2013-02-22 , 	175.61
2013-02-23 , 	175.62
2013-02-24 , 	175.62
2013-02-25 , 	175.62
2013-02-26 , 	175.62
2013-02-27 , 	175.62
2013-02-28 , 	175.62
2013-03-01 , 	175.62
2013-03-02 , 	175.62
2013-03-03 , 	175.62
2013-03-04 , 	175.62
2013-03-05 , 	175.61
2013-03-06 , 	175.62
2013-03-07 , 	175.62
2013-03-08 , 	175.62
2013-03-09 , 	175.62
2013-03-10 , 	175.63
2013-03-11 , 	175.64
2013-03-12 , 	175.64
2013-03-13 , 	175.65
2013-03-14 , 	175.65
2013-03-15 , 	175.65
2013-03-16 , 	175.64
2013-03-17 , 	175.65
2013-03-18 , 	175.64
2013-03-19 , 	175.66
2013-03-20 , 	175.65
2013-03-21 , 	175.64
2013-03-22 , 	175.65
2013-03-23 , 	175.64
2013-03-24 , 	175.63
2013-03-25 , 	175.63
2013-03-26 , 	175.64
2013-03-27 , 	175.64
2013-03-28 , 	175.64
2013-03-29 , 	175.64
2013-03-30 , 	175.64
2013-03-31 , 	175.63
2013-04-01 , 	175.64
2013-04-02 , 	175.64
2013-04-03 , 	175.64
2013-04-04 , 	175.63
2013-04-05 , 	175.64
2013-04-06 , 	175.63
2013-04-07 , 	175.65
2013-04-08 , 	175.66
2013-04-09 , 	175.68
2013-04-10 , 	175.69
2013-04-11 , 	175.69
2013-04-12 , 	175.72
2013-04-13 , 	175.73
2013-04-14 , 	175.73
2013-04-15 , 	175.74
2013-04-16 , 	175.76
2013-04-17 , 	175.78
2013-04-18 , 	175.81
2013-04-19 , 	175.81
2013-04-20 , 	175.82
2013-04-21 , 	175.82
2013-04-22 , 	175.83
2013-04-23 , 	175.84
2013-04-24 , 	175.86
2013-04-25 , 	175.86
2013-04-26 , 	175.86
