UNITS:	meters	
KIND:	mlv	
INTERVAL:	dly	
LOCATION:	ont	
# daily lwa			
2013-01-01 , 	74.38
2013-01-02 , 	74.52
2013-01-03 , 	74.57
2013-01-04 , 	74.72
2013-01-05 , 	74.88
2013-01-06 , 	75.10
2013-01-07 , 	75.14
2013-01-08 , 	74.99
2013-01-09 , 	74.79
2013-01-10 , 	74.64
2013-01-11 , 	74.60
2013-01-12 , 	74.53
2013-01-13 , 	74.64
2013-01-14 , 	74.61
2013-01-15 , 	74.55
2013-01-16 , 	74.83
2013-01-17 , 	75.14
2013-01-18 , 	75.17
2013-01-19 , 	75.09
2013-01-20 , 	74.96
2013-01-21 , 	74.78
2013-01-22 , 	74.59
2013-01-23 , 	74.46
2013-01-24 , 	74.46
2013-01-25 , 	74.56
2013-01-26 , 	74.50
2013-01-27 , 	74.41
2013-01-28 , 	74.62
2013-01-29 , 	74.81
2013-01-30 , 	75.02
2013-01-31 , 	75.21
2013-02-01 , 	75.11
2013-02-02 , 	74.91
2013-02-03 , 	74.67
2013-02-04 , 	74.56
2013-02-05 , 	74.47
2013-02-06 , 	74.63
2013-02-07 , 	74.82
2013-02-08 , 	74.97
2013-02-09 , 	75.11
2013-02-10 , 	75.09
2013-02-11 , 	75.02
2013-02-12 , 	74.95
2013-02-13 , 	74.84
2013-02-14 , 	74.70
2013-02-15 , 	74.54
2013-02-16 , 	74.48
2013-02-17 , 	74.46
2013-02-18 , 	74.62
2013-02-19 , 	74.82
2013-02-20 , 	75.00
2013-02-21 , 	75.35
2013-02-22 , 	75.80
2013-02-23 , 	75.81
2013-02-24 , 	75.69
2013-02-25 , 	75.43
2013-02-26 , 	75.08
2013-02-27 , 	74.86
2013-02-28 , 	74.87
2013-03-01 , 	74.77
2013-03-02 , 	74.56
2013-03-03 , 	74.56
2013-03-04 , 	74.55
2013-03-05 , 	74.56
2013-03-06 , 	74.55
2013-03-07 , 	74.55
2013-03-08 , 	74.54
2013-03-09 , 	74.54
2013-03-10 , 	74.55
2013-03-11 , 	74.55
2013-03-12 , 	74.57
2013-03-13 , 	74.57
2013-03-14 , 	74.58
2013-03-15 , 	74.58
2013-03-16 , 	74.58
2013-03-17 , 	74.58
2013-03-18 , 	74.59
2013-03-19 , 	74.60
2013-03-20 , 	74.59
2013-03-21 , 	74.59
2013-03-22 , 	74.60
2013-03-23 , 	74.59
2013-03-24 , 	74.59
2013-03-25 , 	74.59
2013-03-26 , 	74.59
2013-03-27 , 	74.59
2013-03-28 , 	74.59
2013-03-29 , 	74.59
2013-03-30 , 	74.59
2013-03-31 , 	74.60
2013-04-01 , 	74.60
2013-04-02 , 	74.59
2013-04-03 , 	74.59
2013-04-04 , 	74.59
2013-04-05 , 	74.59
2013-04-06 , 	74.60
2013-04-07 , 	74.60
2013-04-08 , 	74.60
2013-04-09 , 	74.62
2013-04-10 , 	74.64
2013-04-11 , 	74.65
2013-04-12 , 	74.69
2013-04-13 , 	74.71
2013-04-14 , 	74.72
2013-04-15 , 	74.74
2013-04-16 , 	74.75
2013-04-17 , 	74.76
2013-04-18 , 	74.77
2013-04-19 , 	74.78
2013-04-20 , 	74.79
2013-04-21 , 	74.80
2013-04-22 , 	74.80
2013-04-23 , 	74.80
2013-04-24 , 	74.82
2013-04-25 , 	74.82
2013-04-26 , 	74.83
2013-04-27 , 	74.83
2013-04-28 , 	74.83
2013-04-29 , 	74.84
2013-04-30 , 	74.85
2013-05-01 , 	74.85
2013-05-02 , 	74.85
2013-05-03 , 	74.86
2013-05-04 , 	74.85
2013-05-05 , 	74.85
2013-05-06 , 	74.85
2013-05-07 , 	74.85
2013-05-08 , 	74.85
2013-05-09 , 	74.86
