UNITS:	meters	
KIND:	mlv	
INTERVAL:	dly	
LOCATION:	stc	
# daily lwa		
2013-01-01 , 	174.52
2013-01-02 , 	174.50
2013-01-03 , 	174.46
2013-01-04 , 	174.49
2013-01-05 , 	174.50
2013-01-06 , 	174.48
2013-01-07 , 	174.48
2013-01-08 , 	174.46
2013-01-09 , 	174.48
2013-01-10 , 	174.50
2013-01-11 , 	174.51
2013-01-12 , 	174.58
2013-01-13 , 	174.62
2013-01-14 , 	174.64
2013-01-15 , 	174.63
2013-01-16 , 	174.62
2013-01-17 , 	174.59
2013-01-18 , 	174.52
2013-01-19 , 	174.50
2013-01-20 , 	174.52
2013-01-21 , 	174.52
2013-01-22 , 	174.53
2013-01-23 , 	174.55
2013-01-24 , 	174.54
2013-01-25 , 	174.49
2013-01-26 , 	174.45
2013-01-27 , 	174.44
2013-01-28 , 	174.46
2013-01-29 , 	174.53
2013-01-30 , 	174.53
2013-01-31 , 	174.57
2013-02-01 , 	174.60
2013-02-02 , 	174.64
2013-02-03 , 	174.64
2013-02-04 , 	174.65
2013-02-05 , 	174.63
2013-02-06 , 	174.62
2013-02-07 , 	174.62
2013-02-08 , 	174.60
2013-02-09 , 	174.55
2013-02-10 , 	174.50
2013-02-11 , 	174.46
2013-02-12 , 	174.48
2013-02-13 , 	174.48
2013-02-14 , 	174.48
2013-02-15 , 	174.50
2013-02-16 , 	174.51
2013-02-17 , 	174.50
2013-02-18 , 	174.46
2013-02-19 , 	174.42
2013-02-20 , 	174.43
2013-02-21 , 	174.48
2013-02-22 , 	174.48
2013-02-23 , 	174.48
2013-02-24 , 	174.50
2013-02-25 , 	174.54
2013-02-26 , 	174.62
2013-02-27 , 	174.65
2013-02-28 , 	174.68
2013-03-01 , 	174.68
2013-03-02 , 	174.68
2013-03-03 , 	174.66
2013-03-04 , 	174.66
2013-03-05 , 	174.66
2013-03-06 , 	174.64
2013-03-07 , 	174.63
2013-03-08 , 	174.62
2013-03-09 , 	174.62
2013-03-10 , 	174.60
2013-03-11 , 	174.60
2013-03-12 , 	174.62
2013-03-13 , 	174.68
2013-03-14 , 	174.68
2013-03-15 , 	174.71
2013-03-16 , 	174.72
2013-03-17 , 	174.74
2013-03-18 , 	174.60
2013-03-19 , 	174.56
2013-03-20 , 	174.56
2013-03-21 , 	174.57
2013-03-22 , 	174.58
2013-03-23 , 	174.61
2013-03-24 , 	174.66
2013-03-25 , 	174.64
2013-03-26 , 	174.62
2013-03-27 , 	174.62
2013-03-28 , 	174.62
2013-03-29 , 	174.62
2013-03-30 , 	174.61
2013-03-31 , 	174.62
2013-04-01 , 	174.62
2013-04-02 , 	174.64
2013-04-03 , 	174.61
2013-04-04 , 	174.64
2013-04-05 , 	174.62
2013-04-06 , 	174.58
2013-04-07 , 	174.60
2013-04-08 , 	174.62
2013-04-09 , 	174.66
2013-04-10 , 	174.76
2013-04-11 , 	174.82
2013-04-12 , 	174.82
2013-04-13 , 	174.86
2013-04-14 , 	174.86
2013-04-15 , 	174.84
2013-04-16 , 	174.85
2013-04-17 , 	174.83
2013-04-18 , 	174.76
2013-04-19 , 	174.79
2013-04-20 , 	174.84
2013-04-21 , 	174.84
2013-04-22 , 	174.82
2013-04-23 , 	174.82
2013-04-24 , 	174.80
2013-04-25 , 	174.82
2013-04-26 , 	174.82
2013-04-27 , 	174.82
2013-04-28 , 	174.84
2013-04-29 , 	174.82
2013-04-30 , 	174.82
2013-05-01 , 	174.82
2013-05-02 , 	174.83
2013-05-03 , 	174.82
2013-05-04 , 	174.82
2013-05-05 , 	174.83
2013-05-06 , 	174.83
2013-05-07 , 	174.82
2013-05-08 , 	174.82
2013-05-09 , 	174.84
2013-05-10 , 	174.83
2013-05-11 , 	174.78
2013-05-12 , 	174.82
2013-05-13 , 	174.82
2013-05-14 , 	174.81
2013-05-15 , 	174.82
2013-05-16 , 	174.83
2013-05-17 , 	174.84
2013-05-18 , 	174.84
2013-05-19 , 	174.82
2013-05-20 , 	174.82
2013-05-21 , 	174.81
2013-05-22 , 	174.86
2013-05-23 , 	174.88
2013-05-24 , 	174.86
2013-05-25 , 	174.85
2013-05-26 , 	174.84
2013-05-27 , 	174.88
2013-05-28 , 	174.88
2013-05-29 , 	174.90
2013-05-30 , 	174.90
2013-05-31 , 	174.91
2013-06-01 , 	174.92
2013-06-02 , 	174.94
2013-06-03 , 	174.94
2013-06-04 , 	174.94
2013-06-05 , 	174.96
2013-06-06 , 	174.95
2013-06-07 , 	174.94
2013-06-08 , 	174.94
2013-06-09 , 	174.96
2013-06-10 , 	174.96
2013-06-11 , 	174.96
2013-06-12 , 	175.02
2013-06-13 , 	175.05
2013-06-14 , 	175.02
2013-06-15 , 	175.01
2013-06-16 , 	175.02
2013-06-17 , 	175.06
2013-06-18 , 	175.04
2013-06-19 , 	175.02
2013-06-20 , 	175.01
2013-06-21 , 	175.00
2013-06-22 , 	175.00
2013-06-23 , 	174.98
2013-06-24 , 	174.99
2013-06-25 , 	175.00
2013-06-26 , 	175.02
2013-06-27 , 	175.04
2013-06-28 , 	175.08
2013-06-29 , 	175.09
2013-06-30 , 	175.10
2013-07-01 , 	175.10
2013-07-02 , 	175.10
2013-07-03 , 	175.07
2013-07-04 , 	175.08
2013-07-05 , 	175.08
2013-07-06 , 	175.08
2013-07-07 , 	175.08
2013-07-08 , 	175.11
2013-07-09 , 	175.14
2013-07-10 , 	175.17
2013-07-11 , 	175.16
2013-07-12 , 	175.14
2013-07-13 , 	175.13
2013-07-14 , 	175.12
2013-07-15 , 	175.10
2013-07-16 , 	175.10
2013-07-17 , 	175.09
2013-07-18 , 	175.06
2013-07-19 , 	175.11
2013-07-20 , 	175.13
2013-07-21 , 	175.12
2013-07-22 , 	175.10
2013-07-23 , 	175.14
2013-07-24 , 	175.10
2013-07-25 , 	175.09
2013-07-26 , 	175.06
2013-07-27 , 	175.04
2013-07-28 , 	175.03
2013-07-29 , 	175.04
2013-07-30 , 	175.04
2013-07-31 , 	175.04
2013-08-01 , 	175.03
2013-08-02 , 	175.04
2013-08-03 , 	175.05
2013-08-04 , 	175.04
2013-08-05 , 	175.03
2013-08-06 , 	175.02
2013-08-07 , 	175.04
2013-08-08 , 	175.03
2013-08-09 , 	175.04
2013-08-10 , 	175.04
2013-08-11 , 	175.02
2013-08-12 , 	175.06
2013-08-13 , 	175.05
2013-08-14 , 	175.04
2013-08-15 , 	175.02
2013-08-16 , 	175.02
2013-08-17 , 	175.02
2013-08-18 , 	175.00
2013-08-19 , 	175.00
2013-08-20 , 	174.98
2013-08-21 , 	174.98
2013-08-22 , 	175.00
2013-08-23 , 	174.99
2013-08-24 , 	174.97
2013-08-25 , 	174.96
2013-08-26 , 	174.98
2013-08-27 , 	175.00
2013-08-28 , 	175.00
2013-08-29 , 	174.98
2013-08-30 , 	175.01
2013-08-31 , 	175.01
2013-09-01 , 	175.00
2013-09-02 , 	175.00
2013-09-03 , 	174.98
2013-09-04 , 	175.00
2013-09-05 , 	174.98
2013-09-06 , 	174.96
2013-09-07 , 	174.98
2013-09-08 , 	174.97
2013-09-09 , 	174.94
2013-09-10 , 	174.94
2013-09-11 , 	174.96
2013-09-12 , 	175.00
2013-09-13 , 	174.96
2013-09-14 , 	174.95
2013-09-15 , 	174.98
2013-09-16 , 	174.96
2013-09-17 , 	174.94
2013-09-18 , 	174.92
2013-09-19 , 	174.91
2013-09-20 , 	174.94
2013-09-21 , 	174.97
2013-09-22 , 	174.98
2013-09-23 , 	174.98
2013-09-24 , 	174.98
2013-09-25 , 	174.96
2013-09-26 , 	174.96
2013-09-27 , 	174.94
2013-09-28 , 	174.92
2013-09-29 , 	174.92
2013-09-30 , 	174.88
2013-10-01 , 	174.88
2013-10-02 , 	174.89
2013-10-03 , 	174.88
2013-10-04 , 	174.89
2013-10-05 , 	174.86
2013-10-06 , 	174.83
2013-10-07 , 	174.88
2013-10-08 , 	174.90
2013-10-09 , 	174.92
2013-10-10 , 	174.92
2013-10-11 , 	174.92
2013-10-12 , 	174.90
2013-10-13 , 	174.92
2013-10-14 , 	174.90
2013-10-15 , 	174.86
2013-10-16 , 	174.84
2013-10-17 , 	174.83
2013-10-18 , 	174.82
2013-10-19 , 	174.80
2013-10-20 , 	174.78
2013-10-21 , 	174.78
2013-10-22 , 	174.82
2013-10-23 , 	174.80
2013-10-24 , 	174.80
2013-10-25 , 	174.70
2013-10-26 , 	174.77
2013-10-27 , 	174.80
2013-10-28 , 	174.82
2013-10-29 , 	174.82
2013-10-30 , 	174.81
2013-10-31 , 	174.77
2013-11-01 , 	174.85
2013-11-02 , 	174.87
2013-11-03 , 	174.88
2013-11-04 , 	174.85
2013-11-05 , 	174.82
2013-11-06 , 	174.83
2013-11-07 , 	174.82
2013-11-08 , 	174.79
2013-11-09 , 	174.80
2013-11-10 , 	174.80
2013-11-11 , 	174.85
2013-11-12 , 	174.76
2013-11-13 , 	174.72
2013-11-14 , 	174.74
