UNITS:	meters	
KIND:	mlv	
INTERVAL:	dly	
LOCATION:	sup	
# daily lwa			
2013-01-01 , 	183.01
2013-01-02 , 	183.00
2013-01-03 , 	183.00
2013-01-04 , 	183.02
2013-01-05 , 	182.99
2013-01-06 , 	183.00
2013-01-07 , 	182.98
2013-01-08 , 	182.98
2013-01-09 , 	182.98
2013-01-10 , 	182.98
2013-01-11 , 	182.98
2013-01-12 , 	182.97
2013-01-13 , 	182.98
2013-01-14 , 	182.98
2013-01-15 , 	182.98
2013-01-16 , 	182.98
2013-01-17 , 	182.97
2013-01-18 , 	182.97
2013-01-19 , 	182.96
2013-01-20 , 	182.99
2013-01-21 , 	182.97
2013-01-22 , 	182.97
2013-01-23 , 	182.97
2013-01-24 , 	182.97
2013-01-25 , 	182.95
2013-01-26 , 	182.97
2013-01-27 , 	182.95
2013-01-28 , 	182.96
2013-01-29 , 	182.95
2013-01-30 , 	182.98
2013-01-31 , 	182.97
2013-02-01 , 	182.96
2013-02-02 , 	182.96
2013-02-03 , 	182.96
2013-02-04 , 	182.95
2013-02-05 , 	182.96
2013-02-06 , 	182.95
2013-02-07 , 	182.95
2013-02-08 , 	182.94
2013-02-09 , 	182.92
2013-02-10 , 	182.94
2013-02-11 , 	182.95
2013-02-12 , 	182.96
2013-02-13 , 	182.95
2013-02-14 , 	182.95
2013-02-15 , 	182.95
2013-02-16 , 	182.95
2013-02-17 , 	182.94
2013-02-18 , 	182.92
2013-02-19 , 	182.96
2013-02-20 , 	182.97
2013-02-21 , 	182.95
2013-02-22 , 	182.93
2013-02-23 , 	182.93
2013-02-24 , 	182.94
2013-02-25 , 	182.93
2013-02-26 , 	182.93
2013-02-27 , 	182.93
2013-02-28 , 	182.93
2013-03-01 , 	182.92
2013-03-02 , 	182.92
2013-03-03 , 	182.91
2013-03-04 , 	182.91
2013-03-05 , 	182.90
2013-03-06 , 	182.90
2013-03-07 , 	182.91
2013-03-08 , 	182.90
2013-03-09 , 	182.89
2013-03-10 , 	182.90
2013-03-11 , 	182.91
2013-03-12 , 	182.92
2013-03-13 , 	182.93
2013-03-14 , 	182.91
2013-03-15 , 	182.92
2013-03-16 , 	182.90
2013-03-17 , 	182.91
2013-03-18 , 	182.88
2013-03-19 , 	182.89
