UNITS:	meters	
KIND:	mlv	
INTERVAL:	mn	
LOCATION:	niagara	
# chippewa-grass island pool (CGIP)		
2013-01,	170.04
2013-02,	171.04
2013-03,	171.06
2013-04,	171.21
2013-05,	171.23
2013-06,	171.22
2013-07,	171.21
2013-08,	171.21
2013-09,	170.20
2013-10,	171.04
2013-11,	171.04
2013-12,	171.04
2014-01,	170.04
2014-02,	171.04
2014-03,	171.06
2014-04,	171.21
2014-05,	171.23
2014-06,	171.22
2014-07,	171.21
2014-08,	171.21
2014-09,	170.20
2014-10,	171.04
2014-11,	171.04
2014-12,	171.04
2015-01,	170.04
2015-02,	171.04
2015-03,	171.06
2015-04,	171.21
2015-05,	171.23
2015-06,	171.22
2015-07,	171.21
2015-08,	171.21
2015-09,	170.20
2015-10,	171.04
2015-11,	171.04
2015-12,	171.04
2016-01,	170.04
2016-02,	171.04
2016-03,	171.06
2016-04,	171.21
2016-05,	171.23
2016-06,	171.22
2016-07,	171.21
2016-08,	171.21
2016-09,	170.20
2016-10,	171.04
2016-11,	171.04
2016-12,	171.04
2017-01,	170.04
2017-02,	171.04
2017-03,	171.06
2017-04,	171.21
2017-05,	171.23
2017-06,	171.22
2017-07,	171.21
2017-08,	171.21
2017-09,	170.20
2017-10,	171.04
2017-11,	171.04
2017-12,	171.04
