UNITS:	cms	
KIND:	flow	
INTERVAL:	mn	
LOCATION:	welland diversion	
# welland		
2013-01,	220.00
2013-02,	211.00
2013-03,	222.00
2013-04,	247.00
2013-05,	244.00
2013-06,	246.00
2013-07,	248.00
2013-08,	190.00
2013-09,	190.00
2013-10,	190.00
2013-11,	90.00
2013-12,	140.00
2014-01,	220.00
2014-02,	211.00
2014-03,	222.00
2014-04,	247.00
2014-05,	244.00
2014-06,	246.00
2014-07,	248.00
2014-08,	190.00
2014-09,	190.00
2014-10,	190.00
2014-11,	90.00
2014-12,	140.00
2015-01,	220.00
2015-02,	211.00
2015-03,	222.00
2015-04,	247.00
2015-05,	244.00
2015-06,	246.00
2015-07,	248.00
2015-08,	190.00
2015-09,	190.00
2015-10,	190.00
2015-11,	90.00
2015-12,	140.00
2016-01,	220.00
2016-02,	211.00
2016-03,	222.00
2016-04,	247.00
2016-05,	244.00
2016-06,	246.00
2016-07,	248.00
2016-08,	190.00
2016-09,	190.00
2016-10,	190.00
2016-11,	90.00
2016-12,	140.00
2017-01,	220.00
2017-02,	211.00
2017-03,	222.00
2017-04,	247.00
2017-05,	244.00
2017-06,	246.00
2017-07,	248.00
2017-08,	190.00
2017-09,	190.00
2017-10,	190.00
2017-11,	90.00
2017-12,	140.00
