UNITS:	cms	
KIND:	flow	
INTERVAL:	mn	
LOCATION:	chicago diversion	
# chicago		
2013-01,	91.00
2013-02,	91.00
2013-03,	91.00
2013-04,	91.00
2013-05,	91.00
2013-06,	91.00
2013-07,	91.00
2013-08,	91.00
2013-09,	91.00
2013-10,	91.00
2013-11,	91.00
2013-12,	91.00
2014-01,	91.00
2014-02,	91.00
2014-03,	91.00
2014-04,	91.00
2014-05,	91.00
2014-06,	91.00
2014-07,	91.00
2014-08,	91.00
2014-09,	91.00
2014-10,	91.00
2014-11,	91.00
2014-12,	91.00
2015-01,	91.00
2015-02,	91.00
2015-03,	91.00
2015-04,	91.00
2015-05,	91.00
2015-06,	91.00
2015-07,	91.00
2015-08,	91.00
2015-09,	91.00
2015-10,	91.00
2015-11,	91.00
2015-12,	91.00
2016-01,	91.00
2016-02,	91.00
2016-03,	91.00
2016-04,	91.00
2016-05,	91.00
2016-06,	91.00
2016-07,	91.00
2016-08,	91.00
2016-09,	91.00
2016-10,	91.00
2016-11,	91.00
2016-12,	91.00
2017-01,	91.00
2017-02,	91.00
2017-03,	91.00
2017-04,	91.00
2017-05,	91.00
2017-06,	91.00
2017-07,	91.00
2017-08,	91.00
2017-09,	91.00
2017-10,	91.00
2017-11,	91.00
2017-12,	91.00
