UNITS:	cms	
KIND:	flow	
INTERVAL:	mn	
LOCATION:	oll
# long-lac and ogoki diversion (into superior)
2013-01,	88.00
2013-02,	90.00
2013-03,	79.00
2013-04,	63.00
2013-05,	193.00
2013-06,	354.00
2013-07,	198.00
2013-08,	100.00
2013-09,	109.00
2013-10,	175.00
2013-11,	182.00
2013-12,	147.00
2014-01,	122.00
2014-02,	105.00
2014-03,	85.00
2014-04,	74.00
2014-05,	217.00
2014-06,	312.00
2014-07,	94.00
2014-08,	60.00
2014-09,	192.00
2014-10,	237.00
2014-11,	221.00
2014-12,	167.00
2015-01,	130.00
2015-02,	114.00
2015-03,	92.00
2015-04,	97.00
2015-05,	263.00
2015-06,	328.00
2015-07,	153.00
2015-08,	231.00
2015-09,	222.00
2015-10,	173.00
2015-11,	155.00
2015-12,	181.00
2016-01,	169.00
2016-02,	146.00
2016-03,	120.00
2016-04,	109.00
2016-05,	166.00
2016-06,	235.00
2016-07,	201.00
2016-08,	153.00
2016-09,	200.00
2016-10,	183.00
2016-11,	200.00
2016-12,	169.00
2017-01,	162.00
2017-02,	137.00
2017-03,	116.00
2017-04,	143.00
2017-05,	337.00
2017-06,	353.00
2017-07,	242.00
2017-08,	145.00
2017-09,	115.00
2017-10,	147.00
2017-11,	117.00
2017-12,	110.00
