UNITS:	cms	
KIND:	icw	
INTERVAL:	mn	
LOCATION:	nia	
# 12-m series		
2013-01,	226.53
2013-02,	169.90
2013-03,	113.27
2013-04,	141.58
2013-05,	0.00
2013-06,	56.63
2013-07,	226.53
2013-08,	141.58
2013-09,	84.95
2013-10,	56.63
2013-11,	0.00
2013-12,	141.58
2014-01,	226.53
2014-02,	169.90
2014-03,	113.27
2014-04,	141.58
2014-05,	0.00
2014-06,	56.63
2014-07,	226.53
2014-08,	141.58
2014-09,	84.95
2014-10,	56.63
2014-11,	0.00
2014-12,	141.58
2015-01,	226.53
2015-02,	169.90
2015-03,	113.27
2015-04,	141.58
2015-05,	0.00
2015-06,	56.63
2015-07,	226.53
2015-08,	141.58
2015-09,	84.95
2015-10,	56.63
2015-11,	0.00
2015-12,	141.58
2016-01,	226.53
2016-02,	169.90
2016-03,	113.27
2016-04,	141.58
2016-05,	0.00
2016-06,	56.63
2016-07,	226.53
2016-08,	141.58
2016-09,	84.95
2016-10,	56.63
2016-11,	0.00
2016-12,	141.58
2017-01,	226.53
2017-02,	169.90
2017-03,	113.27
2017-04,	141.58
2017-05,	0.00
2017-06,	56.63
2017-07,	226.53
2017-08,	141.58
2017-09,	84.95
2017-10,	56.63
2017-11,	0.00
2017-12,	141.58
