UNITS:	cms	
KIND:	icw	
INTERVAL:	mn	
LOCATION:	scr	
# 12-m series		
2013-01,	538.02
2013-02,	453.07
2013-03,	113.27
2013-04,	0.00
2013-05,	0.00
2013-06,	0.00
2013-07,	0.00
2013-08,	0.00
2013-09,	0.00
2013-10,	0.00
2013-11,	0.00
2013-12,	84.95
2014-01,	538.02
2014-02,	453.07
2014-03,	113.27
2014-04,	0.00
2014-05,	0.00
2014-06,	0.00
2014-07,	0.00
2014-08,	0.00
2014-09,	0.00
2014-10,	0.00
2014-11,	0.00
2014-12,	84.95
2015-01,	538.02
2015-02,	453.07
2015-03,	113.27
2015-04,	0.00
2015-05,	0.00
2015-06,	0.00
2015-07,	0.00
2015-08,	0.00
2015-09,	0.00
2015-10,	0.00
2015-11,	0.00
2015-12,	84.95
2016-01,	538.02
2016-02,	453.07
2016-03,	113.27
2016-04,	0.00
2016-05,	0.00
2016-06,	0.00
2016-07,	0.00
2016-08,	0.00
2016-09,	0.00
2016-10,	0.00
2016-11,	0.00
2016-12,	84.95
2017-01,	538.02
2017-02,	453.07
2017-03,	113.27
2017-04,	0.00
2017-05,	0.00
2017-06,	0.00
2017-07,	0.00
2017-08,	0.00
2017-09,	0.00
2017-10,	0.00
2017-11,	0.00
2017-12,	84.95
