UNITS:	cms	
KIND:	icw	
INTERVAL:	mn	
LOCATION:	stl	
# 12-m series		
2013-01,	0.00
2013-02,	0.00
2013-03,	0.00
2013-04,	0.00
2013-05,	0.00
2013-06,	0.00
2013-07,	0.00
2013-08,	0.00
2013-09,	0.00
2013-10,	0.00
2013-11,	0.00
2013-12,	0.00
2014-01,	0.00
2014-02,	0.00
2014-03,	0.00
2014-04,	0.00
2014-05,	0.00
2014-06,	0.00
2014-07,	0.00
2014-08,	0.00
2014-09,	0.00
2014-10,	0.00
2014-11,	0.00
2014-12,	0.00
2015-01,	0.00
2015-02,	0.00
2015-03,	0.00
2015-04,	0.00
2015-05,	0.00
2015-06,	0.00
2015-07,	0.00
2015-08,	0.00
2015-09,	0.00
2015-10,	0.00
2015-11,	0.00
2015-12,	0.00
2016-01,	0.00
2016-02,	0.00
2016-03,	0.00
2016-04,	0.00
2016-05,	0.00
2016-06,	0.00
2016-07,	0.00
2016-08,	0.00
2016-09,	0.00
2016-10,	0.00
2016-11,	0.00
2016-12,	0.00
2017-01,	0.00
2017-02,	0.00
2017-03,	0.00
2017-04,	0.00
2017-05,	0.00
2017-06,	0.00
2017-07,	0.00
2017-08,	0.00
2017-09,	0.00
2017-10,	0.00
2017-11,	0.00
2017-12,	0.00
