UNITS:	cms	
KIND:	icw	
INTERVAL:	mn	
LOCATION:	smr	
# 12-m series		
2013-01,	0.26
2013-02,	0.27
2013-03,	0.22
2013-04,	0.08
2013-05,	0.02
2013-06,	0.02
2013-07,	0.04
2013-08,	0.05
2013-09,	0.06
2013-10,	0.05
2013-11,	0.05
2013-12,	0.11
2014-01,	0.26
2014-02,	0.27
2014-03,	0.22
2014-04,	0.08
2014-05,	0.02
2014-06,	0.02
2014-07,	0.04
2014-08,	0.05
2014-09,	0.06
2014-10,	0.05
2014-11,	0.05
2014-12,	0.11
2015-01,	0.26
2015-02,	0.27
2015-03,	0.22
2015-04,	0.08
2015-05,	0.02
2015-06,	0.02
2015-07,	0.04
2015-08,	0.05
2015-09,	0.06
2015-10,	0.05
2015-11,	0.05
2015-12,	0.11
2016-01,	0.26
2016-02,	0.27
2016-03,	0.22
2016-04,	0.08
2016-05,	0.02
2016-06,	0.02
2016-07,	0.04
2016-08,	0.05
2016-09,	0.06
2016-10,	0.05
2016-11,	0.05
2016-12,	0.11
2017-01,	0.26
2017-02,	0.27
2017-03,	0.22
2017-04,	0.08
2017-05,	0.02
2017-06,	0.02
2017-07,	0.04
2017-08,	0.05
2017-09,	0.06
2017-10,	0.05
2017-11,	0.05
2017-12,	0.11
