UNITS:	cms	
KIND:	nbs	
INTERVAL:	mn	
LOCATION:	eri	
# monthly	
2013-01,	750.00
2013-02,	1890.00
2013-03,	810.00
2013-04,	2720.00
2013-05,	800.00
2013-06,	2500.00
2013-07,	1190.00
2013-08,	-130.00
2013-09,	-850.00
2013-10,	-90.00
2013-11,	0.00
2013-12,	1350.00
2014-01,	1280.00
2014-02,	1160.00
2014-03,	1580.00
2014-04,	2690.00
2014-05,	2140.00
2014-06,	910.00
2014-07,	280.00
2014-08,	-80.00
2014-09,	170.00
2014-10,	0.00
2014-11,	-400.00
2014-12,	-150.00
2015-01,	940.00
2015-02,	-620.00
2015-03,	1530.00
2015-04,	1960.00
2015-05,	1990.00
2015-06,	3370.00
2015-07,	1010.00
2015-08,	-500.00
2015-09,	-90.00
2015-10,	-1260.00
2015-11,	-90.00
2015-12,	570.00
2016-01,	760.00
2016-02,	1260.00
2016-03,	2510.00
2016-04,	1880.00
2016-05,	1040.00
2016-06,	-100.00
2016-07,	110.00
2016-08,	-280.00
2016-09,	-270.00
2016-10,	-720.00
2016-11,	-800.00
2016-12,	520.00
2017-01,	2530.00
2017-02,	1320.00
2017-03,	1810.00
2017-04,	2500.00
2017-05,	3130.00
2017-06,	910.00
2017-07,	990.00
2017-08,	450.00
2017-09,	-850.00
2017-10,	-590.00
2017-11,	1280.00
2017-12,	-60.00
