UNITS:	cms	
KIND:	nbs	
INTERVAL:	mn	
LOCATION:	mhu	
# monthly		
2013-01,	2310.00
2013-02,	3890.00
2013-03,	3840.00
2013-04,	13760.00
2013-05,	9150.00
2013-06,	6060.00
2013-07,	3090.00
2013-08,	1820.00
2013-09,	-490.00
2013-10,	830.00
2013-11,	3230.00
2013-12,	1030.00
2014-01,	1960.00
2014-02,	2040.00
2014-03,	3580.00
2014-04,	11910.00
2014-05,	10000.00
2014-06,	7560.00
2014-07,	3120.00
2014-08,	4020.00
2014-09,	3560.00
2014-10,	3580.00
2014-11,	2810.00
2014-12,	3450.00
2015-01,	1040.00
2015-02,	1460.00
2015-03,	2650.00
2015-04,	7340.00
2015-05,	6910.00
2015-06,	6580.00
2015-07,	2540.00
2015-08,	1750.00
2015-09,	1200.00
2015-10,	-2030.00
2015-11,	2130.00
2015-12,	6970.00
2016-01,	630.00
2016-02,	4020.00
2016-03,	9530.00
2016-04,	8150.00
2016-05,	4890.00
2016-06,	3980.00
2016-07,	2640.00
2016-08,	1590.00
2016-09,	-140.00
2016-10,	-460.00
2016-11,	-320.00
2016-12,	-260.00
2017-01,	3360.00
2017-02,	5010.00
2017-03,	5410.00
2017-04,	11800.00
2017-05,	8900.00
2017-06,	8880.00
2017-07,	4250.00
2017-08,	1150.00
2017-09,	-100.00
2017-10,	3020.00
2017-11,	460.00
2017-12,	240.00
