UNITS:	cms	
KIND:	nbs	
INTERVAL:	mn	
LOCATION:	ont	
# monthly	
2013-01,	1360.00
2013-02,	1480.00
2013-03,	1300.00
2013-04,	2590.00
2013-05,	1280.00
2013-06,	2400.00
2013-07,	810.00
2013-08,	150.00
2013-09,	-60.00
2013-10,	580.00
2013-11,	810.00
2013-12,	1200.00
2014-01,	1140.00
2014-02,	1040.00
2014-03,	1200.00
2014-04,	4590.00
2014-05,	2400.00
2014-06,	1790.00
2014-07,	970.00
2014-08,	670.00
2014-09,	-40.00
2014-10,	180.00
2014-11,	180.00
2014-12,	900.00
2015-01,	650.00
2015-02,	90.00
2015-03,	920.00
2015-04,	2700.00
2015-05,	1000.00
2015-06,	2690.00
2015-07,	860.00
2015-08,	160.00
2015-09,	380.00
2015-10,	80.00
2015-11,	560.00
2015-12,	940.00
2016-01,	1010.00
2016-02,	2040.00
2016-03,	2370.00
2016-04,	1920.00
2016-05,	750.00
2016-06,	480.00
2016-07,	-60.00
2016-08,	170.00
2016-09,	-400.00
2016-10,	0.00
2016-11,	320.00
2016-12,	650.00
2017-01,	1900.00
2017-02,	1460.00
2017-03,	1940.00
2017-04,	3840.00
2017-05,	3720.00
2017-06,	2270.00
2017-07,	1590.00
2017-08,	240.00
2017-09,	50.00
2017-10,	680.00
2017-11,	1700.00
2017-12,	550.00
