UNITS:	cms	
KIND:	nbs	
INTERVAL:	mn	
LOCATION:	stc	
# monthly	
2013-01,	470.00
2013-02,	540.00
2013-03,	410.00
2013-04,	550.00
2013-05,	210.00
2013-06,	400.00
2013-07,	390.00
2013-08,	240.00
2013-09,	210.00
2013-10,	230.00
2013-11,	300.00
2013-12,	470.00
2014-01,	-630.00
2014-02,	120.00
2014-03,	460.00
2014-04,	430.00
2014-05,	520.00
2014-06,	290.00
2014-07,	320.00
2014-08,	250.00
2014-09,	320.00
2014-10,	270.00
2014-11,	280.00
2014-12,	220.00
2015-01,	200.00
2015-02,	550.00
2015-03,	490.00
2015-04,	350.00
2015-05,	280.00
2015-06,	480.00
2015-07,	390.00
2015-08,	290.00
2015-09,	280.00
2015-10,	130.00
2015-11,	250.00
2015-12,	250.00
2016-01,	380.00
2016-02,	470.00
2016-03,	530.00
2016-04,	480.00
2016-05,	300.00
2016-06,	260.00
2016-07,	270.00
2016-08,	260.00
2016-09,	200.00
2016-10,	140.00
2016-11,	140.00
2016-12,	350.00
2017-01,	470.00
2017-02,	360.00
2017-03,	350.00
2017-04,	220.00
2017-05,	100.00
2017-06,	150.00
2017-07,	-110.00
2017-08,	-180.00
2017-09,	-140.00
2017-10,	90.00
2017-11,	340.00
2017-12,	250.00
