UNITS:	cms	
KIND:	nbs	
INTERVAL:	mn	
LOCATION:	sup	
# monthly	
2013-01,	-400.00
2013-02,	210.00
2013-03,	830.00
2013-04,	3990.00
2013-05,	8910.00
2013-06,	4840.00
2013-07,	5760.00
2013-08,	3850.00
2013-09,	2050.00
2013-10,	1350.00
2013-11,	840.00
2013-12,	460.00
2014-01,	-560.00
2014-02,	1560.00
2014-03,	1580.00
2014-04,	5400.00
2014-05,	8420.00
2014-06,	5210.00
2014-07,	4430.00
2014-08,	3530.00
2014-09,	3350.00
2014-10,	2800.00
2014-11,	1470.00
2014-12,	330.00
2015-01,	-1060.00
2015-02,	-120.00
2015-03,	1800.00
2015-04,	3730.00
2015-05,	5640.00
2015-06,	4900.00
2015-07,	3560.00
2015-08,	2840.00
2015-09,	1920.00
2015-10,	-210.00
2015-11,	1750.00
2015-12,	2450.00
2016-01,	390.00
2016-02,	990.00
2016-03,	2280.00
2016-04,	2690.00
2016-05,	3490.00
2016-06,	5990.00
2016-07,	3950.00
2016-08,	2860.00
2016-09,	2600.00
2016-10,	-260.00
2016-11,	1110.00
2016-12,	-300.00
2017-01,	150.00
2017-02,	1530.00
2017-03,	620.00
2017-04,	6090.00
2017-05,	5660.00
2017-06,	5400.00
2017-07,	3320.00
2017-08,	4420.00
2017-09,	3310.00
2017-10,	3260.00
2017-11,	-180.00
2017-12,	1500.00
