UNITS:	cms	
KIND:	flow	
INTERVAL:	mn	
LOCATION:	nia	
# origin is monthly data
2013-01,	5390.00
2013-02,	5270.00
2013-03,	5260.00
2013-04,	5460.00
2013-05,	5570.00
2013-06,	5630.00
2013-07,	5910.00
2013-08,	5850.00
2013-09,	5590.00
2013-10,	5720.00
2013-11,	5750.00
2013-12,	5660.00
2014-01,	5300.00
2014-02,	5280.00
2014-03,	5360.00
2014-04,	5780.00
2014-05,	6190.00
2014-06,	6090.00
2014-07,	6130.00
2014-08,	6040.00
2014-09,	6000.00
2014-10,	6040.00
2014-11,	6130.00
2014-12,	5970.00
2015-01,	5810.00
2015-02,	5550.00
2015-03,	5450.00
2015-04,	5900.00
2015-05,	6070.00
2015-06,	6420.00
2015-07,	6930.00
2015-08,	6760.00
2015-09,	6370.00
2015-10,	6160.00
2015-11,	6210.00
2015-12,	5990.00
2016-01,	6320.00
2016-02,	6270.00
2016-03,	6360.00
2016-04,	6690.00
2016-05,	6840.00
2016-06,	6610.00
2016-07,	6500.00
2016-08,	6280.00
2016-09,	6020.00
2016-10,	5990.00
2016-11,	6160.00
2016-12,	6300.00
2017-01,	6330.00
2017-02,	6540.00
2017-03,	6510.00
2017-04,	6880.00
2017-05,	7320.00
2017-06,	7200.00
2017-07,	7170.00
2017-08,	6940.00
2017-09,	6580.00
2017-10,	6610.00
2017-11,	6800.00
2017-12,	6800.00
