UNITS:	cms	
KIND:	flow	
INTERVAL:	mn	
LOCATION:	scr	
# origin is monthly data
2013-01,	4280.00
2013-02,	4050.00
2013-03,	4420.00
2013-04,	4460.00
2013-05,	4830.00
2013-06,	4880.00
2013-07,	4760.00
2013-08,	4890.00
2013-09,	4910.00
2013-10,	4870.00
2013-11,	4970.00
2013-12,	4910.00
2014-01,	3940.00
2014-02,	4370.00
2014-03,	4570.00
2014-04,	4910.00
2014-05,	5120.00
2014-06,	5260.00
2014-07,	5400.00
2014-08,	5420.00
2014-09,	5490.00
2014-10,	5640.00
2014-11,	5670.00
2014-12,	5740.00
2015-01,	4500.00
2015-02,	4450.00
2015-03,	5210.00
2015-04,	5630.00
2015-05,	5700.00
2015-06,	5640.00
2015-07,	5530.00
2015-08,	5620.00
2015-09,	5670.00
2015-10,	5570.00
2015-11,	5600.00
2015-12,	5630.00
2016-01,	5660.00
2016-02,	5440.00
2016-03,	5590.00
2016-04,	5760.00
2016-05,	5860.00
2016-06,	5900.00
2016-07,	5890.00
2016-08,	5850.00
2016-09,	5830.00
2016-10,	5760.00
2016-11,	5730.00
2016-12,	5600.00
2017-01,	5460.00
2017-02,	5430.00
2017-03,	5840.00
2017-04,	5820.00
2017-05,	5820.00
2017-06,	5730.00
2017-07,	6070.00
2017-08,	6150.00
2017-09,	6180.00
2017-10,	6030.00
2017-11,	6130.00
2017-12,	5960.00
