UNITS:	cms	
KIND:	flow	
INTERVAL:	mn	
LOCATION:	stl	
# origin is monthly data
2013-01,	5970.00
2013-02,	6190.00
2013-03,	6460.00
2013-04,	6420.00
2013-05,	6420.00
2013-06,	6600.00
2013-07,	7480.00
2013-08,	7480.00
2013-09,	7260.00
2013-10,	6890.00
2013-11,	7290.00
2013-12,	6720.00
2014-01,	6322.00
2014-02,	6955.00
2014-03,	6935.00
2014-04,	6888.00
2014-05,	7835.00
2014-06,	8175.00
2014-07,	8322.00
2014-08,	8071.00
2014-09,	7860.00
2014-10,	7453.00
2014-11,	7210.00
2014-12,	6675.00
2015-01,	6285.00
2015-02,	6804.00
2015-03,	6460.00
2015-04,	6398.00
2015-05,	6587.00
2015-06,	6905.00
2015-07,	8253.00
2015-08,	8420.00
2015-09,	8511.00
2015-10,	7910.00
2015-11,	7820.00
2015-12,	6960.00
2016-01,	6120.00
2016-02,	7010.00
2016-03,	8060.00
2016-04,	8270.00
2016-05,	8440.00
2016-06,	7690.00
2016-07,	7440.00
2016-08,	7360.00
2016-09,	7350.00
2016-10,	6920.00
2016-11,	7000.00
2016-12,	6900.00
2017-01,	6440.00
2017-02,	6890.00
2017-03,	7400.00
2017-04,	7610.00
2017-05,	8560.00
2017-06,	10310.00
2017-07,	10400.00
2017-08,	9950.00
2017-09,	8920.00
2017-10,	8350.00
2017-11,	8500.00
2017-12,	8080.00
