UNITS:	cms	
KIND:	flow	
INTERVAL:	mn	
LOCATION:	det	
# origin is monthly data
2013-01,	4730.00
2013-02,	4540.00
2013-03,	4850.00
2013-04,	4920.00
2013-05,	5010.00
2013-06,	5190.00
2013-07,	5180.00
2013-08,	5140.00
2013-09,	5170.00
2013-10,	5150.00
2013-11,	5280.00
2013-12,	5350.00
2014-01,	3420.00
2014-02,	4410.00
2014-03,	4990.00
2014-04,	5280.00
2014-05,	5560.00
2014-06,	5530.00
2014-07,	5710.00
2014-08,	5690.00
2014-09,	5810.00
2014-10,	5910.00
2014-11,	5980.00
2014-12,	5990.00
2015-01,	4860.00
2015-02,	4990.00
2015-03,	5530.00
2015-04,	5950.00
2015-05,	5900.00
2015-06,	6030.00
2015-07,	5960.00
2015-08,	5940.00
2015-09,	5950.00
2015-10,	5820.00
2015-11,	5850.00
2015-12,	5870.00
2016-01,	6050.00
2016-02,	5880.00
2016-03,	6020.00
2016-04,	6230.00
2016-05,	6160.00
2016-06,	6160.00
2016-07,	6160.00
2016-08,	6120.00
2016-09,	6040.00
2016-10,	5990.00
2016-11,	5940.00
2016-12,	5950.00
2017-01,	5890.00
2017-02,	5760.00
2017-03,	6110.00
2017-04,	6010.00
2017-05,	5870.00
2017-06,	5870.00
2017-07,	5940.00
2017-08,	5980.00
2017-09,	6100.00
2017-10,	6200.00
2017-11,	6450.00
2017-12,	6220.00
