UNITS:	cms	
KIND:	flow	
INTERVAL:	mn	
LOCATION:	smr	
# origin is monthly data
2013-01,	1570.00
2013-02,	1560.00
2013-03,	1540.00
2013-04,	1540.00
2013-05,	1570.00
2013-06,	2050.00
2013-07,	2190.00
2013-08,	2690.00
2013-09,	2790.00
2013-10,	2790.00
2013-11,	2280.00
2013-12,	2180.00
2014-01,	2070.00
2014-02,	1970.00
2014-03,	1970.00
2014-04,	2020.00
2014-05,	2360.00
2014-06,	2700.00
2014-07,	3260.00
2014-08,	3280.00
2014-09,	2910.00
2014-10,	3040.00
2014-11,	2950.00
2014-12,	2380.00
2015-01,	2210.00
2015-02,	2190.00
2015-03,	2200.00
2015-04,	1950.00
2015-05,	2450.00
2015-06,	2720.00
2015-07,	3080.00
2015-08,	3070.00
2015-09,	2770.00
2015-10,	2780.00
2015-11,	2220.00
2015-12,	2320.00
2016-01,	2440.00
2016-02,	2400.00
2016-03,	2400.00
2016-04,	2170.00
2016-05,	2400.00
2016-06,	2460.00
2016-07,	2890.00
2016-08,	3010.00
2016-09,	2490.00
2016-10,	2740.00
2016-11,	2570.00
2016-12,	2380.00
2017-01,	2190.00
2017-02,	2300.00
2017-03,	2310.00
2017-04,	2150.00
2017-05,	1920.00
2017-06,	2300.00
2017-07,	3250.00
2017-08,	3300.00
2017-09,	2800.00
2017-10,	3100.00
2017-11,	3080.00
2017-12,	2240.00
