UNITS:	meters	
KIND:	mlv	
INTERVAL:	mn	
LOCATION:	eri	
# m applied d		
2013-01,	173.82
2013-02,	173.86
2013-03,	173.92
2013-04,	174.02
2013-05,	174.10
2013-06,	174.23
2013-07,	174.35
2013-08,	174.28
2013-09,	174.16
2013-10,	174.07
2013-11,	173.97
2013-12,	173.94
2014-01,	174.00
2014-02,	173.94
2014-03,	173.99
2014-04,	174.20
2014-05,	174.35
2014-06,	174.40
2014-07,	174.40
2014-08,	174.37
2014-09,	174.31
2014-10,	174.25
2014-11,	174.15
2014-12,	174.17
2015-01,	174.16
2015-02,	174.03
2015-03,	173.99
2015-04,	174.22
2015-05,	174.31
2015-06,	174.53
2015-07,	174.74
2015-08,	174.62
2015-09,	174.50
2015-10,	174.34
2015-11,	174.22
2015-12,	174.17
2016-01,	174.23
2016-02,	174.27
2016-03,	174.41
2016-04,	174.60
2016-05,	174.65
2016-06,	174.61
2016-07,	174.54
2016-08,	174.46
2016-09,	174.39
2016-10,	174.33
2016-11,	174.26
2016-12,	174.17
2017-01,	174.29
2017-02,	174.40
2017-03,	174.47
2017-04,	174.64
2017-05,	174.82
2017-06,	174.83
2017-07,	174.81
2017-08,	174.70
2017-09,	174.59
2017-10,	174.49
2017-11,	174.49
2017-12,	174.44
