UNITS:	meters	
KIND:	mlv	
INTERVAL:	mn	
LOCATION:	mhu	
# origin is monthly data
2013-01,	175.57
2013-02,	175.61
2013-03,	175.64
2013-04,	175.76
2013-05,	175.94
2013-06,	176.05
2013-07,	176.09
2013-08,	176.08
2013-09,	176.04
2013-10,	176.01
2013-11,	176.01
2013-12,	175.97
2014-01,	175.95
2014-02,	175.95
2014-03,	175.95
2014-04,	176.07
2014-05,	176.27
2014-06,	176.38
2014-07,	176.46
2014-08,	176.48
2014-09,	176.51
2014-10,	176.54
2014-11,	176.54
2014-12,	176.53
2015-01,	176.51
2015-02,	176.50
2015-03,	176.48
2015-04,	176.53
2015-05,	176.59
2015-06,	176.69
2015-07,	176.73
2015-08,	176.72
2015-09,	176.69
2015-10,	176.58
2015-11,	176.54
2015-12,	176.55
2016-01,	176.56
2016-02,	176.56
2016-03,	176.61
2016-04,	176.77
2016-05,	176.82
2016-06,	176.84
2016-07,	176.84
2016-08,	176.82
2016-09,	176.78
2016-10,	176.69
2016-11,	176.59
2016-12,	176.51
2017-01,	176.47
2017-02,	176.48
2017-03,	176.53
2017-04,	176.67
2017-05,	176.80
2017-06,	176.89
2017-07,	176.99
2017-08,	177.00
2017-09,	176.93
2017-10,	176.87
2017-11,	176.84
2017-12,	176.79
