UNITS:	meters	
KIND:	mlv	
INTERVAL:	mn	
LOCATION:	stc	
# origin is monthly data
2013-01,	174.52
2013-02,	174.54
2013-03,	174.64
2013-04,	174.76
2013-05,	174.84
2013-06,	175.00
2013-07,	175.10
2013-08,	175.01
2013-09,	174.96
2013-10,	174.84
2013-11,	174.79
2013-12,	174.80
2014-01,	174.67
2014-02,	174.62
2014-03,	174.80
2014-04,	174.96
2014-05,	175.14
2014-06,	175.21
2014-07,	175.26
2014-08,	175.26
2014-09,	175.26
2014-10,	175.18
2014-11,	175.10
2014-12,	175.13
2015-01,	174.93
2015-02,	174.74
2015-03,	174.95
2015-04,	175.18
2015-05,	175.23
2015-06,	175.44
2015-07,	175.55
2015-08,	175.48
2015-09,	175.42
2015-10,	175.25
2015-11,	175.12
2015-12,	175.12
2016-01,	175.18
2016-02,	175.17
2016-03,	175.33
2016-04,	175.49
2016-05,	175.50
2016-06,	175.51
2016-07,	175.49
2016-08,	175.46
2016-09,	175.41
2016-10,	175.31
2016-11,	175.19
2016-12,	175.12
2017-01,	175.19
2017-02,	175.22
2017-03,	175.30
2017-04,	175.47
2017-05,	175.62
2017-06,	175.64
2017-07,	175.70
2017-08,	175.66
2017-09,	175.58
2017-10,	175.45
2017-11,	175.44
2017-12,	175.36
