UNITS:	meters	
KIND:	mlv	
INTERVAL:	mn	
LOCATION:	sup	
# origin is monthly data
2013-01,	182.98
2013-02,	182.95
2013-03,	182.90
2013-04,	182.92
2013-05,	183.11
2013-06,	183.26
2013-07,	183.37
2013-08,	183.44
2013-09,	183.48
2013-10,	183.45
2013-11,	183.40
2013-12,	183.35
2014-01,	183.29
2014-02,	183.24
2014-03,	183.23
2014-04,	183.27
2014-05,	183.47
2014-06,	183.60
2014-07,	183.66
2014-08,	183.67
2014-09,	183.70
2014-10,	183.71
2014-11,	183.67
2014-12,	183.60
2015-01,	183.54
2015-02,	183.47
2015-03,	183.42
2015-04,	183.44
2015-05,	183.53
2015-06,	183.63
2015-07,	183.68
2015-08,	183.68
2015-09,	183.69
2015-10,	183.60
2015-11,	183.58
2015-12,	183.59
2016-01,	183.55
2016-02,	183.49
2016-03,	183.46
2016-04,	183.48
2016-05,	183.50
2016-06,	183.61
2016-07,	183.69
2016-08,	183.70
2016-09,	183.70
2016-10,	183.68
2016-11,	183.59
2016-12,	183.54
2017-01,	183.47
2017-02,	183.43
2017-03,	183.39
2017-04,	183.41
2017-05,	183.56
2017-06,	183.67
2017-07,	183.75
2017-08,	183.78
2017-09,	183.80
2017-10,	183.81
2017-11,	183.78
2017-12,	183.72
