UNITS:	cms	
KIND:	flow	
INTERVAL:	qm	
LOCATION:	welland diversion	
# welland		
2013-01-Q1,	220.00
2013-01-Q2,	220.00
2013-01-Q3,	220.00
2013-01-Q4,	220.00
2013-02-Q1,	211.00
2013-02-Q2,	211.00
2013-02-Q3,	211.00
2013-02-Q4,	211.00
2013-03-Q1,	222.00
2013-03-Q2,	222.00
2013-03-Q3,	222.00
2013-03-Q4,	222.00
2013-04-Q1,	247.00
2013-04-Q2,	247.00
2013-04-Q3,	247.00
2013-04-Q4,	247.00
2013-05-Q1,	244.00
2013-05-Q2,	244.00
2013-05-Q3,	244.00
2013-05-Q4,	244.00
2013-06-Q1,	246.00
2013-06-Q2,	246.00
2013-06-Q3,	246.00
2013-06-Q4,	246.00
2013-07-Q1,	248.00
2013-07-Q2,	248.00
2013-07-Q3,	248.00
2013-07-Q4,	248.00
2013-08-Q1,	190.00
2013-08-Q2,	190.00
2013-08-Q3,	190.00
2013-08-Q4,	190.00
2013-09-Q1,	190.00
2013-09-Q2,	190.00
2013-09-Q3,	190.00
2013-09-Q4,	190.00
2013-10-Q1,	190.00
2013-10-Q2,	190.00
2013-10-Q3,	190.00
2013-10-Q4,	190.00
2013-11-Q1,	90.00
2013-11-Q2,	90.00
2013-11-Q3,	90.00
2013-11-Q4,	90.00
2013-12-Q1,	140.00
2013-12-Q2,	140.00
2013-12-Q3,	140.00
2013-12-Q4,	140.00
2014-01-Q1,	220.00
2014-01-Q2,	220.00
2014-01-Q3,	220.00
2014-01-Q4,	220.00
2014-02-Q1,	211.00
2014-02-Q2,	211.00
2014-02-Q3,	211.00
2014-02-Q4,	211.00
2014-03-Q1,	222.00
2014-03-Q2,	222.00
2014-03-Q3,	222.00
2014-03-Q4,	222.00
2014-04-Q1,	247.00
2014-04-Q2,	247.00
2014-04-Q3,	247.00
2014-04-Q4,	247.00
2014-05-Q1,	244.00
2014-05-Q2,	244.00
2014-05-Q3,	244.00
2014-05-Q4,	244.00
2014-06-Q1,	246.00
2014-06-Q2,	246.00
2014-06-Q3,	246.00
2014-06-Q4,	246.00
2014-07-Q1,	248.00
2014-07-Q2,	248.00
2014-07-Q3,	248.00
2014-07-Q4,	248.00
2014-08-Q1,	190.00
2014-08-Q2,	190.00
2014-08-Q3,	190.00
2014-08-Q4,	190.00
2014-09-Q1,	190.00
2014-09-Q2,	190.00
2014-09-Q3,	190.00
2014-09-Q4,	190.00
2014-10-Q1,	190.00
2014-10-Q2,	190.00
2014-10-Q3,	190.00
2014-10-Q4,	190.00
2014-11-Q1,	90.00
2014-11-Q2,	90.00
2014-11-Q3,	90.00
2014-11-Q4,	90.00
2014-12-Q1,	140.00
2014-12-Q2,	140.00
2014-12-Q3,	140.00
2014-12-Q4,	140.00
2015-01-Q1,	220.00
2015-01-Q2,	220.00
2015-01-Q3,	220.00
2015-01-Q4,	220.00
2015-02-Q1,	211.00
2015-02-Q2,	211.00
2015-02-Q3,	211.00
2015-02-Q4,	211.00
2015-03-Q1,	222.00
2015-03-Q2,	222.00
2015-03-Q3,	222.00
2015-03-Q4,	222.00
2015-04-Q1,	247.00
2015-04-Q2,	247.00
2015-04-Q3,	247.00
2015-04-Q4,	247.00
2015-05-Q1,	244.00
2015-05-Q2,	244.00
2015-05-Q3,	244.00
2015-05-Q4,	244.00
2015-06-Q1,	246.00
2015-06-Q2,	246.00
2015-06-Q3,	246.00
2015-06-Q4,	246.00
2015-07-Q1,	248.00
2015-07-Q2,	248.00
2015-07-Q3,	248.00
2015-07-Q4,	248.00
2015-08-Q1,	190.00
2015-08-Q2,	190.00
2015-08-Q3,	190.00
2015-08-Q4,	190.00
2015-09-Q1,	190.00
2015-09-Q2,	190.00
2015-09-Q3,	190.00
2015-09-Q4,	190.00
2015-10-Q1,	190.00
2015-10-Q2,	190.00
2015-10-Q3,	190.00
2015-10-Q4,	190.00
2015-11-Q1,	90.00
2015-11-Q2,	90.00
2015-11-Q3,	90.00
2015-11-Q4,	90.00
2015-12-Q1,	140.00
2015-12-Q2,	140.00
2015-12-Q3,	140.00
2015-12-Q4,	140.00
2016-01-Q1,	220.00
2016-01-Q2,	220.00
2016-01-Q3,	220.00
2016-01-Q4,	220.00
2016-02-Q1,	211.00
2016-02-Q2,	211.00
2016-02-Q3,	211.00
2016-02-Q4,	211.00
2016-03-Q1,	222.00
2016-03-Q2,	222.00
2016-03-Q3,	222.00
2016-03-Q4,	222.00
2016-04-Q1,	247.00
2016-04-Q2,	247.00
2016-04-Q3,	247.00
2016-04-Q4,	247.00
2016-05-Q1,	244.00
2016-05-Q2,	244.00
2016-05-Q3,	244.00
2016-05-Q4,	244.00
2016-06-Q1,	246.00
2016-06-Q2,	246.00
2016-06-Q3,	246.00
2016-06-Q4,	246.00
2016-07-Q1,	248.00
2016-07-Q2,	248.00
2016-07-Q3,	248.00
2016-07-Q4,	248.00
2016-08-Q1,	190.00
2016-08-Q2,	190.00
2016-08-Q3,	190.00
2016-08-Q4,	190.00
2016-09-Q1,	190.00
2016-09-Q2,	190.00
2016-09-Q3,	190.00
2016-09-Q4,	190.00
2016-10-Q1,	190.00
2016-10-Q2,	190.00
2016-10-Q3,	190.00
2016-10-Q4,	190.00
2016-11-Q1,	90.00
2016-11-Q2,	90.00
2016-11-Q3,	90.00
2016-11-Q4,	90.00
2016-12-Q1,	140.00
2016-12-Q2,	140.00
2016-12-Q3,	140.00
2016-12-Q4,	140.00
2017-01-Q1,	220.00
2017-01-Q2,	220.00
2017-01-Q3,	220.00
2017-01-Q4,	220.00
2017-02-Q1,	211.00
2017-02-Q2,	211.00
2017-02-Q3,	211.00
2017-02-Q4,	211.00
2017-03-Q1,	222.00
2017-03-Q2,	222.00
2017-03-Q3,	222.00
2017-03-Q4,	222.00
2017-04-Q1,	247.00
2017-04-Q2,	247.00
2017-04-Q3,	247.00
2017-04-Q4,	247.00
2017-05-Q1,	244.00
2017-05-Q2,	244.00
2017-05-Q3,	244.00
2017-05-Q4,	244.00
2017-06-Q1,	246.00
2017-06-Q2,	246.00
2017-06-Q3,	246.00
2017-06-Q4,	246.00
2017-07-Q1,	248.00
2017-07-Q2,	248.00
2017-07-Q3,	248.00
2017-07-Q4,	248.00
2017-08-Q1,	190.00
