UNITS:	cms	
KIND:	flow	
INTERVAL:	qm	
LOCATION:	oll
# long-lac and ogoki diversion (into superior)	
2013-01-Q1,	88.00
2013-01-Q2,	88.00
2013-01-Q3,	88.00
2013-01-Q4,	88.00
2013-02-Q1,	90.00
2013-02-Q2,	90.00
2013-02-Q3,	90.00
2013-02-Q4,	90.00
2013-03-Q1,	79.00
2013-03-Q2,	79.00
2013-03-Q3,	79.00
2013-03-Q4,	79.00
2013-04-Q1,	63.00
2013-04-Q2,	63.00
2013-04-Q3,	63.00
2013-04-Q4,	63.00
2013-05-Q1,	193.00
2013-05-Q2,	193.00
2013-05-Q3,	193.00
2013-05-Q4,	193.00
2013-06-Q1,	354.00
2013-06-Q2,	354.00
2013-06-Q3,	354.00
2013-06-Q4,	354.00
2013-07-Q1,	198.00
2013-07-Q2,	198.00
2013-07-Q3,	198.00
2013-07-Q4,	198.00
2013-08-Q1,	100.00
2013-08-Q2,	100.00
2013-08-Q3,	100.00
2013-08-Q4,	100.00
2013-09-Q1,	109.00
2013-09-Q2,	109.00
2013-09-Q3,	109.00
2013-09-Q4,	109.00
2013-10-Q1,	175.00
2013-10-Q2,	175.00
2013-10-Q3,	175.00
2013-10-Q4,	175.00
2013-11-Q1,	182.00
2013-11-Q2,	182.00
2013-11-Q3,	182.00
2013-11-Q4,	182.00
2013-12-Q1,	147.00
2013-12-Q2,	147.00
2013-12-Q3,	147.00
2013-12-Q4,	147.00
2014-01-Q1,	122.00
2014-01-Q2,	122.00
2014-01-Q3,	122.00
2014-01-Q4,	122.00
2014-02-Q1,	105.00
2014-02-Q2,	105.00
2014-02-Q3,	105.00
2014-02-Q4,	105.00
2014-03-Q1,	85.00
2014-03-Q2,	85.00
2014-03-Q3,	85.00
2014-03-Q4,	85.00
2014-04-Q1,	74.00
2014-04-Q2,	74.00
2014-04-Q3,	74.00
2014-04-Q4,	74.00
2014-05-Q1,	217.00
2014-05-Q2,	217.00
2014-05-Q3,	217.00
2014-05-Q4,	217.00
2014-06-Q1,	312.00
2014-06-Q2,	312.00
2014-06-Q3,	312.00
2014-06-Q4,	312.00
2014-07-Q1,	94.00
2014-07-Q2,	94.00
2014-07-Q3,	94.00
2014-07-Q4,	94.00
2014-08-Q1,	60.00
2014-08-Q2,	60.00
2014-08-Q3,	60.00
2014-08-Q4,	60.00
2014-09-Q1,	192.00
2014-09-Q2,	192.00
2014-09-Q3,	192.00
2014-09-Q4,	192.00
2014-10-Q1,	237.00
2014-10-Q2,	237.00
2014-10-Q3,	237.00
2014-10-Q4,	237.00
2014-11-Q1,	221.00
2014-11-Q2,	221.00
2014-11-Q3,	221.00
2014-11-Q4,	221.00
2014-12-Q1,	167.00
2014-12-Q2,	167.00
2014-12-Q3,	167.00
2014-12-Q4,	167.00
2015-01-Q1,	130.00
2015-01-Q2,	130.00
2015-01-Q3,	130.00
2015-01-Q4,	130.00
2015-02-Q1,	114.00
2015-02-Q2,	114.00
2015-02-Q3,	114.00
2015-02-Q4,	114.00
2015-03-Q1,	92.00
2015-03-Q2,	92.00
2015-03-Q3,	92.00
2015-03-Q4,	92.00
2015-04-Q1,	97.00
2015-04-Q2,	97.00
2015-04-Q3,	97.00
2015-04-Q4,	97.00
2015-05-Q1,	263.00
2015-05-Q2,	263.00
2015-05-Q3,	263.00
2015-05-Q4,	263.00
2015-06-Q1,	328.00
2015-06-Q2,	328.00
2015-06-Q3,	328.00
2015-06-Q4,	328.00
2015-07-Q1,	153.00
2015-07-Q2,	153.00
2015-07-Q3,	153.00
2015-07-Q4,	153.00
2015-08-Q1,	231.00
2015-08-Q2,	231.00
2015-08-Q3,	231.00
2015-08-Q4,	231.00
2015-09-Q1,	222.00
2015-09-Q2,	222.00
2015-09-Q3,	222.00
2015-09-Q4,	222.00
2015-10-Q1,	173.00
2015-10-Q2,	173.00
2015-10-Q3,	173.00
2015-10-Q4,	173.00
2015-11-Q1,	155.00
2015-11-Q2,	155.00
2015-11-Q3,	155.00
2015-11-Q4,	155.00
2015-12-Q1,	181.00
2015-12-Q2,	181.00
2015-12-Q3,	181.00
2015-12-Q4,	181.00
2016-01-Q1,	169.00
2016-01-Q2,	169.00
2016-01-Q3,	169.00
2016-01-Q4,	169.00
2016-02-Q1,	146.00
2016-02-Q2,	146.00
2016-02-Q3,	146.00
2016-02-Q4,	146.00
2016-03-Q1,	120.00
2016-03-Q2,	120.00
2016-03-Q3,	120.00
2016-03-Q4,	120.00
2016-04-Q1,	109.00
2016-04-Q2,	109.00
2016-04-Q3,	109.00
2016-04-Q4,	109.00
2016-05-Q1,	166.00
2016-05-Q2,	166.00
2016-05-Q3,	166.00
2016-05-Q4,	166.00
2016-06-Q1,	235.00
2016-06-Q2,	235.00
2016-06-Q3,	235.00
2016-06-Q4,	235.00
2016-07-Q1,	201.00
2016-07-Q2,	201.00
2016-07-Q3,	201.00
2016-07-Q4,	201.00
2016-08-Q1,	153.00
2016-08-Q2,	153.00
2016-08-Q3,	153.00
2016-08-Q4,	153.00
2016-09-Q1,	200.00
2016-09-Q2,	200.00
2016-09-Q3,	200.00
2016-09-Q4,	200.00
2016-10-Q1,	183.00
2016-10-Q2,	183.00
2016-10-Q3,	183.00
2016-10-Q4,	183.00
2016-11-Q1,	200.00
2016-11-Q2,	200.00
2016-11-Q3,	200.00
2016-11-Q4,	200.00
2016-12-Q1,	169.00
2016-12-Q2,	169.00
2016-12-Q3,	169.00
2016-12-Q4,	169.00
2017-01-Q1,	162.00
2017-01-Q2,	162.00
2017-01-Q3,	162.00
2017-01-Q4,	162.00
2017-02-Q1,	137.00
2017-02-Q2,	137.00
2017-02-Q3,	137.00
2017-02-Q4,	137.00
2017-03-Q1,	116.00
2017-03-Q2,	116.00
2017-03-Q3,	116.00
2017-03-Q4,	116.00
2017-04-Q1,	143.00
2017-04-Q2,	143.00
2017-04-Q3,	143.00
2017-04-Q4,	143.00
2017-05-Q1,	337.00
2017-05-Q2,	337.00
2017-05-Q3,	337.00
2017-05-Q4,	337.00
2017-06-Q1,	353.00
2017-06-Q2,	353.00
2017-06-Q3,	353.00
2017-06-Q4,	353.00
2017-07-Q1,	242.00
2017-07-Q2,	242.00
2017-07-Q3,	242.00
2017-07-Q4,	242.00
2017-08-Q1,	145.00
2017-08-Q2,	145.00
2017-08-Q3,	145.00
2017-08-Q4,	145.00
2017-09-Q1,	115.00
2017-09-Q2,	115.00
2017-09-Q3,	115.00
2017-09-Q4,	115.00
2017-10-Q1,	147.00
2017-10-Q2,	147.00
2017-10-Q3,	147.00
2017-10-Q4,	147.00
2017-11-Q1,	117.00
2017-11-Q2,	117.00
2017-11-Q3,	117.00
2017-11-Q4,	117.00
2017-12-Q1,	110.00
2017-12-Q2,	110.00
2017-12-Q3,	110.00
2017-12-Q4,	110.00
