UNITS:	cms	
KIND:	nbs	
INTERVAL:	qm	
LOCATION:	eri	
# origin is monthly
2013-01-Q1,	750.00
2013-01-Q2,	750.00
2013-01-Q3,	750.00
2013-01-Q4,	750.00
2013-02-Q1,	1890.00
2013-02-Q2,	1890.00
2013-02-Q3,	1890.00
2013-02-Q4,	1890.00
2013-03-Q1,	810.00
2013-03-Q2,	810.00
2013-03-Q3,	810.00
2013-03-Q4,	810.00
2013-04-Q1,	2720.00
2013-04-Q2,	2720.00
2013-04-Q3,	2720.00
2013-04-Q4,	2720.00
2013-05-Q1,	800.00
2013-05-Q2,	800.00
2013-05-Q3,	800.00
2013-05-Q4,	800.00
2013-06-Q1,	2500.00
2013-06-Q2,	2500.00
2013-06-Q3,	2500.00
2013-06-Q4,	2500.00
2013-07-Q1,	1190.00
2013-07-Q2,	1190.00
2013-07-Q3,	1190.00
2013-07-Q4,	1190.00
2013-08-Q1,	-130.00
2013-08-Q2,	-130.00
2013-08-Q3,	-130.00
2013-08-Q4,	-130.00
2013-09-Q1,	-850.00
2013-09-Q2,	-850.00
2013-09-Q3,	-850.00
2013-09-Q4,	-850.00
2013-10-Q1,	-90.00
2013-10-Q2,	-90.00
2013-10-Q3,	-90.00
2013-10-Q4,	-90.00
2013-11-Q1,	0.00
2013-11-Q2,	0.00
2013-11-Q3,	0.00
2013-11-Q4,	0.00
2013-12-Q1,	1350.00
2013-12-Q2,	1350.00
2013-12-Q3,	1350.00
2013-12-Q4,	1350.00
2014-01-Q1,	1280.00
2014-01-Q2,	1280.00
2014-01-Q3,	1280.00
2014-01-Q4,	1280.00
2014-02-Q1,	1160.00
2014-02-Q2,	1160.00
2014-02-Q3,	1160.00
2014-02-Q4,	1160.00
2014-03-Q1,	1580.00
2014-03-Q2,	1580.00
2014-03-Q3,	1580.00
2014-03-Q4,	1580.00
2014-04-Q1,	2690.00
2014-04-Q2,	2690.00
2014-04-Q3,	2690.00
2014-04-Q4,	2690.00
2014-05-Q1,	2140.00
2014-05-Q2,	2140.00
2014-05-Q3,	2140.00
2014-05-Q4,	2140.00
2014-06-Q1,	910.00
2014-06-Q2,	910.00
2014-06-Q3,	910.00
2014-06-Q4,	910.00
2014-07-Q1,	280.00
2014-07-Q2,	280.00
2014-07-Q3,	280.00
2014-07-Q4,	280.00
2014-08-Q1,	-80.00
2014-08-Q2,	-80.00
2014-08-Q3,	-80.00
2014-08-Q4,	-80.00
2014-09-Q1,	170.00
2014-09-Q2,	170.00
2014-09-Q3,	170.00
2014-09-Q4,	170.00
2014-10-Q1,	0.00
2014-10-Q2,	0.00
2014-10-Q3,	0.00
2014-10-Q4,	0.00
2014-11-Q1,	-400.00
2014-11-Q2,	-400.00
2014-11-Q3,	-400.00
2014-11-Q4,	-400.00
2014-12-Q1,	-150.00
2014-12-Q2,	-150.00
2014-12-Q3,	-150.00
2014-12-Q4,	-150.00
2015-01-Q1,	940.00
2015-01-Q2,	940.00
2015-01-Q3,	940.00
2015-01-Q4,	940.00
2015-02-Q1,	-620.00
2015-02-Q2,	-620.00
2015-02-Q3,	-620.00
2015-02-Q4,	-620.00
2015-03-Q1,	1530.00
2015-03-Q2,	1530.00
2015-03-Q3,	1530.00
2015-03-Q4,	1530.00
2015-04-Q1,	1960.00
2015-04-Q2,	1960.00
2015-04-Q3,	1960.00
2015-04-Q4,	1960.00
2015-05-Q1,	1990.00
2015-05-Q2,	1990.00
2015-05-Q3,	1990.00
2015-05-Q4,	1990.00
2015-06-Q1,	3370.00
2015-06-Q2,	3370.00
2015-06-Q3,	3370.00
2015-06-Q4,	3370.00
2015-07-Q1,	1010.00
2015-07-Q2,	1010.00
2015-07-Q3,	1010.00
2015-07-Q4,	1010.00
2015-08-Q1,	-500.00
2015-08-Q2,	-500.00
2015-08-Q3,	-500.00
2015-08-Q4,	-500.00
2015-09-Q1,	-90.00
2015-09-Q2,	-90.00
2015-09-Q3,	-90.00
2015-09-Q4,	-90.00
2015-10-Q1,	-1260.00
2015-10-Q2,	-1260.00
2015-10-Q3,	-1260.00
2015-10-Q4,	-1260.00
2015-11-Q1,	-90.00
2015-11-Q2,	-90.00
2015-11-Q3,	-90.00
2015-11-Q4,	-90.00
2015-12-Q1,	570.00
2015-12-Q2,	570.00
2015-12-Q3,	570.00
2015-12-Q4,	570.00
2016-01-Q1,	760.00
2016-01-Q2,	760.00
2016-01-Q3,	760.00
2016-01-Q4,	760.00
2016-02-Q1,	1260.00
2016-02-Q2,	1260.00
2016-02-Q3,	1260.00
2016-02-Q4,	1260.00
2016-03-Q1,	2510.00
2016-03-Q2,	2510.00
2016-03-Q3,	2510.00
2016-03-Q4,	2510.00
2016-04-Q1,	1880.00
2016-04-Q2,	1880.00
2016-04-Q3,	1880.00
2016-04-Q4,	1880.00
2016-05-Q1,	1040.00
2016-05-Q2,	1040.00
2016-05-Q3,	1040.00
2016-05-Q4,	1040.00
2016-06-Q1,	-100.00
2016-06-Q2,	-100.00
2016-06-Q3,	-100.00
2016-06-Q4,	-100.00
2016-07-Q1,	110.00
2016-07-Q2,	110.00
2016-07-Q3,	110.00
2016-07-Q4,	110.00
2016-08-Q1,	-280.00
2016-08-Q2,	-280.00
2016-08-Q3,	-280.00
2016-08-Q4,	-280.00
2016-09-Q1,	-270.00
2016-09-Q2,	-270.00
2016-09-Q3,	-270.00
2016-09-Q4,	-270.00
2016-10-Q1,	-720.00
2016-10-Q2,	-720.00
2016-10-Q3,	-720.00
2016-10-Q4,	-720.00
2016-11-Q1,	-800.00
2016-11-Q2,	-800.00
2016-11-Q3,	-800.00
2016-11-Q4,	-800.00
2016-12-Q1,	520.00
2016-12-Q2,	520.00
2016-12-Q3,	520.00
2016-12-Q4,	520.00
2017-01-Q1,	2530.00
2017-01-Q2,	2530.00
2017-01-Q3,	2530.00
2017-01-Q4,	2530.00
2017-02-Q1,	1320.00
2017-02-Q2,	1320.00
2017-02-Q3,	1320.00
2017-02-Q4,	1320.00
2017-03-Q1,	1810.00
2017-03-Q2,	1810.00
2017-03-Q3,	1810.00
2017-03-Q4,	1810.00
2017-04-Q1,	2500.00
2017-04-Q2,	2500.00
2017-04-Q3,	2500.00
2017-04-Q4,	2500.00
2017-05-Q1,	3130.00
2017-05-Q2,	3130.00
2017-05-Q3,	3130.00
2017-05-Q4,	3130.00
2017-06-Q1,	910.00
2017-06-Q2,	910.00
2017-06-Q3,	910.00
2017-06-Q4,	910.00
2017-07-Q1,	990.00
2017-07-Q2,	990.00
2017-07-Q3,	990.00
2017-07-Q4,	990.00
2017-08-Q1,	450.00
2017-08-Q2,	450.00
2017-08-Q3,	450.00
2017-08-Q4,	450.00
2017-09-Q1,	-850.00
2017-09-Q2,	-850.00
2017-09-Q3,	-850.00
2017-09-Q4,	-850.00
2017-10-Q1,	-590.00
2017-10-Q2,	-590.00
2017-10-Q3,	-590.00
2017-10-Q4,	-590.00
2017-11-Q1,	1280.00
2017-11-Q2,	1280.00
2017-11-Q3,	1280.00
2017-11-Q4,	1280.00
2017-12-Q1,	-60.00
2017-12-Q2,	-60.00
2017-12-Q3,	-60.00
2017-12-Q4,	-60.00
