UNITS:	cms	
KIND:	nbs	
INTERVAL:	qm	
LOCATION:	mhu	
# origin is monthly
2013-01-Q1,	2310.00
2013-01-Q2,	2310.00
2013-01-Q3,	2310.00
2013-01-Q4,	2310.00
2013-02-Q1,	3890.00
2013-02-Q2,	3890.00
2013-02-Q3,	3890.00
2013-02-Q4,	3890.00
2013-03-Q1,	3840.00
2013-03-Q2,	3840.00
2013-03-Q3,	3840.00
2013-03-Q4,	3840.00
2013-04-Q1,	13760.00
2013-04-Q2,	13760.00
2013-04-Q3,	13760.00
2013-04-Q4,	13760.00
2013-05-Q1,	9150.00
2013-05-Q2,	9150.00
2013-05-Q3,	9150.00
2013-05-Q4,	9150.00
2013-06-Q1,	6060.00
2013-06-Q2,	6060.00
2013-06-Q3,	6060.00
2013-06-Q4,	6060.00
2013-07-Q1,	3090.00
2013-07-Q2,	3090.00
2013-07-Q3,	3090.00
2013-07-Q4,	3090.00
2013-08-Q1,	1820.00
2013-08-Q2,	1820.00
2013-08-Q3,	1820.00
2013-08-Q4,	1820.00
2013-09-Q1,	-490.00
2013-09-Q2,	-490.00
2013-09-Q3,	-490.00
2013-09-Q4,	-490.00
2013-10-Q1,	830.00
2013-10-Q2,	830.00
2013-10-Q3,	830.00
2013-10-Q4,	830.00
2013-11-Q1,	3230.00
2013-11-Q2,	3230.00
2013-11-Q3,	3230.00
2013-11-Q4,	3230.00
2013-12-Q1,	1030.00
2013-12-Q2,	1030.00
2013-12-Q3,	1030.00
2013-12-Q4,	1030.00
2014-01-Q1,	1960.00
2014-01-Q2,	1960.00
2014-01-Q3,	1960.00
2014-01-Q4,	1960.00
2014-02-Q1,	2040.00
2014-02-Q2,	2040.00
2014-02-Q3,	2040.00
2014-02-Q4,	2040.00
2014-03-Q1,	3580.00
2014-03-Q2,	3580.00
2014-03-Q3,	3580.00
2014-03-Q4,	3580.00
2014-04-Q1,	11910.00
2014-04-Q2,	11910.00
2014-04-Q3,	11910.00
2014-04-Q4,	11910.00
2014-05-Q1,	10000.00
2014-05-Q2,	10000.00
2014-05-Q3,	10000.00
2014-05-Q4,	10000.00
2014-06-Q1,	7560.00
2014-06-Q2,	7560.00
2014-06-Q3,	7560.00
2014-06-Q4,	7560.00
2014-07-Q1,	3120.00
2014-07-Q2,	3120.00
2014-07-Q3,	3120.00
2014-07-Q4,	3120.00
2014-08-Q1,	4020.00
2014-08-Q2,	4020.00
2014-08-Q3,	4020.00
2014-08-Q4,	4020.00
2014-09-Q1,	3560.00
2014-09-Q2,	3560.00
2014-09-Q3,	3560.00
