UNITS:	cms	
KIND:	nbs	
INTERVAL:	qm	
LOCATION:	ont	
# origin is monthly
2013-01-Q1,	1360.00
2013-01-Q2,	1360.00
2013-01-Q3,	1360.00
2013-01-Q4,	1360.00
2013-02-Q1,	1480.00
2013-02-Q2,	1480.00
2013-02-Q3,	1480.00
2013-02-Q4,	1480.00
2013-03-Q1,	1300.00
2013-03-Q2,	1300.00
2013-03-Q3,	1300.00
2013-03-Q4,	1300.00
2013-04-Q1,	2590.00
2013-04-Q2,	2590.00
2013-04-Q3,	2590.00
2013-04-Q4,	2590.00
2013-05-Q1,	1280.00
2013-05-Q2,	1280.00
2013-05-Q3,	1280.00
2013-05-Q4,	1280.00
2013-06-Q1,	2400.00
2013-06-Q2,	2400.00
2013-06-Q3,	2400.00
2013-06-Q4,	2400.00
2013-07-Q1,	810.00
2013-07-Q2,	810.00
2013-07-Q3,	810.00
2013-07-Q4,	810.00
2013-08-Q1,	150.00
2013-08-Q2,	150.00
2013-08-Q3,	150.00
2013-08-Q4,	150.00
2013-09-Q1,	-60.00
2013-09-Q2,	-60.00
2013-09-Q3,	-60.00
2013-09-Q4,	-60.00
2013-10-Q1,	580.00
2013-10-Q2,	580.00
2013-10-Q3,	580.00
2013-10-Q4,	580.00
2013-11-Q1,	810.00
2013-11-Q2,	810.00
2013-11-Q3,	810.00
2013-11-Q4,	810.00
2013-12-Q1,	1200.00
2013-12-Q2,	1200.00
2013-12-Q3,	1200.00
2013-12-Q4,	1200.00
2014-01-Q1,	1140.00
2014-01-Q2,	1140.00
2014-01-Q3,	1140.00
2014-01-Q4,	1140.00
2014-02-Q1,	1040.00
2014-02-Q2,	1040.00
2014-02-Q3,	1040.00
2014-02-Q4,	1040.00
2014-03-Q1,	1200.00
2014-03-Q2,	1200.00
2014-03-Q3,	1200.00
2014-03-Q4,	1200.00
2014-04-Q1,	4590.00
2014-04-Q2,	4590.00
2014-04-Q3,	4590.00
2014-04-Q4,	4590.00
2014-05-Q1,	2400.00
2014-05-Q2,	2400.00
2014-05-Q3,	2400.00
2014-05-Q4,	2400.00
2014-06-Q1,	1790.00
2014-06-Q2,	1790.00
2014-06-Q3,	1790.00
2014-06-Q4,	1790.00
2014-07-Q1,	970.00
2014-07-Q2,	970.00
2014-07-Q3,	970.00
2014-07-Q4,	970.00
2014-08-Q1,	670.00
2014-08-Q2,	670.00
2014-08-Q3,	670.00
2014-08-Q4,	670.00
2014-09-Q1,	-40.00
2014-09-Q2,	-40.00
2014-09-Q3,	-40.00
2014-09-Q4,	-40.00
2014-10-Q1,	180.00
2014-10-Q2,	180.00
2014-10-Q3,	180.00
2014-10-Q4,	180.00
2014-11-Q1,	180.00
2014-11-Q2,	180.00
2014-11-Q3,	180.00
2014-11-Q4,	180.00
2014-12-Q1,	900.00
2014-12-Q2,	900.00
2014-12-Q3,	900.00
2014-12-Q4,	900.00
2015-01-Q1,	650.00
2015-01-Q2,	650.00
2015-01-Q3,	650.00
2015-01-Q4,	650.00
2015-02-Q1,	90.00
2015-02-Q2,	90.00
2015-02-Q3,	90.00
2015-02-Q4,	90.00
2015-03-Q1,	920.00
2015-03-Q2,	920.00
2015-03-Q3,	920.00
2015-03-Q4,	920.00
2015-04-Q1,	2700.00
2015-04-Q2,	2700.00
2015-04-Q3,	2700.00
2015-04-Q4,	2700.00
2015-05-Q1,	1000.00
2015-05-Q2,	1000.00
2015-05-Q3,	1000.00
2015-05-Q4,	1000.00
2015-06-Q1,	2690.00
2015-06-Q2,	2690.00
2015-06-Q3,	2690.00
2015-06-Q4,	2690.00
2015-07-Q1,	860.00
2015-07-Q2,	860.00
2015-07-Q3,	860.00
2015-07-Q4,	860.00
2015-08-Q1,	160.00
2015-08-Q2,	160.00
2015-08-Q3,	160.00
2015-08-Q4,	160.00
2015-09-Q1,	380.00
2015-09-Q2,	380.00
2015-09-Q3,	380.00
2015-09-Q4,	380.00
2015-10-Q1,	80.00
2015-10-Q2,	80.00
2015-10-Q3,	80.00
2015-10-Q4,	80.00
2015-11-Q1,	560.00
2015-11-Q2,	560.00
2015-11-Q3,	560.00
2015-11-Q4,	560.00
2015-12-Q1,	940.00
2015-12-Q2,	940.00
2015-12-Q3,	940.00
2015-12-Q4,	940.00
2016-01-Q1,	1010.00
2016-01-Q2,	1010.00
2016-01-Q3,	1010.00
2016-01-Q4,	1010.00
2016-02-Q1,	2040.00
2016-02-Q2,	2040.00
2016-02-Q3,	2040.00
2016-02-Q4,	2040.00
2016-03-Q1,	2370.00
2016-03-Q2,	2370.00
2016-03-Q3,	2370.00
2016-03-Q4,	2370.00
2016-04-Q1,	1920.00
2016-04-Q2,	1920.00
2016-04-Q3,	1920.00
2016-04-Q4,	1920.00
2016-05-Q1,	750.00
2016-05-Q2,	750.00
2016-05-Q3,	750.00
2016-05-Q4,	750.00
2016-06-Q1,	480.00
2016-06-Q2,	480.00
2016-06-Q3,	480.00
2016-06-Q4,	480.00
2016-07-Q1,	-60.00
2016-07-Q2,	-60.00
2016-07-Q3,	-60.00
2016-07-Q4,	-60.00
2016-08-Q1,	170.00
2016-08-Q2,	170.00
2016-08-Q3,	170.00
2016-08-Q4,	170.00
2016-09-Q1,	-400.00
2016-09-Q2,	-400.00
2016-09-Q3,	-400.00
2016-09-Q4,	-400.00
2016-10-Q1,	0.00
