UNITS:	cms	
KIND:	nbs	
INTERVAL:	qm	
LOCATION:	stc	
# origin is monthly
2013-01-Q1,	470.00
2013-01-Q2,	470.00
2013-01-Q3,	470.00
2013-01-Q4,	470.00
2013-02-Q1,	540.00
2013-02-Q2,	540.00
2013-02-Q3,	540.00
2013-02-Q4,	540.00
2013-03-Q1,	410.00
2013-03-Q2,	410.00
2013-03-Q3,	410.00
2013-03-Q4,	410.00
2013-04-Q1,	550.00
2013-04-Q2,	550.00
2013-04-Q3,	550.00
2013-04-Q4,	550.00
2013-05-Q1,	210.00
2013-05-Q2,	210.00
2013-05-Q3,	210.00
2013-05-Q4,	210.00
2013-06-Q1,	400.00
2013-06-Q2,	400.00
2013-06-Q3,	400.00
2013-06-Q4,	400.00
2013-07-Q1,	390.00
2013-07-Q2,	390.00
2013-07-Q3,	390.00
2013-07-Q4,	390.00
2013-08-Q1,	240.00
2013-08-Q2,	240.00
2013-08-Q3,	240.00
2013-08-Q4,	240.00
2013-09-Q1,	210.00
2013-09-Q2,	210.00
2013-09-Q3,	210.00
2013-09-Q4,	210.00
2013-10-Q1,	230.00
2013-10-Q2,	230.00
2013-10-Q3,	230.00
2013-10-Q4,	230.00
2013-11-Q1,	300.00
2013-11-Q2,	300.00
2013-11-Q3,	300.00
2013-11-Q4,	300.00
2013-12-Q1,	470.00
2013-12-Q2,	470.00
2013-12-Q3,	470.00
2013-12-Q4,	470.00
2014-01-Q1,	-630.00
2014-01-Q2,	-630.00
2014-01-Q3,	-630.00
2014-01-Q4,	-630.00
2014-02-Q1,	120.00
2014-02-Q2,	120.00
2014-02-Q3,	120.00
2014-02-Q4,	120.00
2014-03-Q1,	460.00
2014-03-Q2,	460.00
2014-03-Q3,	460.00
2014-03-Q4,	460.00
2014-04-Q1,	430.00
2014-04-Q2,	430.00
2014-04-Q3,	430.00
2014-04-Q4,	430.00
2014-05-Q1,	520.00
2014-05-Q2,	520.00
2014-05-Q3,	520.00
2014-05-Q4,	520.00
2014-06-Q1,	290.00
2014-06-Q2,	290.00
2014-06-Q3,	290.00
2014-06-Q4,	290.00
2014-07-Q1,	320.00
2014-07-Q2,	320.00
2014-07-Q3,	320.00
2014-07-Q4,	320.00
2014-08-Q1,	250.00
2014-08-Q2,	250.00
2014-08-Q3,	250.00
2014-08-Q4,	250.00
2014-09-Q1,	320.00
2014-09-Q2,	320.00
2014-09-Q3,	320.00
2014-09-Q4,	320.00
2014-10-Q1,	270.00
2014-10-Q2,	270.00
2014-10-Q3,	270.00
2014-10-Q4,	270.00
2014-11-Q1,	280.00
2014-11-Q2,	280.00
2014-11-Q3,	280.00
2014-11-Q4,	280.00
2014-12-Q1,	220.00
2014-12-Q2,	220.00
2014-12-Q3,	220.00
2014-12-Q4,	220.00
2015-01-Q1,	200.00
2015-01-Q2,	200.00
2015-01-Q3,	200.00
2015-01-Q4,	200.00
2015-02-Q1,	550.00
