UNITS:	cms	
KIND:	nbs	
INTERVAL:	qm	
LOCATION:	sup	
# origin is monthly
2013-01-Q1,	-400.00
2013-01-Q2,	-400.00
2013-01-Q3,	-400.00
2013-01-Q4,	-400.00
2013-02-Q1,	210.00
2013-02-Q2,	210.00
2013-02-Q3,	210.00
2013-02-Q4,	210.00
2013-03-Q1,	830.00
2013-03-Q2,	830.00
2013-03-Q3,	830.00
2013-03-Q4,	830.00
2013-04-Q1,	3990.00
2013-04-Q2,	3990.00
2013-04-Q3,	3990.00
2013-04-Q4,	3990.00
2013-05-Q1,	8910.00
2013-05-Q2,	8910.00
2013-05-Q3,	8910.00
2013-05-Q4,	8910.00
2013-06-Q1,	4840.00
2013-06-Q2,	4840.00
2013-06-Q3,	4840.00
2013-06-Q4,	4840.00
2013-07-Q1,	5760.00
2013-07-Q2,	5760.00
2013-07-Q3,	5760.00
2013-07-Q4,	5760.00
2013-08-Q1,	3850.00
2013-08-Q2,	3850.00
2013-08-Q3,	3850.00
2013-08-Q4,	3850.00
2013-09-Q1,	2050.00
2013-09-Q2,	2050.00
2013-09-Q3,	2050.00
2013-09-Q4,	2050.00
2013-10-Q1,	1350.00
2013-10-Q2,	1350.00
2013-10-Q3,	1350.00
2013-10-Q4,	1350.00
2013-11-Q1,	840.00
2013-11-Q2,	840.00
2013-11-Q3,	840.00
2013-11-Q4,	840.00
2013-12-Q1,	460.00
2013-12-Q2,	460.00
2013-12-Q3,	460.00
2013-12-Q4,	460.00
2014-01-Q1,	-560.00
2014-01-Q2,	-560.00
2014-01-Q3,	-560.00
2014-01-Q4,	-560.00
2014-02-Q1,	1560.00
2014-02-Q2,	1560.00
2014-02-Q3,	1560.00
2014-02-Q4,	1560.00
2014-03-Q1,	1580.00
2014-03-Q2,	1580.00
2014-03-Q3,	1580.00
2014-03-Q4,	1580.00
2014-04-Q1,	5400.00
2014-04-Q2,	5400.00
2014-04-Q3,	5400.00
2014-04-Q4,	5400.00
2014-05-Q1,	8420.00
2014-05-Q2,	8420.00
2014-05-Q3,	8420.00
2014-05-Q4,	8420.00
2014-06-Q1,	5210.00
2014-06-Q2,	5210.00
2014-06-Q3,	5210.00
2014-06-Q4,	5210.00
2014-07-Q1,	4430.00
2014-07-Q2,	4430.00
2014-07-Q3,	4430.00
2014-07-Q4,	4430.00
2014-08-Q1,	3530.00
2014-08-Q2,	3530.00
2014-08-Q3,	3530.00
2014-08-Q4,	3530.00
2014-09-Q1,	3350.00
2014-09-Q2,	3350.00
2014-09-Q3,	3350.00
2014-09-Q4,	3350.00
2014-10-Q1,	2800.00
2014-10-Q2,	2800.00
2014-10-Q3,	2800.00
2014-10-Q4,	2800.00
2014-11-Q1,	1470.00
2014-11-Q2,	1470.00
