UNITS:	cms	
KIND:	flow	
INTERVAL:	qm	
LOCATION:	nia	
# origin is monthly
2013-01-Q1,	5390.00
2013-01-Q2,	5390.00
2013-01-Q3,	5390.00
2013-01-Q4,	5390.00
2013-02-Q1,	5270.00
2013-02-Q2,	5270.00
2013-02-Q3,	5270.00
2013-02-Q4,	5270.00
2013-03-Q1,	5260.00
2013-03-Q2,	5260.00
2013-03-Q3,	5260.00
2013-03-Q4,	5260.00
2013-04-Q1,	5460.00
2013-04-Q2,	5460.00
2013-04-Q3,	5460.00
2013-04-Q4,	5460.00
2013-05-Q1,	5570.00
2013-05-Q2,	5570.00
2013-05-Q3,	5570.00
2013-05-Q4,	5570.00
2013-06-Q1,	5630.00
2013-06-Q2,	5630.00
2013-06-Q3,	5630.00
2013-06-Q4,	5630.00
2013-07-Q1,	5910.00
2013-07-Q2,	5910.00
2013-07-Q3,	5910.00
2013-07-Q4,	5910.00
2013-08-Q1,	5850.00
2013-08-Q2,	5850.00
2013-08-Q3,	5850.00
2013-08-Q4,	5850.00
2013-09-Q1,	5590.00
2013-09-Q2,	5590.00
2013-09-Q3,	5590.00
2013-09-Q4,	5590.00
2013-10-Q1,	5720.00
2013-10-Q2,	5720.00
2013-10-Q3,	5720.00
2013-10-Q4,	5720.00
2013-11-Q1,	5750.00
2013-11-Q2,	5750.00
2013-11-Q3,	5750.00
2013-11-Q4,	5750.00
2013-12-Q1,	5660.00
2013-12-Q2,	5660.00
2013-12-Q3,	5660.00
2013-12-Q4,	5660.00
2014-01-Q1,	5300.00
2014-01-Q2,	5300.00
2014-01-Q3,	5300.00
2014-01-Q4,	5300.00
2014-02-Q1,	5280.00
2014-02-Q2,	5280.00
2014-02-Q3,	5280.00
2014-02-Q4,	5280.00
2014-03-Q1,	5360.00
2014-03-Q2,	5360.00
2014-03-Q3,	5360.00
2014-03-Q4,	5360.00
2014-04-Q1,	5780.00
2014-04-Q2,	5780.00
2014-04-Q3,	5780.00
2014-04-Q4,	5780.00
2014-05-Q1,	6190.00
2014-05-Q2,	6190.00
2014-05-Q3,	6190.00
2014-05-Q4,	6190.00
2014-06-Q1,	6090.00
2014-06-Q2,	6090.00
2014-06-Q3,	6090.00
2014-06-Q4,	6090.00
2014-07-Q1,	6130.00
2014-07-Q2,	6130.00
2014-07-Q3,	6130.00
2014-07-Q4,	6130.00
2014-08-Q1,	6040.00
2014-08-Q2,	6040.00
2014-08-Q3,	6040.00
2014-08-Q4,	6040.00
2014-09-Q1,	6000.00
2014-09-Q2,	6000.00
2014-09-Q3,	6000.00
2014-09-Q4,	6000.00
2014-10-Q1,	6040.00
2014-10-Q2,	6040.00
2014-10-Q3,	6040.00
2014-10-Q4,	6040.00
2014-11-Q1,	6130.00
2014-11-Q2,	6130.00
2014-11-Q3,	6130.00
2014-11-Q4,	6130.00
2014-12-Q1,	5970.00
2014-12-Q2,	5970.00
2014-12-Q3,	5970.00
2014-12-Q4,	5970.00
2015-01-Q1,	5810.00
2015-01-Q2,	5810.00
2015-01-Q3,	5810.00
2015-01-Q4,	5810.00
2015-02-Q1,	5550.00
2015-02-Q2,	5550.00
2015-02-Q3,	5550.00
2015-02-Q4,	5550.00
2015-03-Q1,	5450.00
2015-03-Q2,	5450.00
2015-03-Q3,	5450.00
2015-03-Q4,	5450.00
2015-04-Q1,	5900.00
2015-04-Q2,	5900.00
2015-04-Q3,	5900.00
2015-04-Q4,	5900.00
2015-05-Q1,	6070.00
2015-05-Q2,	6070.00
2015-05-Q3,	6070.00
2015-05-Q4,	6070.00
2015-06-Q1,	6420.00
2015-06-Q2,	6420.00
2015-06-Q3,	6420.00
2015-06-Q4,	6420.00
2015-07-Q1,	6930.00
2015-07-Q2,	6930.00
2015-07-Q3,	6930.00
2015-07-Q4,	6930.00
2015-08-Q1,	6760.00
2015-08-Q2,	6760.00
2015-08-Q3,	6760.00
2015-08-Q4,	6760.00
2015-09-Q1,	6370.00
2015-09-Q2,	6370.00
2015-09-Q3,	6370.00
2015-09-Q4,	6370.00
2015-10-Q1,	6160.00
2015-10-Q2,	6160.00
2015-10-Q3,	6160.00
2015-10-Q4,	6160.00
2015-11-Q1,	6210.00
2015-11-Q2,	6210.00
2015-11-Q3,	6210.00
2015-11-Q4,	6210.00
2015-12-Q1,	5990.00
2015-12-Q2,	5990.00
2015-12-Q3,	5990.00
2015-12-Q4,	5990.00
2016-01-Q1,	6320.00
2016-01-Q2,	6320.00
2016-01-Q3,	6320.00
2016-01-Q4,	6320.00
2016-02-Q1,	6270.00
2016-02-Q2,	6270.00
2016-02-Q3,	6270.00
2016-02-Q4,	6270.00
2016-03-Q1,	6360.00
2016-03-Q2,	6360.00
2016-03-Q3,	6360.00
2016-03-Q4,	6360.00
2016-04-Q1,	6690.00
2016-04-Q2,	6690.00
2016-04-Q3,	6690.00
2016-04-Q4,	6690.00
2016-05-Q1,	6840.00
2016-05-Q2,	6840.00
2016-05-Q3,	6840.00
2016-05-Q4,	6840.00
2016-06-Q1,	6610.00
2016-06-Q2,	6610.00
2016-06-Q3,	6610.00
2016-06-Q4,	6610.00
2016-07-Q1,	6500.00
2016-07-Q2,	6500.00
2016-07-Q3,	6500.00
2016-07-Q4,	6500.00
2016-08-Q1,	6280.00
2016-08-Q2,	6280.00
2016-08-Q3,	6280.00
2016-08-Q4,	6280.00
2016-09-Q1,	6020.00
2016-09-Q2,	6020.00
2016-09-Q3,	6020.00
2016-09-Q4,	6020.00
2016-10-Q1,	5990.00
2016-10-Q2,	5990.00
2016-10-Q3,	5990.00
2016-10-Q4,	5990.00
2016-11-Q1,	6160.00
2016-11-Q2,	6160.00
2016-11-Q3,	6160.00
2016-11-Q4,	6160.00
2016-12-Q1,	6300.00
2016-12-Q2,	6300.00
2016-12-Q3,	6300.00
2016-12-Q4,	6300.00
2017-01-Q1,	6330.00
2017-01-Q2,	6330.00
2017-01-Q3,	6330.00
2017-01-Q4,	6330.00
2017-02-Q1,	6540.00
2017-02-Q2,	6540.00
2017-02-Q3,	6540.00
2017-02-Q4,	6540.00
2017-03-Q1,	6510.00
2017-03-Q2,	6510.00
2017-03-Q3,	6510.00
2017-03-Q4,	6510.00
2017-04-Q1,	6880.00
2017-04-Q2,	6880.00
2017-04-Q3,	6880.00
2017-04-Q4,	6880.00
2017-05-Q1,	7320.00
2017-05-Q2,	7320.00
2017-05-Q3,	7320.00
2017-05-Q4,	7320.00
2017-06-Q1,	7200.00
2017-06-Q2,	7200.00
2017-06-Q3,	7200.00
2017-06-Q4,	7200.00
2017-07-Q1,	7170.00
2017-07-Q2,	7170.00
2017-07-Q3,	7170.00
2017-07-Q4,	7170.00
2017-08-Q1,	6940.00
2017-08-Q2,	6940.00
2017-08-Q3,	6940.00
2017-08-Q4,	6940.00
2017-09-Q1,	6580.00
2017-09-Q2,	6580.00
2017-09-Q3,	6580.00
2017-09-Q4,	6580.00
2017-10-Q1,	6610.00
2017-10-Q2,	6610.00
2017-10-Q3,	6610.00
