UNITS:	cms	
KIND:	flow	
INTERVAL:	qm	
LOCATION:	scr	
# origin is monthly
2013-01-Q1,	4280.00
2013-01-Q2,	4280.00
2013-01-Q3,	4280.00
2013-01-Q4,	4280.00
2013-02-Q1,	4050.00
2013-02-Q2,	4050.00
2013-02-Q3,	4050.00
2013-02-Q4,	4050.00
2013-03-Q1,	4420.00
2013-03-Q2,	4420.00
2013-03-Q3,	4420.00
2013-03-Q4,	4420.00
2013-04-Q1,	4460.00
2013-04-Q2,	4460.00
2013-04-Q3,	4460.00
2013-04-Q4,	4460.00
2013-05-Q1,	4830.00
2013-05-Q2,	4830.00
2013-05-Q3,	4830.00
2013-05-Q4,	4830.00
2013-06-Q1,	4880.00
2013-06-Q2,	4880.00
2013-06-Q3,	4880.00
2013-06-Q4,	4880.00
2013-07-Q1,	4760.00
2013-07-Q2,	4760.00
2013-07-Q3,	4760.00
2013-07-Q4,	4760.00
2013-08-Q1,	4890.00
2013-08-Q2,	4890.00
2013-08-Q3,	4890.00
2013-08-Q4,	4890.00
2013-09-Q1,	4910.00
2013-09-Q2,	4910.00
2013-09-Q3,	4910.00
2013-09-Q4,	4910.00
2013-10-Q1,	4870.00
2013-10-Q2,	4870.00
2013-10-Q3,	4870.00
2013-10-Q4,	4870.00
2013-11-Q1,	4970.00
2013-11-Q2,	4970.00
2013-11-Q3,	4970.00
2013-11-Q4,	4970.00
2013-12-Q1,	4910.00
2013-12-Q2,	4910.00
2013-12-Q3,	4910.00
2013-12-Q4,	4910.00
2014-01-Q1,	3940.00
2014-01-Q2,	3940.00
2014-01-Q3,	3940.00
2014-01-Q4,	3940.00
2014-02-Q1,	4370.00
2014-02-Q2,	4370.00
2014-02-Q3,	4370.00
2014-02-Q4,	4370.00
2014-03-Q1,	4570.00
2014-03-Q2,	4570.00
2014-03-Q3,	4570.00
2014-03-Q4,	4570.00
2014-04-Q1,	4910.00
2014-04-Q2,	4910.00
2014-04-Q3,	4910.00
2014-04-Q4,	4910.00
2014-05-Q1,	5120.00
2014-05-Q2,	5120.00
2014-05-Q3,	5120.00
2014-05-Q4,	5120.00
2014-06-Q1,	5260.00
2014-06-Q2,	5260.00
2014-06-Q3,	5260.00
2014-06-Q4,	5260.00
2014-07-Q1,	5400.00
2014-07-Q2,	5400.00
2014-07-Q3,	5400.00
2014-07-Q4,	5400.00
2014-08-Q1,	5420.00
2014-08-Q2,	5420.00
2014-08-Q3,	5420.00
