UNITS:	cms	
KIND:	flow	
INTERVAL:	qm	
LOCATION:	stl	
# origin is monthly
2013-01-Q1,	5970.00
2013-01-Q2,	5970.00
2013-01-Q3,	5970.00
2013-01-Q4,	5970.00
2013-02-Q1,	6190.00
2013-02-Q2,	6190.00
2013-02-Q3,	6190.00
2013-02-Q4,	6190.00
2013-03-Q1,	6460.00
2013-03-Q2,	6460.00
2013-03-Q3,	6460.00
2013-03-Q4,	6460.00
2013-04-Q1,	6420.00
2013-04-Q2,	6420.00
2013-04-Q3,	6420.00
2013-04-Q4,	6420.00
2013-05-Q1,	6420.00
2013-05-Q2,	6420.00
2013-05-Q3,	6420.00
2013-05-Q4,	6420.00
2013-06-Q1,	6600.00
2013-06-Q2,	6600.00
2013-06-Q3,	6600.00
2013-06-Q4,	6600.00
2013-07-Q1,	7480.00
2013-07-Q2,	7480.00
2013-07-Q3,	7480.00
2013-07-Q4,	7480.00
2013-08-Q1,	7480.00
2013-08-Q2,	7480.00
2013-08-Q3,	7480.00
2013-08-Q4,	7480.00
2013-09-Q1,	7260.00
2013-09-Q2,	7260.00
2013-09-Q3,	7260.00
2013-09-Q4,	7260.00
2013-10-Q1,	6890.00
2013-10-Q2,	6890.00
2013-10-Q3,	6890.00
2013-10-Q4,	6890.00
2013-11-Q1,	7290.00
2013-11-Q2,	7290.00
2013-11-Q3,	7290.00
2013-11-Q4,	7290.00
2013-12-Q1,	6720.00
2013-12-Q2,	6720.00
2013-12-Q3,	6720.00
2013-12-Q4,	6720.00
2014-01-Q1,	6322.00
2014-01-Q2,	6322.00
2014-01-Q3,	6322.00
2014-01-Q4,	6322.00
2014-02-Q1,	6955.00
2014-02-Q2,	6955.00
2014-02-Q3,	6955.00
2014-02-Q4,	6955.00
2014-03-Q1,	6935.00
2014-03-Q2,	6935.00
2014-03-Q3,	6935.00
2014-03-Q4,	6935.00
2014-04-Q1,	6888.00
2014-04-Q2,	6888.00
2014-04-Q3,	6888.00
2014-04-Q4,	6888.00
2014-05-Q1,	7835.00
2014-05-Q2,	7835.00
2014-05-Q3,	7835.00
2014-05-Q4,	7835.00
2014-06-Q1,	8175.00
2014-06-Q2,	8175.00
2014-06-Q3,	8175.00
2014-06-Q4,	8175.00
2014-07-Q1,	8322.00
2014-07-Q2,	8322.00
2014-07-Q3,	8322.00
2014-07-Q4,	8322.00
2014-08-Q1,	8071.00
2014-08-Q2,	8071.00
2014-08-Q3,	8071.00
2014-08-Q4,	8071.00
2014-09-Q1,	7860.00
2014-09-Q2,	7860.00
2014-09-Q3,	7860.00
2014-09-Q4,	7860.00
2014-10-Q1,	7453.00
2014-10-Q2,	7453.00
2014-10-Q3,	7453.00
2014-10-Q4,	7453.00
2014-11-Q1,	7210.00
2014-11-Q2,	7210.00
2014-11-Q3,	7210.00
2014-11-Q4,	7210.00
2014-12-Q1,	6675.00
2014-12-Q2,	6675.00
2014-12-Q3,	6675.00
2014-12-Q4,	6675.00
2015-01-Q1,	6285.00
2015-01-Q2,	6285.00
2015-01-Q3,	6285.00
2015-01-Q4,	6285.00
2015-02-Q1,	6804.00
2015-02-Q2,	6804.00
2015-02-Q3,	6804.00
2015-02-Q4,	6804.00
2015-03-Q1,	6460.00
2015-03-Q2,	6460.00
2015-03-Q3,	6460.00
2015-03-Q4,	6460.00
2015-04-Q1,	6398.00
2015-04-Q2,	6398.00
2015-04-Q3,	6398.00
2015-04-Q4,	6398.00
2015-05-Q1,	6587.00
2015-05-Q2,	6587.00
2015-05-Q3,	6587.00
2015-05-Q4,	6587.00
2015-06-Q1,	6905.00
2015-06-Q2,	6905.00
2015-06-Q3,	6905.00
2015-06-Q4,	6905.00
2015-07-Q1,	8253.00
2015-07-Q2,	8253.00
2015-07-Q3,	8253.00
2015-07-Q4,	8253.00
2015-08-Q1,	8420.00
2015-08-Q2,	8420.00
2015-08-Q3,	8420.00
2015-08-Q4,	8420.00
2015-09-Q1,	8511.00
2015-09-Q2,	8511.00
2015-09-Q3,	8511.00
2015-09-Q4,	8511.00
2015-10-Q1,	7910.00
2015-10-Q2,	7910.00
2015-10-Q3,	7910.00
2015-10-Q4,	7910.00
2015-11-Q1,	7820.00
2015-11-Q2,	7820.00
2015-11-Q3,	7820.00
2015-11-Q4,	7820.00
2015-12-Q1,	6960.00
2015-12-Q2,	6960.00
2015-12-Q3,	6960.00
2015-12-Q4,	6960.00
2016-01-Q1,	6120.00
2016-01-Q2,	6120.00
2016-01-Q3,	6120.00
