UNITS:	cms	
KIND:	flow	
INTERVAL:	qm	
LOCATION:	det	
# origin is monthly
2013-01-Q1,	4730.00
2013-01-Q2,	4730.00
2013-01-Q3,	4730.00
2013-01-Q4,	4730.00
2013-02-Q1,	4540.00
2013-02-Q2,	4540.00
2013-02-Q3,	4540.00
2013-02-Q4,	4540.00
2013-03-Q1,	4850.00
2013-03-Q2,	4850.00
2013-03-Q3,	4850.00
2013-03-Q4,	4850.00
2013-04-Q1,	4920.00
2013-04-Q2,	4920.00
2013-04-Q3,	4920.00
2013-04-Q4,	4920.00
2013-05-Q1,	5010.00
2013-05-Q2,	5010.00
2013-05-Q3,	5010.00
2013-05-Q4,	5010.00
2013-06-Q1,	5190.00
2013-06-Q2,	5190.00
2013-06-Q3,	5190.00
2013-06-Q4,	5190.00
2013-07-Q1,	5180.00
2013-07-Q2,	5180.00
2013-07-Q3,	5180.00
2013-07-Q4,	5180.00
2013-08-Q1,	5140.00
2013-08-Q2,	5140.00
2013-08-Q3,	5140.00
2013-08-Q4,	5140.00
2013-09-Q1,	5170.00
2013-09-Q2,	5170.00
2013-09-Q3,	5170.00
2013-09-Q4,	5170.00
2013-10-Q1,	5150.00
2013-10-Q2,	5150.00
2013-10-Q3,	5150.00
2013-10-Q4,	5150.00
2013-11-Q1,	5280.00
2013-11-Q2,	5280.00
2013-11-Q3,	5280.00
2013-11-Q4,	5280.00
2013-12-Q1,	5350.00
2013-12-Q2,	5350.00
2013-12-Q3,	5350.00
2013-12-Q4,	5350.00
2014-01-Q1,	3420.00
2014-01-Q2,	3420.00
2014-01-Q3,	3420.00
2014-01-Q4,	3420.00
2014-02-Q1,	4410.00
2014-02-Q2,	4410.00
2014-02-Q3,	4410.00
2014-02-Q4,	4410.00
2014-03-Q1,	4990.00
2014-03-Q2,	4990.00
2014-03-Q3,	4990.00
2014-03-Q4,	4990.00
2014-04-Q1,	5280.00
2014-04-Q2,	5280.00
2014-04-Q3,	5280.00
2014-04-Q4,	5280.00
2014-05-Q1,	5560.00
2014-05-Q2,	5560.00
2014-05-Q3,	5560.00
2014-05-Q4,	5560.00
2014-06-Q1,	5530.00
2014-06-Q2,	5530.00
2014-06-Q3,	5530.00
2014-06-Q4,	5530.00
2014-07-Q1,	5710.00
2014-07-Q2,	5710.00
2014-07-Q3,	5710.00
2014-07-Q4,	5710.00
2014-08-Q1,	5690.00
2014-08-Q2,	5690.00
2014-08-Q3,	5690.00
2014-08-Q4,	5690.00
2014-09-Q1,	5810.00
2014-09-Q2,	5810.00
2014-09-Q3,	5810.00
2014-09-Q4,	5810.00
2014-10-Q1,	5910.00
2014-10-Q2,	5910.00
2014-10-Q3,	5910.00
2014-10-Q4,	5910.00
2014-11-Q1,	5980.00
2014-11-Q2,	5980.00
2014-11-Q3,	5980.00
2014-11-Q4,	5980.00
2014-12-Q1,	5990.00
2014-12-Q2,	5990.00
2014-12-Q3,	5990.00
2014-12-Q4,	5990.00
2015-01-Q1,	4860.00
2015-01-Q2,	4860.00
2015-01-Q3,	4860.00
2015-01-Q4,	4860.00
2015-02-Q1,	4990.00
2015-02-Q2,	4990.00
2015-02-Q3,	4990.00
2015-02-Q4,	4990.00
2015-03-Q1,	5530.00
2015-03-Q2,	5530.00
2015-03-Q3,	5530.00
2015-03-Q4,	5530.00
2015-04-Q1,	5950.00
2015-04-Q2,	5950.00
2015-04-Q3,	5950.00
2015-04-Q4,	5950.00
2015-05-Q1,	5900.00
2015-05-Q2,	5900.00
2015-05-Q3,	5900.00
2015-05-Q4,	5900.00
2015-06-Q1,	6030.00
2015-06-Q2,	6030.00
2015-06-Q3,	6030.00
2015-06-Q4,	6030.00
2015-07-Q1,	5960.00
2015-07-Q2,	5960.00
2015-07-Q3,	5960.00
2015-07-Q4,	5960.00
2015-08-Q1,	5940.00
2015-08-Q2,	5940.00
2015-08-Q3,	5940.00
2015-08-Q4,	5940.00
2015-09-Q1,	5950.00
2015-09-Q2,	5950.00
2015-09-Q3,	5950.00
2015-09-Q4,	5950.00
2015-10-Q1,	5820.00
2015-10-Q2,	5820.00
2015-10-Q3,	5820.00
2015-10-Q4,	5820.00
2015-11-Q1,	5850.00
2015-11-Q2,	5850.00
2015-11-Q3,	5850.00
