UNITS:	cms	
KIND:	flow	
INTERVAL:	qm	
LOCATION:	smr	
# origin is monthly
2013-01-Q1,	1570.00
2013-01-Q2,	1570.00
2013-01-Q3,	1570.00
2013-01-Q4,	1570.00
2013-02-Q1,	1560.00
2013-02-Q2,	1560.00
2013-02-Q3,	1560.00
2013-02-Q4,	1560.00
2013-03-Q1,	1540.00
2013-03-Q2,	1540.00
2013-03-Q3,	1540.00
2013-03-Q4,	1540.00
2013-04-Q1,	1540.00
2013-04-Q2,	1540.00
2013-04-Q3,	1540.00
2013-04-Q4,	1540.00
2013-05-Q1,	1570.00
2013-05-Q2,	1570.00
2013-05-Q3,	1570.00
2013-05-Q4,	1570.00
2013-06-Q1,	2050.00
2013-06-Q2,	2050.00
2013-06-Q3,	2050.00
2013-06-Q4,	2050.00
2013-07-Q1,	2190.00
2013-07-Q2,	2190.00
2013-07-Q3,	2190.00
2013-07-Q4,	2190.00
2013-08-Q1,	2690.00
2013-08-Q2,	2690.00
2013-08-Q3,	2690.00
2013-08-Q4,	2690.00
2013-09-Q1,	2790.00
2013-09-Q2,	2790.00
2013-09-Q3,	2790.00
2013-09-Q4,	2790.00
2013-10-Q1,	2790.00
2013-10-Q2,	2790.00
2013-10-Q3,	2790.00
2013-10-Q4,	2790.00
2013-11-Q1,	2280.00
2013-11-Q2,	2280.00
2013-11-Q3,	2280.00
2013-11-Q4,	2280.00
2013-12-Q1,	2180.00
2013-12-Q2,	2180.00
2013-12-Q3,	2180.00
2013-12-Q4,	2180.00
2014-01-Q1,	2070.00
2014-01-Q2,	2070.00
2014-01-Q3,	2070.00
2014-01-Q4,	2070.00
2014-02-Q1,	1970.00
2014-02-Q2,	1970.00
2014-02-Q3,	1970.00
2014-02-Q4,	1970.00
2014-03-Q1,	1970.00
2014-03-Q2,	1970.00
2014-03-Q3,	1970.00
2014-03-Q4,	1970.00
2014-04-Q1,	2020.00
2014-04-Q2,	2020.00
2014-04-Q3,	2020.00
2014-04-Q4,	2020.00
2014-05-Q1,	2360.00
2014-05-Q2,	2360.00
2014-05-Q3,	2360.00
2014-05-Q4,	2360.00
2014-06-Q1,	2700.00
2014-06-Q2,	2700.00
2014-06-Q3,	2700.00
2014-06-Q4,	2700.00
2014-07-Q1,	3260.00
2014-07-Q2,	3260.00
2014-07-Q3,	3260.00
2014-07-Q4,	3260.00
2014-08-Q1,	3280.00
2014-08-Q2,	3280.00
2014-08-Q3,	3280.00
2014-08-Q4,	3280.00
2014-09-Q1,	2910.00
2014-09-Q2,	2910.00
