UNITS:	meters	
KIND:	mlv	
INTERVAL:	qm	
LOCATION:	eri	
# origin is monthly
2013-01-Q1,	173.79
2013-01-Q2,	173.83
2013-01-Q3,	173.84
2013-01-Q4,	173.84
2013-02-Q1,	173.87
2013-02-Q2,	173.87
2013-02-Q3,	173.84
2013-02-Q4,	173.87
2013-03-Q1,	173.90
2013-03-Q2,	173.90
2013-03-Q3,	173.94
2013-03-Q4,	173.94
2013-04-Q1,	173.93
2013-04-Q2,	174.00
2013-04-Q3,	174.06
2013-04-Q4,	174.10
2013-05-Q1,	174.12
2013-05-Q2,	174.10
2013-05-Q3,	174.09
2013-05-Q4,	174.10
2013-06-Q1,	174.17
2013-06-Q2,	174.22
2013-06-Q3,	174.25
2013-06-Q4,	174.27
2013-07-Q1,	174.31
2013-07-Q2,	174.36
2013-07-Q3,	174.38
2013-07-Q4,	174.36
2013-08-Q1,	174.32
2013-08-Q2,	174.29
2013-08-Q3,	174.26
2013-08-Q4,	174.23
2013-09-Q1,	174.21
2013-09-Q2,	174.16
2013-09-Q3,	174.14
2013-09-Q4,	174.13
2013-10-Q1,	174.11
2013-10-Q2,	174.12
2013-10-Q3,	174.06
2013-10-Q4,	174.01
2013-11-Q1,	174.02
2013-11-Q2,	173.97
2013-11-Q3,	173.95
2013-11-Q4,	173.93
2013-12-Q1,	173.93
2013-12-Q2,	173.87
2013-12-Q3,	173.91
2013-12-Q4,	174.03
2014-01-Q1,	174.02
2014-01-Q2,	174.01
2014-01-Q3,	174.01
2014-01-Q4,	173.97
2014-02-Q1,	173.95
2014-02-Q2,	173.93
2014-02-Q3,	173.91
2014-02-Q4,	173.95
2014-03-Q1,	173.94
2014-03-Q2,	173.95
2014-03-Q3,	174.02
2014-03-Q4,	174.04
2014-04-Q1,	174.11
2014-04-Q2,	174.19
2014-04-Q3,	174.24
2014-04-Q4,	174.27
2014-05-Q1,	174.28
2014-05-Q2,	174.31
2014-05-Q3,	174.39
2014-05-Q4,	174.41
2014-06-Q1,	174.39
2014-06-Q2,	174.40
2014-06-Q3,	174.40
2014-06-Q4,	174.43
2014-07-Q1,	174.41
2014-07-Q2,	174.42
2014-07-Q3,	174.40
2014-07-Q4,	174.38
2014-08-Q1,	174.39
2014-08-Q2,	174.38
2014-08-Q3,	174.36
2014-08-Q4,	174.34
2014-09-Q1,	174.32
2014-09-Q2,	174.33
2014-09-Q3,	174.31
2014-09-Q4,	174.29
2014-10-Q1,	174.26
2014-10-Q2,	174.26
2014-10-Q3,	174.25
2014-10-Q4,	174.22
2014-11-Q1,	174.20
2014-11-Q2,	174.16
2014-11-Q3,	174.11
2014-11-Q4,	174.13
2014-12-Q1,	174.16
2014-12-Q2,	174.17
2014-12-Q3,	174.18
2014-12-Q4,	174.18
2015-01-Q1,	174.18
2015-01-Q2,	174.18
2015-01-Q3,	174.16
2015-01-Q4,	174.11
2015-02-Q1,	174.08
2015-02-Q2,	174.04
2015-02-Q3,	174.01
2015-02-Q4,	173.98
2015-03-Q1,	173.95
2015-03-Q2,	173.95
2015-03-Q3,	174.02
2015-03-Q4,	174.06
2015-04-Q1,	174.12
2015-04-Q2,	174.22
2015-04-Q3,	174.25
2015-04-Q4,	174.28
2015-05-Q1,	174.29
2015-05-Q2,	174.30
2015-05-Q3,	174.32
2015-05-Q4,	174.34
2015-06-Q1,	174.43
2015-06-Q2,	174.47
2015-06-Q3,	174.56
2015-06-Q4,	174.67
2015-07-Q1,	174.72
2015-07-Q2,	174.76
2015-07-Q3,	174.76
2015-07-Q4,	174.73
2015-08-Q1,	174.69
2015-08-Q2,	174.65
2015-08-Q3,	174.61
2015-08-Q4,	174.55
2015-09-Q1,	174.54
2015-09-Q2,	174.51
2015-09-Q3,	174.49
2015-09-Q4,	174.47
2015-10-Q1,	174.43
2015-10-Q2,	174.36
2015-10-Q3,	174.30
2015-10-Q4,	174.28
2015-11-Q1,	174.27
2015-11-Q2,	174.23
2015-11-Q3,	174.20
2015-11-Q4,	174.19
2015-12-Q1,	174.18
2015-12-Q2,	174.17
2015-12-Q3,	174.14
2015-12-Q4,	174.21
2016-01-Q1,	174.23
2016-01-Q2,	174.23
2016-01-Q3,	174.24
2016-01-Q4,	174.23
2016-02-Q1,	174.27
2016-02-Q2,	174.27
2016-02-Q3,	174.27
2016-02-Q4,	174.27
2016-03-Q1,	174.34
2016-03-Q2,	174.39
2016-03-Q3,	174.43
2016-03-Q4,	174.48
2016-04-Q1,	174.55
2016-04-Q2,	174.61
2016-04-Q3,	174.62
2016-04-Q4,	174.63
2016-05-Q1,	174.66
2016-05-Q2,	174.66
2016-05-Q3,	174.66
2016-05-Q4,	174.64
2016-06-Q1,	174.63
2016-06-Q2,	174.62
2016-06-Q3,	174.60
2016-06-Q4,	174.59
2016-07-Q1,	174.56
2016-07-Q2,	174.56
2016-07-Q3,	174.54
2016-07-Q4,	174.52
2016-08-Q1,	174.51
2016-08-Q2,	174.46
2016-08-Q3,	174.45
2016-08-Q4,	174.44
2016-09-Q1,	174.41
2016-09-Q2,	174.40
2016-09-Q3,	174.39
2016-09-Q4,	174.37
2016-10-Q1,	174.37
2016-10-Q2,	174.32
2016-10-Q3,	174.31
2016-10-Q4,	174.31
2016-11-Q1,	174.30
2016-11-Q2,	174.27
2016-11-Q3,	174.23
2016-11-Q4,	174.22
2016-12-Q1,	174.19
2016-12-Q2,	174.16
2016-12-Q3,	174.17
2016-12-Q4,	174.18
2017-01-Q1,	174.21
2017-01-Q2,	174.24
2017-01-Q3,	174.34
2017-01-Q4,	174.36
2017-02-Q1,	174.37
2017-02-Q2,	174.40
2017-02-Q3,	174.42
2017-02-Q4,	174.42
2017-03-Q1,	174.44
2017-03-Q2,	174.48
2017-03-Q3,	174.47
2017-03-Q4,	174.51
2017-04-Q1,	174.58
2017-04-Q2,	174.64
2017-04-Q3,	174.66
2017-04-Q4,	174.69
2017-05-Q1,	174.77
2017-05-Q2,	174.84
2017-05-Q3,	174.83
2017-05-Q4,	174.86
2017-06-Q1,	174.87
2017-06-Q2,	174.83
2017-06-Q3,	174.81
2017-06-Q4,	174.80
2017-07-Q1,	174.81
2017-07-Q2,	174.81
2017-07-Q3,	174.82
2017-07-Q4,	174.80
2017-08-Q1,	174.74
2017-08-Q2,	174.71
2017-08-Q3,	174.69
2017-08-Q4,	174.67
2017-09-Q1,	174.62
2017-09-Q2,	174.60
2017-09-Q3,	174.58
2017-09-Q4,	174.56
2017-10-Q1,	174.51
2017-10-Q2,	174.55
2017-10-Q3,	174.49
2017-10-Q4,	174.43
2017-11-Q1,	174.49
2017-11-Q2,	174.49
2017-11-Q3,	174.49
2017-11-Q4,	174.50
2017-12-Q1,	174.46
2017-12-Q2,	174.43
2017-12-Q3,	174.43
2017-12-Q4,	174.42
