UNITS:	meters	
KIND:	mlv	
INTERVAL:	qm	
LOCATION:	mhu	
# origin is monthly
2013-01-Q1,	175.58
2013-01-Q2,	175.58
2013-01-Q3,	175.56
2013-01-Q4,	175.57
2013-02-Q1,	175.60
2013-02-Q2,	175.61
2013-02-Q3,	175.61
2013-02-Q4,	175.62
2013-03-Q1,	175.62
2013-03-Q2,	175.64
2013-03-Q3,	175.65
2013-03-Q4,	175.64
2013-04-Q1,	175.64
2013-04-Q2,	175.71
2013-04-Q3,	175.81
2013-04-Q4,	175.87
2013-05-Q1,	175.89
2013-05-Q2,	175.92
2013-05-Q3,	175.94
2013-05-Q4,	175.99
2013-06-Q1,	176.02
2013-06-Q2,	176.04
2013-06-Q3,	176.06
2013-06-Q4,	176.08
2013-07-Q1,	176.09
2013-07-Q2,	176.09
2013-07-Q3,	176.10
2013-07-Q4,	176.09
2013-08-Q1,	176.09
2013-08-Q2,	176.08
2013-08-Q3,	176.06
2013-08-Q4,	176.08
2013-09-Q1,	176.06
2013-09-Q2,	176.05
2013-09-Q3,	176.03
2013-09-Q4,	176.01
2013-10-Q1,	176.02
2013-10-Q2,	176.02
2013-10-Q3,	176.01
2013-10-Q4,	175.98
2013-11-Q1,	176.02
2013-11-Q2,	176.01
2013-11-Q3,	176.02
2013-11-Q4,	176.00
2013-12-Q1,	175.98
2013-12-Q2,	175.97
2013-12-Q3,	175.96
2013-12-Q4,	175.96
2014-01-Q1,	175.94
2014-01-Q2,	175.95
2014-01-Q3,	175.97
2014-01-Q4,	175.96
2014-02-Q1,	175.95
2014-02-Q2,	175.94
2014-02-Q3,	175.96
2014-02-Q4,	175.96
2014-03-Q1,	175.95
2014-03-Q2,	175.95
2014-03-Q3,	175.94
2014-03-Q4,	175.96
2014-04-Q1,	175.99
2014-04-Q2,	176.04
2014-04-Q3,	176.10
2014-04-Q4,	176.14
2014-05-Q1,	176.20
2014-05-Q2,	176.25
2014-05-Q3,	176.30
2014-05-Q4,	176.33
2014-06-Q1,	176.35
2014-06-Q2,	176.36
2014-06-Q3,	176.39
2014-06-Q4,	176.42
2014-07-Q1,	176.44
2014-07-Q2,	176.46
2014-07-Q3,	176.47
2014-07-Q4,	176.47
2014-08-Q1,	176.46
2014-08-Q2,	176.47
2014-08-Q3,	176.49
2014-08-Q4,	176.49
2014-09-Q1,	176.52
2014-09-Q2,	176.52
2014-09-Q3,	176.51
2014-09-Q4,	176.51
2014-10-Q1,	176.54
2014-10-Q2,	176.53
2014-10-Q3,	176.56
2014-10-Q4,	176.55
2014-11-Q1,	176.55
2014-11-Q2,	176.54
2014-11-Q3,	176.53
2014-11-Q4,	176.55
2014-12-Q1,	176.54
2014-12-Q2,	176.52
2014-12-Q3,	176.52
2014-12-Q4,	176.54
2015-01-Q1,	176.52
2015-01-Q2,	176.51
2015-01-Q3,	176.51
2015-01-Q4,	176.51
2015-02-Q1,	176.50
2015-02-Q2,	176.50
2015-02-Q3,	176.50
2015-02-Q4,	176.49
2015-03-Q1,	176.49
2015-03-Q2,	176.48
2015-03-Q3,	176.48
2015-03-Q4,	176.48
2015-04-Q1,	176.48
2015-04-Q2,	176.53
2015-04-Q3,	176.55
2015-04-Q4,	176.56
2015-05-Q1,	176.56
2015-05-Q2,	176.58
2015-05-Q3,	176.59
2015-05-Q4,	176.62
2015-06-Q1,	176.64
2015-06-Q2,	176.68
2015-06-Q3,	176.71
2015-06-Q4,	176.72
2015-07-Q1,	176.72
2015-07-Q2,	176.72
2015-07-Q3,	176.74
2015-07-Q4,	176.73
2015-08-Q1,	176.73
2015-08-Q2,	176.72
2015-08-Q3,	176.74
2015-08-Q4,	176.71
2015-09-Q1,	176.71
2015-09-Q2,	176.71
2015-09-Q3,	176.69
2015-09-Q4,	176.67
2015-10-Q1,	176.62
2015-10-Q2,	176.60
2015-10-Q3,	176.55
2015-10-Q4,	176.54
2015-11-Q1,	176.55
2015-11-Q2,	176.54
2015-11-Q3,	176.53
2015-11-Q4,	176.53
2015-12-Q1,	176.53
2015-12-Q2,	176.54
2015-12-Q3,	176.57
2015-12-Q4,	176.58
2016-01-Q1,	176.58
2016-01-Q2,	176.57
2016-01-Q3,	176.56
2016-01-Q4,	176.55
2016-02-Q1,	176.57
2016-02-Q2,	176.56
2016-02-Q3,	176.55
2016-02-Q4,	176.56
2016-03-Q1,	176.56
2016-03-Q2,	176.58
2016-03-Q3,	176.62
2016-03-Q4,	176.67
2016-04-Q1,	176.74
2016-04-Q2,	176.77
2016-04-Q3,	176.78
2016-04-Q4,	176.80
2016-05-Q1,	176.81
2016-05-Q2,	176.82
2016-05-Q3,	176.82
2016-05-Q4,	176.83
2016-06-Q1,	176.84
2016-06-Q2,	176.84
2016-06-Q3,	176.85
2016-06-Q4,	176.84
2016-07-Q1,	176.84
2016-07-Q2,	176.84
2016-07-Q3,	176.84
2016-07-Q4,	176.84
2016-08-Q1,	176.81
2016-08-Q2,	176.80
2016-08-Q3,	176.83
2016-08-Q4,	176.82
2016-09-Q1,	176.80
2016-09-Q2,	176.79
2016-09-Q3,	176.77
2016-09-Q4,	176.74
2016-10-Q1,	176.73
2016-10-Q2,	176.69
2016-10-Q3,	176.68
2016-10-Q4,	176.65
2016-11-Q1,	176.64
2016-11-Q2,	176.61
2016-11-Q3,	176.56
2016-11-Q4,	176.55
2016-12-Q1,	176.55
2016-12-Q2,	176.52
2016-12-Q3,	176.50
2016-12-Q4,	176.48
2017-01-Q1,	176.46
2017-01-Q2,	176.46
2017-01-Q3,	176.47
2017-01-Q4,	176.49
2017-02-Q1,	176.47
2017-02-Q2,	176.47
2017-02-Q3,	176.46
2017-02-Q4,	176.50
2017-03-Q1,	176.54
2017-03-Q2,	176.52
2017-03-Q3,	176.52
2017-03-Q4,	176.55
2017-04-Q1,	176.60
2017-04-Q2,	176.65
2017-04-Q3,	176.70
2017-04-Q4,	176.73
2017-05-Q1,	176.78
2017-05-Q2,	176.79
2017-05-Q3,	176.81
2017-05-Q4,	176.84
2017-06-Q1,	176.84
2017-06-Q2,	176.86
2017-06-Q3,	176.90
2017-06-Q4,	176.95
2017-07-Q1,	176.97
2017-07-Q2,	176.99
2017-07-Q3,	177.00
2017-07-Q4,	177.01
2017-08-Q1,	177.01
2017-08-Q2,	177.00
2017-08-Q3,	177.00
2017-08-Q4,	176.98
2017-09-Q1,	176.95
2017-09-Q2,	176.93
2017-09-Q3,	176.92
2017-09-Q4,	176.89
2017-10-Q1,	176.87
2017-10-Q2,	176.86
2017-10-Q3,	176.88
2017-10-Q4,	176.88
2017-11-Q1,	176.86
2017-11-Q2,	176.83
2017-11-Q3,	176.85
2017-11-Q4,	176.83
2017-12-Q1,	176.83
2017-12-Q2,	176.80
2017-12-Q3,	176.77
2017-12-Q4,	176.76
