UNITS:	meters	
KIND:	mlv	
INTERVAL:	qm	
LOCATION:	ont	
# origin is monthly
2013-01,	74.75
2013-02,	74.95
2013-03,	74.58
2013-04,	74.72
2013-05,	74.88
2013-06,	75.10
2013-07,	75.14
2013-08,	74.99
2013-09,	74.79
2013-10,	74.64
2013-11,	74.60
2013-12,	74.53
2014-01,	74.64
2014-02,	74.61
2014-03,	74.55
2014-04,	74.83
2014-05,	75.14
2014-06,	75.17
2014-07,	75.09
2014-08,	74.96
2014-09,	74.78
2014-10,	74.59
2014-11,	74.46
2014-12,	74.46
2015-01,	74.56
2015-02,	74.50
2015-03,	74.41
2015-04,	74.62
2015-05,	74.81
2015-06,	75.02
2015-07,	75.21
2015-08,	75.11
2015-09,	74.91
2015-10,	74.67
2015-11,	74.56
2015-12,	74.47
2016-01,	74.63
2016-02,	74.82
2016-03,	74.97
2016-04,	75.11
2016-05,	75.09
2016-06,	75.02
2016-07,	74.95
2016-08,	74.84
2016-09,	74.70
2016-10,	74.54
2016-11,	74.48
2016-12,	74.46
2017-01,	74.62
2017-02,	74.82
2017-03,	75.00
2017-04,	75.35
2017-05,	75.80
2017-06,	75.81
2017-07,	75.69
2017-08,	75.43
2017-09,	75.08
2017-10,	74.86
2017-11,	74.87
2017-12,	74.77
