UNITS:	meters	
KIND:	mlv	
INTERVAL:	qm	
LOCATION:	stc	
# origin is monthly
2013-01-Q1,	174.49
2013-01-Q2,	174.57
2013-01-Q3,	174.54
2013-01-Q4,	174.50
2013-02-Q1,	174.63
2013-02-Q2,	174.51
2013-02-Q3,	174.47
2013-02-Q4,	174.56
2013-03-Q1,	174.65
2013-03-Q2,	174.64
2013-03-Q3,	174.62
2013-03-Q4,	174.63
2013-04-Q1,	174.62
2013-04-Q2,	174.80
2013-04-Q3,	174.82
2013-04-Q4,	174.82
2013-05-Q1,	174.82
2013-05-Q2,	174.82
2013-05-Q3,	174.84
2013-05-Q4,	174.88
2013-06-Q1,	174.94
2013-06-Q2,	175.00
2013-06-Q3,	175.02
2013-06-Q4,	175.05
2013-07-Q1,	175.09
2013-07-Q2,	175.14
2013-07-Q3,	175.11
2013-07-Q4,	175.06
2013-08-Q1,	175.04
2013-08-Q2,	175.04
2013-08-Q3,	175.00
2013-08-Q4,	174.99
2013-09-Q1,	174.98
2013-09-Q2,	174.96
2013-09-Q3,	174.95
2013-09-Q4,	174.94
2013-10-Q1,	174.88
2013-10-Q2,	174.91
2013-10-Q3,	174.81
2013-10-Q4,	174.79
2013-11-Q1,	174.84
2013-11-Q2,	174.78
2013-11-Q3,	174.77
2013-11-Q4,	174.75
2013-12-Q1,	174.75
2013-12-Q2,	174.73
2013-12-Q3,	174.83
2013-12-Q4,	174.87
2014-01-Q1,	174.69
2014-01-Q2,	174.64
2014-01-Q3,	174.75
2014-01-Q4,	174.63
2014-02-Q1,	174.58
2014-02-Q2,	174.59
2014-02-Q3,	174.59
2014-02-Q4,	174.72
2014-03-Q1,	174.75
2014-03-Q2,	174.76
2014-03-Q3,	174.83
2014-03-Q4,	174.83
2014-04-Q1,	174.93
2014-04-Q2,	174.96
2014-04-Q3,	174.97
2014-04-Q4,	175.00
2014-05-Q1,	175.06
2014-05-Q2,	175.11
2014-05-Q3,	175.19
2014-05-Q4,	175.19
