UNITS:	meters	
KIND:	mlv	
INTERVAL:	qm	
LOCATION:	sup	
# origin is monthly
2013-01-Q1,	183.00
2013-01-Q2,	182.98
2013-01-Q3,	182.97
2013-01-Q4,	182.96
2013-02-Q1,	182.96
2013-02-Q2,	182.94
2013-02-Q3,	182.95
2013-02-Q4,	182.93
2013-03-Q1,	182.91
2013-03-Q2,	182.91
2013-03-Q3,	182.91
2013-03-Q4,	182.89
2013-04-Q1,	182.89
2013-04-Q2,	182.90
2013-04-Q3,	182.93
2013-04-Q4,	182.96
2013-05-Q1,	183.04
2013-05-Q2,	183.08
2013-05-Q3,	183.14
2013-05-Q4,	183.21
2013-06-Q1,	183.25
2013-06-Q2,	183.25
2013-06-Q3,	183.26
2013-06-Q4,	183.30
2013-07-Q1,	183.31
2013-07-Q2,	183.34
2013-07-Q3,	183.39
2013-07-Q4,	183.43
2013-08-Q1,	183.45
2013-08-Q2,	183.45
2013-08-Q3,	183.43
2013-08-Q4,	183.45
2013-09-Q1,	183.49
2013-09-Q2,	183.49
2013-09-Q3,	183.48
2013-09-Q4,	183.46
2013-10-Q1,	183.46
2013-10-Q2,	183.45
2013-10-Q3,	183.45
2013-10-Q4,	183.42
2013-11-Q1,	183.41
2013-11-Q2,	183.41
2013-11-Q3,	183.41
2013-11-Q4,	183.38
2013-12-Q1,	183.38
2013-12-Q2,	183.37
2013-12-Q3,	183.34
2013-12-Q4,	183.32
2014-01-Q1,	183.32
2014-01-Q2,	183.29
2014-01-Q3,	183.28
2014-01-Q4,	183.28
2014-02-Q1,	183.24
2014-02-Q2,	183.23
2014-02-Q3,	183.23
2014-02-Q4,	183.25
2014-03-Q1,	183.24
2014-03-Q2,	183.23
2014-03-Q3,	183.23
2014-03-Q4,	183.23
2014-04-Q1,	183.25
2014-04-Q2,	183.26
2014-04-Q3,	183.27
2014-04-Q4,	183.31
2014-05-Q1,	183.38
2014-05-Q2,	183.47
2014-05-Q3,	183.51
2014-05-Q4,	183.54
2014-06-Q1,	183.58
2014-06-Q2,	183.60
2014-06-Q3,	183.62
2014-06-Q4,	183.63
2014-07-Q1,	183.64
2014-07-Q2,	183.66
2014-07-Q3,	183.66
2014-07-Q4,	183.67
2014-08-Q1,	183.67
2014-08-Q2,	183.66
2014-08-Q3,	183.67
2014-08-Q4,	183.67
2014-09-Q1,	183.68
2014-09-Q2,	183.71
2014-09-Q3,	183.70
2014-09-Q4,	183.70
2014-10-Q1,	183.71
2014-10-Q2,	183.70
2014-10-Q3,	183.71
2014-10-Q4,	183.70
2014-11-Q1,	183.69
2014-11-Q2,	183.68
2014-11-Q3,	183.65
2014-11-Q4,	183.65
2014-12-Q1,	183.61
2014-12-Q2,	183.59
2014-12-Q3,	183.60
2014-12-Q4,	183.60
2015-01-Q1,	183.58
2015-01-Q2,	183.55
2015-01-Q3,	183.52
2015-01-Q4,	183.51
2015-02-Q1,	183.48
2015-02-Q2,	183.48
2015-02-Q3,	183.46
2015-02-Q4,	183.45
2015-03-Q1,	183.43
2015-03-Q2,	183.42
2015-03-Q3,	183.42
2015-03-Q4,	183.41
2015-04-Q1,	183.41
2015-04-Q2,	183.42
2015-04-Q3,	183.45
2015-04-Q4,	183.48
2015-05-Q1,	183.49
2015-05-Q2,	183.53
2015-05-Q3,	183.54
2015-05-Q4,	183.57
2015-06-Q1,	183.60
2015-06-Q2,	183.62
2015-06-Q3,	183.63
2015-06-Q4,	183.66
2015-07-Q1,	183.67
2015-07-Q2,	183.69
2015-07-Q3,	183.69
2015-07-Q4,	183.69
2015-08-Q1,	183.68
2015-08-Q2,	183.67
2015-08-Q3,	183.68
2015-08-Q4,	183.70
2015-09-Q1,	183.70
2015-09-Q2,	183.69
2015-09-Q3,	183.68
2015-09-Q4,	183.68
2015-10-Q1,	183.64
2015-10-Q2,	183.61
2015-10-Q3,	183.59
2015-10-Q4,	183.57
2015-11-Q1,	183.58
2015-11-Q2,	183.58
2015-11-Q3,	183.59
2015-11-Q4,	183.58
2015-12-Q1,	183.57
2015-12-Q2,	183.58
2015-12-Q3,	183.60
2015-12-Q4,	183.61
2016-01-Q1,	183.58
2016-01-Q2,	183.56
2016-01-Q3,	183.54
2016-01-Q4,	183.52
2016-02-Q1,	183.51
2016-02-Q2,	183.51
2016-02-Q3,	183.48
2016-02-Q4,	183.47
2016-03-Q1,	183.45
2016-03-Q2,	183.45
2016-03-Q3,	183.48
2016-03-Q4,	183.47
2016-04-Q1,	183.48
2016-04-Q2,	183.46
2016-04-Q3,	183.48
2016-04-Q4,	183.50
2016-05-Q1,	183.50
2016-05-Q2,	183.50
2016-05-Q3,	183.50
2016-05-Q4,	183.52
2016-06-Q1,	183.57
2016-06-Q2,	183.60
2016-06-Q3,	183.63
2016-06-Q4,	183.64
2016-07-Q1,	183.66
2016-07-Q2,	183.68
2016-07-Q3,	183.70
2016-07-Q4,	183.71
2016-08-Q1,	183.70
2016-08-Q2,	183.70
2016-08-Q3,	183.70
2016-08-Q4,	183.70
2016-09-Q1,	183.68
2016-09-Q2,	183.71
2016-09-Q3,	183.71
2016-09-Q4,	183.71
2016-10-Q1,	183.70
2016-10-Q2,	183.68
2016-10-Q3,	183.69
2016-10-Q4,	183.65
2016-11-Q1,	183.62
