UNITS:	cms	
KIND:	flow	
INTERVAL:	wk	
LOCATION:	smr	
# historical		
2012-12-28 , 	1570
2013-01-04 , 	1570
2013-01-11 , 	1570
2013-01-18 , 	1570
2013-01-25 , 	1568.571429
2013-02-01 , 	1560
2013-02-08 , 	1560
2013-02-15 , 	1560
2013-02-22 , 	1557.142857
2013-03-01 , 	1540
2013-03-08 , 	1540
2013-03-15 , 	1540
2013-03-22 , 	1540
2013-03-29 , 	1540
2013-04-05 , 	1540
2013-04-12 , 	1540
2013-04-19 , 	1540
2013-04-26 , 	1552.857143
2013-05-03 , 	1570
2013-05-10 , 	1570
2013-05-17 , 	1570
2013-05-24 , 	1570
2013-05-31 , 	2050
2013-06-07 , 	2050
2013-06-14 , 	2050
2013-06-21 , 	2050
2013-06-28 , 	2150
2013-07-05 , 	2190
2013-07-12 , 	2190
2013-07-19 , 	2190
2013-07-26 , 	2332.857143
2013-08-02 , 	2690
2013-08-09 , 	2690
2013-08-16 , 	2690
2013-08-23 , 	2690
2013-08-30 , 	2775.714286
2013-09-06 , 	2790
2013-09-13 , 	2790
2013-09-20 , 	2790
2013-09-27 , 	2790
2013-10-04 , 	2790
2013-10-11 , 	2790
2013-10-18 , 	2790
2013-10-25 , 	2717.142857
2013-11-01 , 	2280
2013-11-08 , 	2280
2013-11-15 , 	2280
2013-11-22 , 	2280
2013-11-29 , 	2194.285714
2013-12-06 , 	2180
2013-12-13 , 	2180
2013-12-20 , 	2180
2013-12-27 , 	2132.857143
2014-01-03 , 	2070
2014-01-10 , 	2070
2014-01-17 , 	2070
2014-01-24 , 	2070
2014-01-31 , 	1970
2014-02-07 , 	1970
2014-02-14 , 	1970
2014-02-21 , 	1970
2014-02-28 , 	1970
2014-03-07 , 	1970
2014-03-14 , 	1970
2014-03-21 , 	1970
2014-03-28 , 	1998.571429
2014-04-04 , 	2020
2014-04-11 , 	2020
2014-04-18 , 	2020
2014-04-25 , 	2117.142857
2014-05-02 , 	2360
2014-05-09 , 	2360
2014-05-16 , 	2360
2014-05-23 , 	2360
2014-05-30 , 	2651.428571
2014-06-06 , 	2700
2014-06-13 , 	2700
2014-06-20 , 	2700
2014-06-27 , 	3020
2014-07-04 , 	3260
2014-07-11 , 	3260
2014-07-18 , 	3260
2014-07-25 , 	3262.857143
2014-08-01 , 	3280
2014-08-08 , 	3280
2014-08-15 , 	3280
2014-08-22 , 	3280
2014-08-29 , 	3015.714286
2014-09-05 , 	2910
2014-09-12 , 	2910
2014-09-19 , 	2910
2014-09-26 , 	2965.714286
2014-10-03 , 	3040
2014-10-10 , 	3040
2014-10-17 , 	3040
2014-10-24 , 	3040
2014-10-31 , 	2950
2014-11-07 , 	2950
2014-11-14 , 	2950
2014-11-21 , 	2950
2014-11-28 , 	2542.857143
2014-12-05 , 	2380
2014-12-12 , 	2380
2014-12-19 , 	2380
2014-12-26 , 	2331.428571
2015-01-02 , 	2210
2015-01-09 , 	2210
2015-01-16 , 	2210
2015-01-23 , 	2210
2015-01-30 , 	2192.857143
2015-02-06 , 	2190
2015-02-13 , 	2190
2015-02-20 , 	2190
2015-02-27 , 	2198.571429
2015-03-06 , 	2200
2015-03-13 , 	2200
2015-03-20 , 	2200
2015-03-27 , 	2092.857143
2015-04-03 , 	1950
2015-04-10 , 	1950
2015-04-17 , 	1950
2015-04-24 , 	2021.428571
2015-05-01 , 	2450
2015-05-08 , 	2450
2015-05-15 , 	2450
2015-05-22 , 	2450
2015-05-29 , 	2642.857143
2015-06-05 , 	2720
2015-06-12 , 	2720
2015-06-19 , 	2720
2015-06-26 , 	2874.285714
2015-07-03 , 	3080
2015-07-10 , 	3080
2015-07-17 , 	3080
2015-07-24 , 	3080
2015-07-31 , 	3070
2015-08-07 , 	3070
2015-08-14 , 	3070
2015-08-21 , 	3070
2015-08-28 , 	2898.571429
2015-09-04 , 	2770
2015-09-11 , 	2770
2015-09-18 , 	2770
2015-09-25 , 	2772.857143
2015-10-02 , 	2780
2015-10-09 , 	2780
2015-10-16 , 	2780
2015-10-23 , 	2780
2015-10-30 , 	2300
2015-11-06 , 	2220
2015-11-13 , 	2220
2015-11-20 , 	2220
2015-11-27 , 	2277.142857
2015-12-04 , 	2320
2015-12-11 , 	2320
2015-12-18 , 	2320
2015-12-25 , 	2337.142857
2016-01-01 , 	2440
2016-01-08 , 	2440
2016-01-15 , 	2440
2016-01-22 , 	2440
2016-01-29 , 	2411.428571
2016-02-05 , 	2400
2016-02-12 , 	2400
2016-02-19 , 	2400
2016-02-26 , 	2400
2016-03-04 , 	2400
2016-03-11 , 	2400
2016-03-18 , 	2400
2016-03-25 , 	2367.142857
2016-04-01 , 	2170
2016-04-08 , 	2170
2016-04-15 , 	2170
2016-04-22 , 	2170
2016-04-29 , 	2367.142857
2016-05-06 , 	2400
2016-05-13 , 	2400
2016-05-20 , 	2400
2016-05-27 , 	2425.714286
2016-06-03 , 	2460
2016-06-10 , 	2460
2016-06-17 , 	2460
2016-06-24 , 	2521.428571
2016-07-01 , 	2890
2016-07-08 , 	2890
2016-07-15 , 	2890
2016-07-22 , 	2890
2016-07-29 , 	2975.714286
2016-08-05 , 	3010
2016-08-12 , 	3010
2016-08-19 , 	3010
2016-08-26 , 	2861.428571
2016-09-02 , 	2490
2016-09-09 , 	2490
2016-09-16 , 	2490
2016-09-23 , 	2490
2016-09-30 , 	2740
2016-10-07 , 	2740
2016-10-14 , 	2740
2016-10-21 , 	2740
2016-10-28 , 	2642.857143
2016-11-04 , 	2570
2016-11-11 , 	2570
2016-11-18 , 	2570
2016-11-25 , 	2515.714286
2016-12-02 , 	2380
2016-12-09 , 	2380
2016-12-16 , 	2380
2016-12-23 , 	2380
2016-12-30 , 	2217.142857
2017-01-06 , 	2190
2017-01-13 , 	2190
2017-01-20 , 	2190
2017-01-27 , 	2237.142857
2017-02-03 , 	2300
2017-02-10 , 	2300
2017-02-17 , 	2300
2017-02-24 , 	2304.285714
2017-03-03 , 	2310
2017-03-10 , 	2310
2017-03-17 , 	2310
2017-03-24 , 	2310
2017-03-31 , 	2150
2017-04-07 , 	2150
2017-04-14 , 	2150
2017-04-21 , 	2150
2017-04-28 , 	1985.714286
2017-05-05 , 	1920
2017-05-12 , 	1920
2017-05-19 , 	1920
2017-05-26 , 	2028.571429
2017-06-02 , 	2300
2017-06-09 , 	2300
2017-06-16 , 	2300
2017-06-23 , 	2300
2017-06-30 , 	3250
2017-07-07 , 	3250
2017-07-14 , 	3250
2017-07-21 , 	3250
2017-07-28 , 	3278.571429
2017-08-04 , 	3300
2017-08-11 , 	3300
2017-08-18 , 	3300
2017-08-25 , 	3228.571429
2017-09-01 , 	2800
2017-09-08 , 	2800
2017-09-15 , 	2800
2017-09-22 , 	2800
2017-09-29 , 	3057.142857
2017-10-06 , 	3100
2017-10-13 , 	3100
2017-10-20 , 	3100
2017-10-27 , 	3091.428571
2017-11-03 , 	3080
2017-11-10 , 	3080
2017-11-17 , 	3080
2017-11-24 , 	2960
2017-12-01 , 	2240
2017-12-08 , 	2240
2017-12-15 , 	2240
2017-12-22 , 	2240
2017-12-29 , 	2240
