mhu-mlv[cms],stc-mlv[cms],eri-mlv[cms],scr-lev[m],det-lev[m],nia-lev[m]
176.5992,175.1811,174.2007,5200.0,5550.0,5450.0
176.5975,175.1831,174.2021,5200.0,5560.0,5450.0
176.5957,175.1843,174.2035,5190.0,5560.0,5450.0
176.594,175.1851,174.2049,5190.0,5560.0,5460.0
176.5924,175.1859,174.2063,5190.0,5560.0,5460.0
176.5906,175.1863,174.2077,5180.0,5550.0,5460.0
176.5889,175.1867,174.209,5180.0,5550.0,5470.0
176.5872,175.1871,174.2104,5170.0,5550.0,5470.0
176.5856,175.1871,174.2117,5170.0,5550.0,5470.0
176.5839,175.1871,174.2129,5170.0,5550.0,5470.0
176.5821,175.1867,174.2143,5170.0,5540.0,5480.0
176.5804,175.1863,174.2156,5160.0,5540.0,5480.0
176.5788,175.1863,174.2169,5160.0,5540.0,5480.0
176.577,175.1863,174.2181,5160.0,5530.0,5480.0
176.5753,175.1863,174.2194,5150.0,5530.0,5490.0
176.5736,175.1863,174.2206,5150.0,5530.0,5490.0
176.572,175.1863,174.2218,5150.0,5520.0,5490.0
176.5703,175.1859,174.223,5140.0,5520.0,5490.0
176.5685,175.1855,174.2242,5140.0,5520.0,5500.0
176.5668,175.1859,174.2252,5140.0,5520.0,5500.0
176.5652,175.1859,174.2263,5130.0,5510.0,5500.0
176.5636,175.1855,174.2275,5130.0,5510.0,5500.0
176.562,175.1855,174.2285,5130.0,5510.0,5510.0
176.5604,175.1855,174.2296,5120.0,5510.0,5510.0
176.5588,175.1855,174.2306,5120.0,5500.0,5510.0
176.5572,175.1855,174.2316,5120.0,5500.0,5510.0
176.5556,175.1851,174.2326,5110.0,5500.0,5510.0
176.554,175.1847,174.2336,5110.0,5490.0,5520.0
176.5524,175.1847,174.2346,5110.0,5490.0,5520.0
176.5508,175.1847,174.2356,5110.0,5490.0,5520.0
176.5492,175.1843,174.2366,5100.0,5490.0,5520.0
176.5488,175.1863,174.2386,5190.0,5600.0,5580.0
176.5496,175.1902,174.2414,5180.0,5610.0,5590.0
176.5504,175.1932,174.2443,5180.0,5610.0,5590.0
176.5512,175.1959,174.2473,5180.0,5620.0,5600.0
176.552,175.1983,174.2501,5180.0,5620.0,5610.0
176.5528,175.2006,174.2531,5180.0,5620.0,5610.0
176.5536,175.2028,174.2559,5180.0,5620.0,5620.0
176.5544,175.2052,174.2587,5180.0,5620.0,5620.0
176.5552,175.2071,174.2615,5180.0,5620.0,5630.0
176.556,175.2087,174.2643,5180.0,5620.0,5640.0
176.5568,175.2106,174.2671,5180.0,5620.0,5640.0
176.5576,175.2129,174.2698,5180.0,5630.0,5650.0
176.5584,175.2149,174.2726,5180.0,5630.0,5650.0
176.5592,175.2161,174.2754,5180.0,5630.0,5660.0
176.56,175.2173,174.2781,5180.0,5620.0,5660.0
176.5608,175.2185,174.2808,5180.0,5620.0,5670.0
176.5616,175.22,174.2834,5180.0,5620.0,5680.0
176.5624,175.2224,174.286,5180.0,5620.0,5680.0
176.5632,175.2246,174.2886,5170.0,5630.0,5690.0
176.564,175.2262,174.2912,5170.0,5630.0,5690.0
176.5648,175.227,174.2938,5180.0,5620.0,5700.0
176.5656,175.2282,174.2964,5180.0,5620.0,5700.0
176.5664,175.2301,174.2988,5180.0,5620.0,5710.0
176.5672,175.2324,174.3014,5170.0,5620.0,5710.0
176.568,175.2344,174.3039,5170.0,5630.0,5720.0
176.5688,175.2356,174.3064,5170.0,5620.0,5720.0
176.5696,175.2372,174.3088,5170.0,5620.0,5730.0
176.5704,175.2387,174.3112,5170.0,5620.0,5730.0
176.5712,175.2395,174.3137,5180.0,5620.0,5740.0
176.5739,175.2457,174.3185,5510.0,5890.0,5800.0
176.5785,175.2565,174.3257,5510.0,5910.0,5820.0
176.5831,175.2658,174.333,5510.0,5930.0,5830.0
176.5877,175.274,174.3402,5510.0,5940.0,5850.0
176.5923,175.2814,174.3474,5510.0,5950.0,5860.0
176.5969,175.2888,174.3546,5510.0,5960.0,5880.0
176.6015,175.2958,174.3618,5520.0,5970.0,5890.0
176.6061,175.302,174.369,5520.0,5970.0,5910.0
176.6107,175.3078,174.3761,5520.0,5980.0,5920.0
176.6153,175.3136,174.3832,5520.0,5980.0,5940.0
176.6199,175.3198,174.3902,5530.0,5990.0,5950.0
176.6245,175.3256,174.3972,5530.0,5990.0,5970.0
176.6291,175.331,174.4042,5530.0,5990.0,5980.0
176.6337,175.3364,174.4111,5540.0,6000.0,6000.0
176.6383,175.3418,174.418,5540.0,6000.0,6010.0
176.6429,175.3469,174.425,5550.0,6000.0,6030.0
176.6475,175.3519,174.4318,5550.0,6010.0,6040.0
176.6521,175.3573,174.4386,5550.0,6010.0,6060.0
176.6567,175.3631,174.4454,5560.0,6010.0,6070.0
176.6613,175.3689,174.4521,5560.0,6020.0,6080.0
176.6659,175.3739,174.4588,5560.0,6020.0,6100.0
176.6705,175.379,174.4654,5570.0,6030.0,6110.0
176.675,175.3844,174.4721,5570.0,6030.0,6130.0
176.6795,175.3898,174.4787,5570.0,6030.0,6140.0
176.684,175.3952,174.4853,5580.0,6040.0,6150.0
176.6884,175.4006,174.4918,5580.0,6040.0,6170.0
176.6929,175.4056,174.4983,5580.0,6040.0,6180.0
176.6975,175.4107,174.5048,5590.0,6050.0,6200.0
176.7019,175.4161,174.5112,5590.0,6050.0,6210.0
176.7064,175.4212,174.5176,5590.0,6060.0,6220.0
176.7109,175.4262,174.524,5600.0,6060.0,6240.0
176.7149,175.4304,174.5293,5710.0,6150.0,6220.0
176.7181,175.434,174.5337,5720.0,6150.0,6230.0
176.7214,175.4378,174.5381,5720.0,6150.0,6240.0
