mhu-ds/dt[cms],stc-ds/dt[cms],eri-ds/dt[cms],bop[date],eop[date],dt[day],dt[sec]
-2310.0,30.0,420.0,2016-01-01,2016-01-01,1,86400
-2310.0,20.0,420.0,2016-01-02,2016-01-02,1,86400
-2310.0,10.0,420.0,2016-01-03,2016-01-03,1,86400
-2310.0,10.0,420.0,2016-01-04,2016-01-04,1,86400
-2310.0,10.0,420.0,2016-01-05,2016-01-05,1,86400
-2310.0,0.0,420.0,2016-01-06,2016-01-06,1,86400
-2310.0,10.0,390.0,2016-01-07,2016-01-07,1,86400
-2310.0,0.0,390.0,2016-01-08,2016-01-08,1,86400
-2310.0,0.0,390.0,2016-01-09,2016-01-09,1,86400
-2310.0,0.0,390.0,2016-01-10,2016-01-10,1,86400
-2310.0,-10.0,390.0,2016-01-11,2016-01-11,1,86400
-2310.0,0.0,390.0,2016-01-12,2016-01-12,1,86400
-2310.0,0.0,390.0,2016-01-13,2016-01-13,1,86400
-2310.0,0.0,390.0,2016-01-14,2016-01-14,1,86400
-2310.0,0.0,360.0,2016-01-15,2016-01-15,1,86400
-2310.0,0.0,360.0,2016-01-16,2016-01-16,1,86400
-2310.0,0.0,360.0,2016-01-17,2016-01-17,1,86400
-2310.0,-10.0,360.0,2016-01-18,2016-01-18,1,86400
-2310.0,0.0,330.0,2016-01-19,2016-01-19,1,86400
-2310.0,10.0,330.0,2016-01-20,2016-01-20,1,86400
-2170.0,-10.0,330.0,2016-01-21,2016-01-21,1,86400
-2170.0,0.0,330.0,2016-01-22,2016-01-22,1,86400
-2170.0,0.0,330.0,2016-01-23,2016-01-23,1,86400
-2170.0,0.0,300.0,2016-01-24,2016-01-24,1,86400
-2170.0,0.0,300.0,2016-01-25,2016-01-25,1,86400
-2170.0,0.0,300.0,2016-01-26,2016-01-26,1,86400
-2170.0,-10.0,300.0,2016-01-27,2016-01-27,1,86400
-2170.0,0.0,300.0,2016-01-28,2016-01-28,1,86400
-2170.0,0.0,300.0,2016-01-29,2016-01-29,1,86400
-2170.0,0.0,300.0,2016-01-30,2016-01-30,1,86400
-2170.0,-10.0,300.0,2016-01-31,2016-01-31,1,86400
1090.0,60.0,860.0,2016-02-01,2016-02-01,1,86400
1090.0,40.0,860.0,2016-02-02,2016-02-02,1,86400
1090.0,40.0,860.0,2016-02-03,2016-02-03,1,86400
1090.0,30.0,860.0,2016-02-04,2016-02-04,1,86400
1090.0,30.0,860.0,2016-02-05,2016-02-05,1,86400
1090.0,30.0,860.0,2016-02-06,2016-02-06,1,86400
1090.0,30.0,830.0,2016-02-07,2016-02-07,1,86400
1090.0,30.0,830.0,2016-02-08,2016-02-08,1,86400
1090.0,20.0,830.0,2016-02-09,2016-02-09,1,86400
1090.0,20.0,830.0,2016-02-10,2016-02-10,1,86400
1090.0,30.0,830.0,2016-02-11,2016-02-11,1,86400
1090.0,30.0,800.0,2016-02-12,2016-02-12,1,86400
1090.0,20.0,830.0,2016-02-13,2016-02-13,1,86400
1090.0,10.0,800.0,2016-02-14,2016-02-14,1,86400
1090.0,20.0,800.0,2016-02-15,2016-02-15,1,86400
1090.0,10.0,800.0,2016-02-16,2016-02-16,1,86400
1090.0,30.0,770.0,2016-02-17,2016-02-17,1,86400
1090.0,30.0,770.0,2016-02-18,2016-02-18,1,86400
1090.0,30.0,770.0,2016-02-19,2016-02-19,1,86400
1090.0,10.0,770.0,2016-02-20,2016-02-20,1,86400
1090.0,10.0,770.0,2016-02-21,2016-02-21,1,86400
1090.0,20.0,740.0,2016-02-22,2016-02-22,1,86400
1090.0,30.0,740.0,2016-02-23,2016-02-23,1,86400
1090.0,30.0,740.0,2016-02-24,2016-02-24,1,86400
1090.0,20.0,740.0,2016-02-25,2016-02-25,1,86400
1090.0,10.0,740.0,2016-02-26,2016-02-26,1,86400
1090.0,30.0,710.0,2016-02-27,2016-02-27,1,86400
1090.0,10.0,740.0,2016-02-28,2016-02-28,1,86400
1090.0,10.0,710.0,2016-02-29,2016-02-29,1,86400
6250.0,150.0,2140.0,2016-03-01,2016-03-01,1,86400
6250.0,130.0,2140.0,2016-03-02,2016-03-02,1,86400
6250.0,110.0,2170.0,2016-03-03,2016-03-03,1,86400
6250.0,100.0,2140.0,2016-03-04,2016-03-04,1,86400
6250.0,90.0,2140.0,2016-03-05,2016-03-05,1,86400
6250.0,100.0,2140.0,2016-03-06,2016-03-06,1,86400
6250.0,80.0,2140.0,2016-03-07,2016-03-07,1,86400
6250.0,80.0,2110.0,2016-03-08,2016-03-08,1,86400
6250.0,70.0,2110.0,2016-03-09,2016-03-09,1,86400
6250.0,80.0,2110.0,2016-03-10,2016-03-10,1,86400
6250.0,80.0,2080.0,2016-03-11,2016-03-11,1,86400
6250.0,70.0,2080.0,2016-03-12,2016-03-12,1,86400
6250.0,70.0,2080.0,2016-03-13,2016-03-13,1,86400
6250.0,70.0,2050.0,2016-03-14,2016-03-14,1,86400
6250.0,70.0,2050.0,2016-03-15,2016-03-15,1,86400
6250.0,60.0,2050.0,2016-03-16,2016-03-16,1,86400
6250.0,70.0,2020.0,2016-03-17,2016-03-17,1,86400
6250.0,70.0,2020.0,2016-03-18,2016-03-18,1,86400
6250.0,80.0,1990.0,2016-03-19,2016-03-19,1,86400
6250.0,70.0,1990.0,2016-03-20,2016-03-20,1,86400
6250.0,60.0,1990.0,2016-03-21,2016-03-21,1,86400
6110.0,70.0,1990.0,2016-03-22,2016-03-22,1,86400
6110.0,70.0,1960.0,2016-03-23,2016-03-23,1,86400
6110.0,70.0,1960.0,2016-03-24,2016-03-24,1,86400
6110.0,70.0,1960.0,2016-03-25,2016-03-25,1,86400
6110.0,70.0,1930.0,2016-03-26,2016-03-26,1,86400
6110.0,60.0,1930.0,2016-03-27,2016-03-27,1,86400
6110.0,70.0,1900.0,2016-03-28,2016-03-28,1,86400
6110.0,70.0,1900.0,2016-03-29,2016-03-29,1,86400
6110.0,60.0,1900.0,2016-03-30,2016-03-30,1,86400
6110.0,70.0,1870.0,2016-03-31,2016-03-31,1,86400
4480.0,40.0,1310.0,2016-04-01,2016-04-01,1,86400
4480.0,50.0,1310.0,2016-04-02,2016-04-02,1,86400
4480.0,50.0,1310.0,2016-04-03,2016-04-03,1,86400
4480.0,40.0,1310.0,2016-04-04,2016-04-04,1,86400
4350.0,50.0,1280.0,2016-04-05,2016-04-05,1,86400
4350.0,50.0,1280.0,2016-04-06,2016-04-06,1,86400
4350.0,50.0,1280.0,2016-04-07,2016-04-07,1,86400
4350.0,40.0,1280.0,2016-04-08,2016-04-08,1,86400
4350.0,50.0,1280.0,2016-04-09,2016-04-09,1,86400
4350.0,50.0,1250.0,2016-04-10,2016-04-10,1,86400
4350.0,40.0,1250.0,2016-04-11,2016-04-11,1,86400
4350.0,40.0,1250.0,2016-04-12,2016-04-12,1,86400
4350.0,50.0,1250.0,2016-04-13,2016-04-13,1,86400
4350.0,40.0,1250.0,2016-04-14,2016-04-14,1,86400
4350.0,40.0,1220.0,2016-04-15,2016-04-15,1,86400
4350.0,40.0,1220.0,2016-04-16,2016-04-16,1,86400
4350.0,50.0,1220.0,2016-04-17,2016-04-17,1,86400
4350.0,50.0,1220.0,2016-04-18,2016-04-18,1,86400
4350.0,40.0,1220.0,2016-04-19,2016-04-19,1,86400
4350.0,40.0,1190.0,2016-04-20,2016-04-20,1,86400
4350.0,50.0,1190.0,2016-04-21,2016-04-21,1,86400
4350.0,40.0,1190.0,2016-04-22,2016-04-22,1,86400
4350.0,40.0,1190.0,2016-04-23,2016-04-23,1,86400
4350.0,50.0,1160.0,2016-04-24,2016-04-24,1,86400
4350.0,40.0,1190.0,2016-04-25,2016-04-25,1,86400
4350.0,40.0,1160.0,2016-04-26,2016-04-26,1,86400
4350.0,50.0,1160.0,2016-04-27,2016-04-27,1,86400
4350.0,50.0,1160.0,2016-04-28,2016-04-28,1,86400
4350.0,40.0,1160.0,2016-04-29,2016-04-29,1,86400
4350.0,40.0,1130.0,2016-04-30,2016-04-30,1,86400
1360.0,-120.0,150.0,2016-05-01,2016-05-01,1,86400
1360.0,-80.0,120.0,2016-05-02,2016-05-02,1,86400
1220.0,-50.0,90.0,2016-05-03,2016-05-03,1,86400
1220.0,-20.0,90.0,2016-05-04,2016-05-04,1,86400
1220.0,-20.0,60.0,2016-05-05,2016-05-05,1,86400
1220.0,-20.0,60.0,2016-05-06,2016-05-06,1,86400
1220.0,-10.0,60.0,2016-05-07,2016-05-07,1,86400
1220.0,0.0,60.0,2016-05-08,2016-05-08,1,86400
1220.0,0.0,60.0,2016-05-09,2016-05-09,1,86400
1220.0,0.0,60.0,2016-05-10,2016-05-10,1,86400
1220.0,0.0,60.0,2016-05-11,2016-05-11,1,86400
1220.0,0.0,60.0,2016-05-12,2016-05-12,1,86400
1220.0,10.0,60.0,2016-05-13,2016-05-13,1,86400
1220.0,10.0,60.0,2016-05-14,2016-05-14,1,86400
1220.0,10.0,60.0,2016-05-15,2016-05-15,1,86400
1220.0,10.0,60.0,2016-05-16,2016-05-16,1,86400
1220.0,10.0,60.0,2016-05-17,2016-05-17,1,86400
1220.0,0.0,60.0,2016-05-18,2016-05-18,1,86400
1220.0,0.0,60.0,2016-05-19,2016-05-19,1,86400
1220.0,10.0,60.0,2016-05-20,2016-05-20,1,86400
1220.0,10.0,60.0,2016-05-21,2016-05-21,1,86400
1220.0,10.0,60.0,2016-05-22,2016-05-22,1,86400
1220.0,10.0,60.0,2016-05-23,2016-05-23,1,86400
1220.0,10.0,60.0,2016-05-24,2016-05-24,1,86400
1220.0,0.0,90.0,2016-05-25,2016-05-25,1,86400
1220.0,0.0,90.0,2016-05-26,2016-05-26,1,86400
1220.0,0.0,90.0,2016-05-27,2016-05-27,1,86400
1220.0,10.0,60.0,2016-05-28,2016-05-28,1,86400
1220.0,10.0,60.0,2016-05-29,2016-05-29,1,86400
1220.0,10.0,60.0,2016-05-30,2016-05-30,1,86400
1220.0,0.0,90.0,2016-05-31,2016-05-31,1,86400
410.0,-30.0,-1010.0,2016-06-01,2016-06-01,1,86400
410.0,-20.0,-1010.0,2016-06-02,2016-06-02,1,86400
410.0,-20.0,-980.0,2016-06-03,2016-06-03,1,86400
410.0,-30.0,-980.0,2016-06-04,2016-06-04,1,86400
410.0,-30.0,-980.0,2016-06-05,2016-06-05,1,86400
410.0,-20.0,-950.0,2016-06-06,2016-06-06,1,86400
410.0,-20.0,-950.0,2016-06-07,2016-06-07,1,86400
410.0,-20.0,-950.0,2016-06-08,2016-06-08,1,86400
410.0,-20.0,-950.0,2016-06-09,2016-06-09,1,86400
410.0,-30.0,-920.0,2016-06-10,2016-06-10,1,86400
410.0,-10.0,-920.0,2016-06-11,2016-06-11,1,86400
410.0,-20.0,-920.0,2016-06-12,2016-06-12,1,86400
410.0,-20.0,-890.0,2016-06-13,2016-06-13,1,86400
410.0,-10.0,-890.0,2016-06-14,2016-06-14,1,86400
410.0,-10.0,-890.0,2016-06-15,2016-06-15,1,86400
410.0,-20.0,-860.0,2016-06-16,2016-06-16,1,86400
410.0,-20.0,-860.0,2016-06-17,2016-06-17,1,86400
410.0,-20.0,-860.0,2016-06-18,2016-06-18,1,86400
410.0,-20.0,-860.0,2016-06-19,2016-06-19,1,86400
270.0,-10.0,-860.0,2016-06-20,2016-06-20,1,86400
270.0,-20.0,-830.0,2016-06-21,2016-06-21,1,86400
270.0,-20.0,-830.0,2016-06-22,2016-06-22,1,86400
270.0,-20.0,-830.0,2016-06-23,2016-06-23,1,86400
270.0,-10.0,-830.0,2016-06-24,2016-06-24,1,86400
270.0,-10.0,-800.0,2016-06-25,2016-06-25,1,86400
270.0,-20.0,-800.0,2016-06-26,2016-06-26,1,86400
270.0,-20.0,-800.0,2016-06-27,2016-06-27,1,86400
270.0,-20.0,-770.0,2016-06-28,2016-06-28,1,86400
270.0,-20.0,-770.0,2016-06-29,2016-06-29,1,86400
270.0,-10.0,-770.0,2016-06-30,2016-06-30,1,86400
-540.0,0.0,-390.0,2016-07-01,2016-07-01,1,86400
-540.0,0.0,-390.0,2016-07-02,2016-07-02,1,86400
-540.0,0.0,-390.0,2016-07-03,2016-07-03,1,86400
-540.0,-20.0,-390.0,2016-07-04,2016-07-04,1,86400
-540.0,0.0,-390.0,2016-07-05,2016-07-05,1,86400
-540.0,-20.0,-360.0,2016-07-06,2016-07-06,1,86400
-540.0,0.0,-390.0,2016-07-07,2016-07-07,1,86400
-540.0,-20.0,-360.0,2016-07-08,2016-07-08,1,86400
-540.0,-20.0,-360.0,2016-07-09,2016-07-09,1,86400
-540.0,0.0,-360.0,2016-07-10,2016-07-10,1,86400
-540.0,0.0,-360.0,2016-07-11,2016-07-11,1,86400
-540.0,-20.0,-360.0,2016-07-12,2016-07-12,1,86400
-540.0,0.0,-360.0,2016-07-13,2016-07-13,1,86400
-540.0,-20.0,-360.0,2016-07-14,2016-07-14,1,86400
-540.0,0.0,-360.0,2016-07-15,2016-07-15,1,86400
-540.0,-20.0,-360.0,2016-07-16,2016-07-16,1,86400
-540.0,0.0,-360.0,2016-07-17,2016-07-17,1,86400
-540.0,-20.0,-330.0,2016-07-18,2016-07-18,1,86400
-540.0,-20.0,-330.0,2016-07-19,2016-07-19,1,86400
-540.0,0.0,-360.0,2016-07-20,2016-07-20,1,86400
-540.0,-20.0,-330.0,2016-07-21,2016-07-21,1,86400
-540.0,0.0,-330.0,2016-07-22,2016-07-22,1,86400
-540.0,-20.0,-330.0,2016-07-23,2016-07-23,1,86400
-540.0,0.0,-330.0,2016-07-24,2016-07-24,1,86400
-540.0,0.0,-330.0,2016-07-25,2016-07-25,1,86400
-540.0,-10.0,-330.0,2016-07-26,2016-07-26,1,86400
-540.0,0.0,-330.0,2016-07-27,2016-07-27,1,86400
-540.0,-20.0,-330.0,2016-07-28,2016-07-28,1,86400
-540.0,0.0,-330.0,2016-07-29,2016-07-29,1,86400
-540.0,-20.0,-300.0,2016-07-30,2016-07-30,1,86400
-540.0,0.0,-330.0,2016-07-31,2016-07-31,1,86400
-1490.0,-20.0,-680.0,2016-08-01,2016-08-01,1,86400
-1490.0,-30.0,-650.0,2016-08-02,2016-08-02,1,86400
-1490.0,-20.0,-650.0,2016-08-03,2016-08-03,1,86400
-1490.0,-20.0,-650.0,2016-08-04,2016-08-04,1,86400
-1490.0,-20.0,-650.0,2016-08-05,2016-08-05,1,86400
-1490.0,-20.0,-650.0,2016-08-06,2016-08-06,1,86400
-1490.0,-20.0,-650.0,2016-08-07,2016-08-07,1,86400
-1490.0,-20.0,-650.0,2016-08-08,2016-08-08,1,86400
-1490.0,-20.0,-650.0,2016-08-09,2016-08-09,1,86400
-1490.0,-20.0,-620.0,2016-08-10,2016-08-10,1,86400
-1490.0,-20.0,-620.0,2016-08-11,2016-08-11,1,86400
-1490.0,-20.0,-620.0,2016-08-12,2016-08-12,1,86400
-1490.0,-10.0,-620.0,2016-08-13,2016-08-13,1,86400
-1490.0,-20.0,-620.0,2016-08-14,2016-08-14,1,86400
-1490.0,-20.0,-620.0,2016-08-15,2016-08-15,1,86400
-1490.0,-30.0,-590.0,2016-08-16,2016-08-16,1,86400
-1490.0,-10.0,-620.0,2016-08-17,2016-08-17,1,86400
-1490.0,-20.0,-620.0,2016-08-18,2016-08-18,1,86400
-1490.0,-20.0,-590.0,2016-08-19,2016-08-19,1,86400
-1490.0,-20.0,-590.0,2016-08-20,2016-08-20,1,86400
-1490.0,-20.0,-590.0,2016-08-21,2016-08-21,1,86400
-1490.0,-20.0,-590.0,2016-08-22,2016-08-22,1,86400
-1490.0,-20.0,-590.0,2016-08-23,2016-08-23,1,86400
-1490.0,-20.0,-570.0,2016-08-24,2016-08-24,1,86400
-1490.0,-10.0,-590.0,2016-08-25,2016-08-25,1,86400
-1490.0,-20.0,-570.0,2016-08-26,2016-08-26,1,86400
-1490.0,-20.0,-570.0,2016-08-27,2016-08-27,1,86400
-1490.0,-20.0,-570.0,2016-08-28,2016-08-28,1,86400
-1490.0,-10.0,-570.0,2016-08-29,2016-08-29,1,86400
-1490.0,-10.0,-570.0,2016-08-30,2016-08-30,1,86400
-1490.0,-20.0,-570.0,2016-08-31,2016-08-31,1,86400
-3800.0,-80.0,-590.0,2016-09-01,2016-09-01,1,86400
-3800.0,-60.0,-620.0,2016-09-02,2016-09-02,1,86400
-3800.0,-50.0,-620.0,2016-09-03,2016-09-03,1,86400
