mhu-ds/dt[cms],stc-ds/dt[cms],eri-ds/dt[cms],bop[date],eop[date],dt[day],dt[sec]
-2280.0,0.0,360.0,2016-01-01,2016-01-31,31,2678400
1120.0,30.0,790.0,2016-02-01,2016-02-29,29,2505600
6180.0,80.0,2040.0,2016-03-01,2016-03-31,31,2678400
4350.0,40.0,1220.0,2016-04-01,2016-04-30,30,2592000
1230.0,-10.0,80.0,2016-05-01,2016-05-31,31,2678400
360.0,-20.0,-890.0,2016-06-01,2016-06-30,30,2592000
-530.0,-10.0,-350.0,2016-07-01,2016-07-31,31,2678400
-1580.0,-20.0,-610.0,2016-08-01,2016-08-31,31,2678400
-3690.0,-30.0,-630.0,2016-09-01,2016-09-30,30,2592000
-3680.0,-40.0,-1040.0,2016-10-01,2016-10-31,31,2678400
-3620.0,-30.0,-860.0,2016-11-01,2016-11-30,30,2592000
-3540.0,10.0,460.0,2016-12-01,2016-12-31,31,2678400
450.0,40.0,1690.0,2017-01-01,2017-01-31,31,2678400
2140.0,0.0,260.0,2017-02-01,2017-02-28,28,2419200
2100.0,30.0,870.0,2017-03-01,2017-03-31,31,2678400
8120.0,50.0,1400.0,2017-04-01,2017-04-30,30,2592000
4830.0,50.0,1610.0,2017-05-01,2017-05-31,31,2678400
5050.0,20.0,-470.0,2017-06-01,2017-06-30,30,2592000
