mhu-mlv[cms],stc-mlv[cms],eri-mlv[cms],scr-lev[m],det-lev[m],nia-lev[m]
176.5932,175.185,174.2056,5190.0,5550.0,5460.0
176.5804,175.187,174.2156,5160.0,5540.0,5480.0
176.5677,175.1862,174.2246,5140.0,5520.0,5500.0
176.5547,175.1851,174.2331,5110.0,5500.0,5510.0
176.5511,175.1948,174.2471,5180.0,5610.0,5600.0
176.5567,175.2106,174.2669,5180.0,5620.0,5640.0
176.5623,175.2226,174.2857,5170.0,5620.0,5680.0
176.5683,175.234,174.3049,5180.0,5620.0,5720.0
176.5899,175.2761,174.3436,5510.0,5940.0,5860.0
176.6243,175.3247,174.3971,5530.0,5990.0,5970.0
176.6587,175.3658,174.4486,5560.0,6020.0,6080.0
176.6949,175.4079,174.5014,5580.0,6050.0,6190.0
176.726,175.443,174.5445,5720.0,6160.0,6250.0
176.7502,175.4692,174.5765,5740.0,6180.0,6320.0
176.7742,175.4952,174.6074,5760.0,6200.0,6390.0
176.7982,175.5209,174.6372,5780.0,6220.0,6450.0
176.8132,175.5144,174.6521,5820.0,6160.0,6620.0
176.82,175.5089,174.654,5840.0,6140.0,6630.0
176.8268,175.5131,174.6556,5850.0,6150.0,6630.0
176.834,175.5171,174.6574,5860.0,6160.0,6640.0
176.8388,175.5111,174.645,5880.0,6170.0,6550.0
176.8408,175.4984,174.621,5900.0,6180.0,6500.0
176.8427,175.4877,174.5988,5910.0,6190.0,6450.0
176.8444,175.4775,174.5779,5930.0,6200.0,6410.0
176.8436,175.471,174.5634,5930.0,6210.0,6210.0
176.8404,175.465,174.5541,5930.0,6210.0,6190.0
176.8372,175.4589,174.5453,5930.0,6210.0,6170.0
176.834,175.4526,174.5364,5930.0,6210.0,6150.0
176.828,175.4434,174.523,5930.0,6210.0,6210.0
176.8196,175.432,174.5067,5930.0,6200.0,6170.0
176.8112,175.4198,174.4912,5920.0,6200.0,6140.0
176.8024,175.409,174.4755,5920.0,6190.0,6110.0
176.7869,175.3869,174.4595,5910.0,6150.0,6130.0
176.7663,175.367,174.4435,5890.0,6120.0,6090.0
176.7459,175.3494,174.4277,5860.0,6090.0,6060.0
176.7255,175.3331,174.4121,5840.0,6070.0,6030.0
176.7051,175.3056,174.3901,5830.0,6020.0,6010.0
176.6847,175.2795,174.363,5810.0,5990.0,5950.0
176.6643,175.2569,174.3367,5800.0,5970.0,5900.0
176.6427,175.2342,174.3096,5780.0,5950.0,5840.0
176.6211,175.2117,174.2841,5760.0,5930.0,5850.0
176.6007,175.1916,174.2617,5730.0,5910.0,5800.0
176.5803,175.1715,174.24,5710.0,5890.0,5760.0
176.5603,175.1522,174.219,5690.0,5870.0,5710.0
176.5403,175.1694,174.2163,5550.0,5850.0,5570.0
176.5205,175.1797,174.2294,5500.0,5850.0,5590.0
176.5009,175.1773,174.2413,5470.0,5820.0,5620.0
176.4801,175.1746,174.2524,5430.0,5790.0,5640.0
176.4709,175.183,174.2828,4950.0,5380.0,5620.0
176.4733,175.205,174.3282,4930.0,5360.0,5710.0
176.4757,175.2283,174.3705,4910.0,5340.0,5800.0
176.4783,175.2509,174.4128,4890.0,5320.0,5890.0
176.4855,175.2499,174.4366,4990.0,5380.0,5990.0
176.4967,175.2497,174.4428,5010.0,5360.0,6010.0
176.5079,175.2567,174.4487,5030.0,5370.0,6020.0
176.5186,175.2649,174.4547,5040.0,5390.0,6030.0
176.5302,175.2865,174.47,5380.0,5680.0,6120.0
176.5422,175.3066,174.493,5380.0,5700.0,6170.0
176.5542,175.3238,174.515,5390.0,5710.0,6220.0
176.567,175.3409,174.5374,5400.0,5720.0,6260.0
176.5976,175.35,174.5682,5560.0,5760.0,6300.0
176.6426,175.3793,174.6042,5620.0,5780.0,6380.0
176.6875,175.4165,174.6393,5670.0,5830.0,6450.0
176.7321,175.4533,174.6738,5720.0,5880.0,6530.0
176.7673,175.4733,174.7135,5770.0,5850.0,6760.0
176.7941,175.5002,174.7559,5800.0,5840.0,6850.0
176.8207,175.5326,174.7963,5820.0,5860.0,6940.0
176.8488,175.5668,174.8376,5840.0,5880.0,7030.0
176.878,175.5986,174.8491,5860.0,5980.0,7000.0
176.9064,175.6081,174.8353,5910.0,6050.0,6970.0
176.9344,175.6143,174.8238,5970.0,6110.0,6940.0
176.962,175.6203,174.8142,6020.0,6150.0,6920.0
