mhu-ds/dt[cms],stc-ds/dt[cms],eri-ds/dt[cms],bop[date],eop[date],dt[day],dt[sec]
-2310.0,10.0,410.0,2016-01-01,2016-01-08,8,691200
-2330.0,-0.0,380.0,2016-01-09,2016-01-15,7,604800
-2260.0,-0.0,340.0,2016-01-16,2016-01-23,8,691200
-2170.0,-0.0,300.0,2016-01-24,2016-01-31,8,691200
1090.0,40.0,850.0,2016-02-01,2016-02-07,7,604800
1090.0,20.0,820.0,2016-02-08,2016-02-14,7,604800
1090.0,20.0,780.0,2016-02-15,2016-02-21,7,604800
1090.0,20.0,740.0,2016-02-22,2016-02-29,8,691200
6250.0,110.0,2140.0,2016-03-01,2016-03-08,8,691200
6210.0,70.0,2090.0,2016-03-09,2016-03-15,7,604800
6220.0,70.0,2000.0,2016-03-16,2016-03-23,8,691200
6110.0,70.0,1920.0,2016-03-24,2016-03-31,8,691200
4430.0,50.0,1290.0,2016-04-01,2016-04-08,8,691200
4350.0,40.0,1250.0,2016-04-09,2016-04-15,7,604800
4350.0,40.0,1200.0,2016-04-16,2016-04-23,8,691200
4350.0,40.0,1160.0,2016-04-24,2016-04-30,7,604800
1260.0,-40.0,90.0,2016-05-01,2016-05-08,8,691200
1240.0,10.0,70.0,2016-05-09,2016-05-15,7,604800
1220.0,10.0,60.0,2016-05-16,2016-05-23,8,691200
1220.0,10.0,70.0,2016-05-24,2016-05-31,8,691200
410.0,-20.0,-980.0,2016-06-01,2016-06-08,8,691200
310.0,-20.0,-920.0,2016-06-09,2016-06-15,7,604800
340.0,-20.0,-850.0,2016-06-16,2016-06-23,8,691200
310.0,-20.0,-800.0,2016-06-24,2016-06-30,7,604800
-540.0,-10.0,-380.0,2016-07-01,2016-07-08,8,691200
-620.0,-10.0,-360.0,2016-07-09,2016-07-15,7,604800
-540.0,-10.0,-340.0,2016-07-16,2016-07-23,8,691200
-540.0,-10.0,-330.0,2016-07-24,2016-07-31,8,691200
-1490.0,-20.0,-660.0,2016-08-01,2016-08-08,8,691200
-1550.0,-20.0,-630.0,2016-08-09,2016-08-15,7,604800
-1490.0,-20.0,-600.0,2016-08-16,2016-08-23,8,691200
-1490.0,-20.0,-570.0,2016-08-24,2016-08-31,8,691200
-3750.0,-40.0,-630.0,2016-09-01,2016-09-08,8,691200
-3730.0,-30.0,-630.0,2016-09-09,2016-09-15,7,604800
-3670.0,-30.0,-620.0,2016-09-16,2016-09-23,8,691200
-3730.0,-30.0,-610.0,2016-09-24,2016-09-30,7,604800
-3670.0,-60.0,-1090.0,2016-10-01,2016-10-08,8,691200
-3730.0,-40.0,-1060.0,2016-10-09,2016-10-15,7,604800
-3670.0,-40.0,-1030.0,2016-10-16,2016-10-23,8,691200
-3670.0,-40.0,-990.0,2016-10-24,2016-10-31,8,691200
-3670.0,-30.0,-900.0,2016-11-01,2016-11-08,8,691200
-3730.0,-30.0,-880.0,2016-11-09,2016-11-15,7,604800
-3670.0,-30.0,-850.0,2016-11-16,2016-11-23,8,691200
-3570.0,-30.0,-820.0,2016-11-24,2016-11-30,7,604800
-3630.0,60.0,520.0,2016-12-01,2016-12-08,8,691200
-3570.0,0.0,500.0,2016-12-09,2016-12-15,7,604800
-3530.0,-10.0,440.0,2016-12-16,2016-12-23,8,691200
-3530.0,-10.0,390.0,2016-12-24,2016-12-31,8,691200
410.0,40.0,1860.0,2017-01-01,2017-01-08,8,691200
470.0,40.0,1730.0,2017-01-09,2017-01-15,7,604800
410.0,40.0,1620.0,2017-01-16,2017-01-23,8,691200
510.0,40.0,1520.0,2017-01-24,2017-01-31,8,691200
2170.0,-30.0,280.0,2017-02-01,2017-02-07,7,604800
2170.0,10.0,250.0,2017-02-08,2017-02-14,7,604800
2150.0,10.0,250.0,2017-02-15,2017-02-21,7,604800
2020.0,20.0,250.0,2017-02-22,2017-02-28,7,604800
2170.0,50.0,920.0,2017-03-01,2017-03-08,8,691200
2170.0,30.0,900.0,2017-03-09,2017-03-15,7,604800
2170.0,30.0,850.0,2017-03-16,2017-03-23,8,691200
2170.0,30.0,810.0,2017-03-24,2017-03-31,8,691200
8190.0,20.0,1460.0,2017-04-01,2017-04-08,8,691200
8130.0,60.0,1400.0,2017-04-09,2017-04-15,7,604800
8120.0,60.0,1380.0,2017-04-16,2017-04-23,8,691200
8080.0,60.0,1360.0,2017-04-24,2017-04-30,7,604800
4890.0,20.0,1740.0,2017-05-01,2017-05-08,8,691200
4810.0,60.0,1640.0,2017-05-09,2017-05-15,7,604800
4810.0,60.0,1570.0,2017-05-16,2017-05-23,8,691200
4760.0,50.0,1490.0,2017-05-24,2017-05-31,8,691200
5160.0,40.0,-600.0,2017-06-01,2017-06-08,8,691200
5120.0,10.0,-500.0,2017-06-09,2017-06-15,7,604800
5030.0,10.0,-420.0,2017-06-16,2017-06-23,8,691200
4970.0,10.0,-340.0,2017-06-24,2017-06-30,7,604800
