bop[date],eop[date],dt[day],dt[sec],mhu-mlv[m],stc-mlv[m],eri-mlv[m],scr-flw[cms],det-flw[cms],nia-flw[cms],mhu-dst[cms],stc-dst[cms],eri-dst[cms]
2016-01-01,2016-01-01,1,86400,176.5992,175.1813,174.2007,5204.0,5552.0,5448.0,-2310.0,32.0,416.0
2016-01-02,2016-01-02,1,86400,176.5975,175.1834,174.2021,5199.0,5556.0,5451.0,-2310.0,23.0,416.0
2016-01-03,2016-01-03,1,86400,176.5957,175.1849,174.2035,5194.0,5558.0,5454.0,-2310.0,15.0,416.0
2016-01-04,2016-01-04,1,86400,176.594,175.1859,174.2049,5189.0,5559.0,5457.0,-2310.0,10.0,416.0
2016-01-05,2016-01-05,1,86400,176.5924,175.1865,174.2063,5185.0,5558.0,5460.0,-2310.0,6.0,416.0
2016-01-06,2016-01-06,1,86400,176.5906,175.187,174.2077,5182.0,5557.0,5463.0,-2310.0,5.0,416.0
2016-01-07,2016-01-07,1,86400,176.5889,175.1873,174.2091,5178.0,5555.0,5466.0,-2310.0,3.0,416.0
2016-01-08,2016-01-08,1,86400,176.5872,175.1875,174.2105,5175.0,5553.0,5469.0,-2310.0,3.0,416.0
2016-01-09,2016-01-09,1,86400,176.5856,175.1876,174.2119,5171.0,5550.0,5471.0,-2310.0,1.0,387.0
2016-01-10,2016-01-10,1,86400,176.5839,175.1877,174.2131,5168.0,5548.0,5474.0,-2310.0,0.0,387.0
2016-01-11,2016-01-11,1,86400,176.5821,175.1877,174.2144,5164.0,5545.0,5477.0,-2310.0,-1.0,387.0
2016-01-12,2016-01-12,1,86400,176.5804,175.1875,174.2157,5161.0,5542.0,5479.0,-2310.0,-1.0,387.0
2016-01-13,2016-01-13,1,86400,176.5788,175.1875,174.217,5158.0,5539.0,5482.0,-2310.0,-1.0,387.0
2016-01-14,2016-01-14,1,86400,176.577,175.1874,174.2183,5155.0,5536.0,5485.0,-2310.0,-1.0,357.0
2016-01-15,2016-01-15,1,86400,176.5753,175.1873,174.2195,5152.0,5533.0,5487.0,-2310.0,-1.0,357.0
2016-01-16,2016-01-16,1,86400,176.5736,175.1871,174.2207,5148.0,5530.0,5489.0,-2310.0,-3.0,357.0
2016-01-17,2016-01-17,1,86400,176.572,175.1869,174.2219,5145.0,5527.0,5492.0,-2310.0,-3.0,357.0
2016-01-18,2016-01-18,1,86400,176.5703,175.1868,174.2231,5142.0,5524.0,5494.0,-2310.0,-1.0,357.0
2016-01-19,2016-01-19,1,86400,176.5685,175.1866,174.2243,5139.0,5521.0,5497.0,-2310.0,-3.0,357.0
2016-01-20,2016-01-20,1,86400,176.5668,175.1864,174.2254,5136.0,5517.0,5499.0,-2310.0,-3.0,327.0
2016-01-21,2016-01-21,1,86400,176.5652,175.1862,174.2266,5133.0,5514.0,5501.0,-2310.0,-3.0,327.0
2016-01-22,2016-01-22,1,86400,176.5634,175.186,174.2276,5129.0,5511.0,5504.0,-2310.0,-3.0,327.0
2016-01-23,2016-01-23,1,86400,176.5617,175.1858,174.2287,5126.0,5508.0,5506.0,-2310.0,-3.0,327.0
2016-01-24,2016-01-24,1,86400,176.56,175.1856,174.2298,5123.0,5505.0,5508.0,-2310.0,-3.0,327.0
2016-01-25,2016-01-25,1,86400,176.5584,175.1854,174.231,5120.0,5502.0,5511.0,-2310.0,-3.0,327.0
2016-01-26,2016-01-26,1,86400,176.5567,175.1852,174.232,5117.0,5500.0,5513.0,-2310.0,-3.0,297.0
2016-01-27,2016-01-27,1,86400,176.5549,175.185,174.233,5114.0,5497.0,5515.0,-2310.0,-3.0,297.0
2016-01-28,2016-01-28,1,86400,176.5532,175.1848,174.234,5111.0,5494.0,5517.0,-2310.0,-3.0,297.0
2016-01-29,2016-01-29,1,86400,176.5516,175.1846,174.235,5108.0,5491.0,5519.0,-2310.0,-4.0,297.0
2016-01-30,2016-01-30,1,86400,176.5498,175.1842,174.236,5104.0,5488.0,5521.0,-2310.0,-4.0,297.0
2016-01-31,2016-01-31,1,86400,176.5481,175.1839,174.237,5101.0,5485.0,5523.0,-2310.0,-4.0,268.0
2016-02-01,2016-02-01,1,86400,176.5477,175.1859,174.2388,5184.0,5601.0,5583.0,1087.0,54.0,863.0
2016-02-02,2016-02-02,1,86400,176.5485,175.1897,174.2417,5181.0,5607.0,5589.0,1087.0,44.0,863.0
2016-02-03,2016-02-03,1,86400,176.5493,175.1928,174.2447,5180.0,5612.0,5595.0,1087.0,37.0,863.0
2016-02-04,2016-02-04,1,86400,176.5501,175.1956,174.2475,5178.0,5615.0,5601.0,1087.0,34.0,863.0
2016-02-05,2016-02-05,1,86400,176.5509,175.1981,174.2505,5177.0,5617.0,5607.0,1087.0,31.0,863.0
2016-02-06,2016-02-06,1,86400,176.5517,175.2004,174.2533,5177.0,5619.0,5613.0,1087.0,28.0,833.0
2016-02-07,2016-02-07,1,86400,176.5525,175.2025,174.2561,5176.0,5620.0,5619.0,1087.0,26.0,833.0
2016-02-08,2016-02-08,1,86400,176.5533,175.2044,174.2589,5176.0,5621.0,5625.0,1087.0,24.0,833.0
2016-02-09,2016-02-09,1,86400,176.5541,175.2063,174.2617,5175.0,5621.0,5630.0,1087.0,24.0,833.0
2016-02-10,2016-02-10,1,86400,176.5549,175.2083,174.2645,5175.0,5622.0,5636.0,1087.0,24.0,833.0
2016-02-11,2016-02-11,1,86400,176.5557,175.2101,174.2673,5175.0,5622.0,5642.0,1087.0,23.0,833.0
2016-02-12,2016-02-12,1,86400,176.5565,175.2119,174.2701,5174.0,5622.0,5648.0,1087.0,22.0,803.0
2016-02-13,2016-02-13,1,86400,176.5573,175.2136,174.2728,5174.0,5622.0,5653.0,1087.0,22.0,803.0
2016-02-14,2016-02-14,1,86400,176.5581,175.2153,174.2755,5174.0,5622.0,5659.0,1087.0,22.0,803.0
2016-02-15,2016-02-15,1,86400,176.5589,175.2169,174.2782,5174.0,5622.0,5664.0,1087.0,22.0,803.0
2016-02-16,2016-02-16,1,86400,176.5597,175.2186,174.2808,5174.0,5622.0,5670.0,1087.0,22.0,803.0
2016-02-17,2016-02-17,1,86400,176.5605,175.2204,174.2835,5174.0,5622.0,5675.0,1087.0,22.0,773.0
2016-02-18,2016-02-18,1,86400,176.5613,175.2221,174.2861,5174.0,5622.0,5681.0,1087.0,22.0,773.0
2016-02-19,2016-02-19,1,86400,176.5621,175.2237,174.2887,5173.0,5622.0,5686.0,1087.0,21.0,773.0
2016-02-20,2016-02-20,1,86400,176.5629,175.2253,174.2913,5173.0,5622.0,5692.0,1087.0,21.0,773.0
2016-02-21,2016-02-21,1,86400,176.5637,175.2269,174.2939,5173.0,5622.0,5697.0,1087.0,21.0,773.0
2016-02-22,2016-02-22,1,86400,176.5645,175.2285,174.2964,5173.0,5622.0,5702.0,1087.0,21.0,744.0
2016-02-23,2016-02-23,1,86400,176.5653,175.2301,174.2989,5173.0,5622.0,5707.0,1087.0,21.0,744.0
2016-02-24,2016-02-24,1,86400,176.5661,175.2317,174.3014,5173.0,5622.0,5713.0,1087.0,21.0,744.0
2016-02-25,2016-02-25,1,86400,176.5669,175.2333,174.3039,5173.0,5622.0,5718.0,1087.0,21.0,744.0
2016-02-26,2016-02-26,1,86400,176.5677,175.2349,174.3065,5173.0,5622.0,5723.0,1087.0,21.0,744.0
2016-02-27,2016-02-27,1,86400,176.5685,175.2365,174.309,5173.0,5622.0,5728.0,1087.0,21.0,744.0
2016-02-28,2016-02-28,1,86400,176.5693,175.2381,174.3114,5173.0,5622.0,5733.0,1087.0,21.0,714.0
2016-02-29,2016-02-29,1,86400,176.5701,175.2397,174.3138,5173.0,5622.0,5738.0,1087.0,21.0,714.0
