bop[date],eop[date],dt[day],dt[sec],mhu-mlv[m],stc-mlv[m],eri-mlv[m],scr-flw[cms],det-flw[cms],nia-flw[cms],mhu-dst[cms],stc-dst[cms],eri-dst[cms]
2016-01-01,2016-01-31,31,2678400,176.574,175.1863,174.2201,5150.0,5528.0,5488.0,-2279.0,2.0,360.0
2016-02-01,2016-02-29,29,2505600,176.56,175.2164,174.2775,5177.0,5621.0,5663.0,1125.0,25.0,797.0
2016-03-01,2016-03-31,31,2678400,176.6429,175.345,174.424,5547.0,5999.0,6025.0,6185.0,78.0,2038.0
2016-04-01,2016-04-30,30,2592000,176.7618,175.4819,174.5909,5753.0,6189.0,6351.0,4384.0,45.0,1225.0
2016-05-01,2016-05-31,31,2678400,176.8239,175.5142,174.6555,5847.0,6153.0,6631.0,1227.0,-6.0,81.0
2016-06-01,2016-06-30,30,2592000,176.8419,175.495,174.6126,5905.0,6185.0,6482.0,362.0,-19.0,-889.0
2016-07-01,2016-07-31,31,2678400,176.8399,175.4632,174.5508,5935.0,6215.0,6180.0,-526.0,-9.0,-351.0
2016-08-01,2016-08-31,31,2678400,176.8159,175.4277,174.5003,5924.0,6204.0,6158.0,-1578.0,-20.0,-614.0
2016-09-01,2016-09-30,30,2592000,176.7569,175.3605,174.4374,5875.0,6108.0,6081.0,-3678.0,-34.0,-626.0
2016-10-01,2016-10-31,31,2678400,176.6742,175.2697,174.3507,5802.0,5985.0,5928.0,-3704.0,-43.0,-1043.0
2016-11-01,2016-11-30,30,2592000,176.5922,175.1832,174.253,5727.0,5901.0,5783.0,-3623.0,-34.0,-864.0
2016-12-01,2016-12-31,31,2678400,176.5117,175.1761,174.236,5490.0,5828.0,5606.0,-3528.0,12.0,463.0
2017-01-01,2017-01-31,31,2678400,176.4768,175.2188,174.3504,4922.0,5354.0,5758.0,478.0,38.0,1688.0
2017-02-01,2017-02-28,28,2419200,176.5046,175.2571,174.4471,5021.0,5379.0,6017.0,2135.0,3.0,261.0
2017-03-01,2017-03-31,31,2678400,176.5506,175.3163,174.5058,5389.0,5706.0,6198.0,2104.0,33.0,872.0
2017-04-01,2017-04-30,30,2592000,176.6652,175.4003,174.6219,5645.0,5812.0,6418.0,8184.0,52.0,1401.0
2017-05-01,2017-05-31,31,2678400,176.8102,175.5206,174.778,5811.0,5864.0,6897.0,4782.0,47.0,1609.0
2017-06-01,2017-06-30,30,2592000,176.9204,175.6114,174.8324,5939.0,6072.0,6960.0,5050.0,17.0,-470.0
