KIND:flw
UNITS:cms
INTERVAL:qm
LOCATION:nia
# file created: 2018-12-18 13:00:12
#YYYY-MM-QQ,      VAL
2016-01-Q1,   5460.00
2016-01-Q2,   5480.00
2016-01-Q3,   5500.00
2016-01-Q4,   5510.00
2016-02-Q1,   5600.00
2016-02-Q2,   5640.00
2016-02-Q3,   5680.00
2016-02-Q4,   5720.00
2016-03-Q1,   5860.00
2016-03-Q2,   5970.00
2016-03-Q3,   6070.00
2016-03-Q4,   6190.00
2016-04-Q1,   6250.00
2016-04-Q2,   6320.00
2016-04-Q3,   6380.00
2016-04-Q4,   6450.00
2016-05-Q1,   6620.00
2016-05-Q2,   6620.00
2016-05-Q3,   6630.00
2016-05-Q4,   6630.00
2016-06-Q1,   6550.00
2016-06-Q2,   6500.00
2016-06-Q3,   6460.00
2016-06-Q4,   6410.00
2016-07-Q1,   6210.00
2016-07-Q2,   6190.00
2016-07-Q3,   6170.00
2016-07-Q4,   6150.00
2016-08-Q1,   6210.00
2016-08-Q2,   6180.00
2016-08-Q3,   6140.00
2016-08-Q4,   6110.00
2016-09-Q1,   6130.00
2016-09-Q2,   6100.00
2016-09-Q3,   6060.00
2016-09-Q4,   6030.00
2016-10-Q1,   6010.00
2016-10-Q2,   5960.00
2016-10-Q3,   5900.00
2016-10-Q4,   5840.00
2016-11-Q1,   5850.00
2016-11-Q2,   5800.00
2016-11-Q3,   5760.00
2016-11-Q4,   5710.00
2016-12-Q1,   5560.00
2016-12-Q2,   5590.00
2016-12-Q3,   5620.00
2016-12-Q4,   5640.00
2017-01-Q1,   5620.00
2017-01-Q2,   5710.00
2017-01-Q3,   5800.00
2017-01-Q4,   5890.00
2017-02-Q1,   6000.00
2017-02-Q2,   6010.00
2017-02-Q3,   6030.00
2017-02-Q4,   6050.00
2017-03-Q1,   6140.00
2017-03-Q2,   6180.00
2017-03-Q3,   6230.00
2017-03-Q4,   6280.00
2017-04-Q1,   6320.00
2017-04-Q2,   6390.00
2017-04-Q3,   6470.00
2017-04-Q4,   6540.00
2017-05-Q1,   6770.00
2017-05-Q2,   6860.00
2017-05-Q3,   6950.00
2017-05-Q4,   7040.00
2017-06-Q1,   7010.00
2017-06-Q2,   6980.00
2017-06-Q3,   6950.00
2017-06-Q4,   6930.00
