KIND:flw
UNITS:cms
INTERVAL:qm
LOCATION:scr
# file created: 2018-12-18 13:00:12
#YYYY-MM-QQ,      VAL
2016-01-Q1,   5190.00
2016-01-Q2,   5160.00
2016-01-Q3,   5140.00
2016-01-Q4,   5120.00
2016-02-Q1,   5190.00
2016-02-Q2,   5180.00
2016-02-Q3,   5170.00
2016-02-Q4,   5170.00
2016-03-Q1,   5510.00
2016-03-Q2,   5530.00
2016-03-Q3,   5560.00
2016-03-Q4,   5580.00
2016-04-Q1,   5720.00
2016-04-Q2,   5740.00
2016-04-Q3,   5760.00
2016-04-Q4,   5790.00
2016-05-Q1,   5830.00
2016-05-Q2,   5850.00
2016-05-Q3,   5860.00
2016-05-Q4,   5870.00
2016-06-Q1,   5890.00
2016-06-Q2,   5910.00
2016-06-Q3,   5920.00
2016-06-Q4,   5930.00
2016-07-Q1,   5940.00
2016-07-Q2,   5930.00
2016-07-Q3,   5930.00
2016-07-Q4,   5930.00
2016-08-Q1,   5930.00
2016-08-Q2,   5920.00
2016-08-Q3,   5920.00
2016-08-Q4,   5920.00
2016-09-Q1,   5910.00
2016-09-Q2,   5890.00
2016-09-Q3,   5860.00
2016-09-Q4,   5840.00
2016-10-Q1,   5830.00
2016-10-Q2,   5810.00
2016-10-Q3,   5800.00
2016-10-Q4,   5780.00
2016-11-Q1,   5760.00
2016-11-Q2,   5740.00
2016-11-Q3,   5720.00
2016-11-Q4,   5700.00
2016-12-Q1,   5560.00
2016-12-Q2,   5510.00
2016-12-Q3,   5480.00
2016-12-Q4,   5440.00
2017-01-Q1,   4960.00
2017-01-Q2,   4940.00
2017-01-Q3,   4930.00
2017-01-Q4,   4910.00
2017-02-Q1,   5010.00
2017-02-Q2,   5030.00
2017-02-Q3,   5050.00
2017-02-Q4,   5060.00
2017-03-Q1,   5400.00
2017-03-Q2,   5400.00
2017-03-Q3,   5410.00
2017-03-Q4,   5410.00
2017-04-Q1,   5580.00
2017-04-Q2,   5640.00
2017-04-Q3,   5690.00
2017-04-Q4,   5740.00
2017-05-Q1,   5790.00
2017-05-Q2,   5810.00
2017-05-Q3,   5830.00
2017-05-Q4,   5850.00
2017-06-Q1,   5880.00
2017-06-Q2,   5930.00
2017-06-Q3,   5980.00
2017-06-Q4,   6030.00
