KIND:flw
UNITS:cms
INTERVAL:qm
LOCATION:det
# file created: 2018-12-18 13:00:12
#YYYY-MM-QQ,      VAL
2016-01-Q1,   5560.00
2016-01-Q2,   5540.00
2016-01-Q3,   5520.00
2016-01-Q4,   5500.00
2016-02-Q1,   5620.00
2016-02-Q2,   5630.00
2016-02-Q3,   5620.00
2016-02-Q4,   5620.00
2016-03-Q1,   5940.00
2016-03-Q2,   5990.00
2016-03-Q3,   6020.00
2016-03-Q4,   6050.00
2016-04-Q1,   6160.00
2016-04-Q2,   6180.00
2016-04-Q3,   6200.00
2016-04-Q4,   6220.00
2016-05-Q1,   6160.00
2016-05-Q2,   6140.00
2016-05-Q3,   6150.00
2016-05-Q4,   6160.00
2016-06-Q1,   6170.00
2016-06-Q2,   6180.00
2016-06-Q3,   6200.00
2016-06-Q4,   6210.00
2016-07-Q1,   6220.00
2016-07-Q2,   6210.00
2016-07-Q3,   6210.00
2016-07-Q4,   6200.00
2016-08-Q1,   6210.00
2016-08-Q2,   6200.00
2016-08-Q3,   6200.00
2016-08-Q4,   6190.00
2016-09-Q1,   6150.00
2016-09-Q2,   6120.00
2016-09-Q3,   6090.00
2016-09-Q4,   6070.00
2016-10-Q1,   6020.00
2016-10-Q2,   5990.00
2016-10-Q3,   5980.00
2016-10-Q4,   5960.00
2016-11-Q1,   5940.00
2016-11-Q2,   5920.00
2016-11-Q3,   5900.00
2016-11-Q4,   5880.00
2016-12-Q1,   5860.00
2016-12-Q2,   5860.00
2016-12-Q3,   5830.00
2016-12-Q4,   5790.00
2017-01-Q1,   5390.00
2017-01-Q2,   5370.00
2017-01-Q3,   5360.00
2017-01-Q4,   5340.00
2017-02-Q1,   5400.00
2017-02-Q2,   5380.00
2017-02-Q3,   5390.00
2017-02-Q4,   5410.00
2017-03-Q1,   5700.00
2017-03-Q2,   5720.00
2017-03-Q3,   5730.00
2017-03-Q4,   5740.00
2017-04-Q1,   5780.00
2017-04-Q2,   5800.00
2017-04-Q3,   5850.00
2017-04-Q4,   5900.00
2017-05-Q1,   5870.00
2017-05-Q2,   5860.00
2017-05-Q3,   5870.00
2017-05-Q4,   5900.00
2017-06-Q1,   5990.00
2017-06-Q2,   6070.00
2017-06-Q3,   6120.00
2017-06-Q4,   6170.00
